"variant","target","outcome","country","set","n_units","spearman","thin"
"plus_soil","prev","child_iron","Malawi","climate_soil",27,0.0244200244200244,FALSE
"plus_soil","prev","child_iron","SierraLeone","climate_soil",4,0.4,TRUE
"plus_soil","prev","child_iron","Gambia","csa",6,0.6,TRUE
"plus_soil","prev","child_iron","Ghana","csa",16,0.673529411764706,FALSE
"plus_soil","prev","child_iron","Malawi","csa",27,-0.00732600732600733,FALSE
"plus_soil","prev","child_iron","SierraLeone","csa",4,0.4,TRUE
"plus_soil","prev","women_iron","Gambia","full",6,0.314285714285714,TRUE
"plus_soil","prev","women_iron","Ghana","full",16,0.451802918488787,FALSE
"plus_soil","prev","women_iron","Malawi","full",27,-0.0934065934065934,FALSE
"plus_soil","prev","women_iron","SierraLeone","full",4,0.2,TRUE
"plus_soil","prev","women_iron","Gambia","climate_soil",6,0.657142857142857,TRUE
"plus_soil","prev","women_iron","Ghana","climate_soil",16,0.629875078544628,FALSE
"plus_soil","prev","women_iron","Malawi","climate_soil",27,0.238095238095238,FALSE
"plus_soil","prev","women_iron","SierraLeone","climate_soil",4,0.4,TRUE
"plus_soil","prev","women_iron","Gambia","csa",6,0.771428571428571,TRUE
"plus_soil","prev","women_iron","Ghana","csa",16,0.597498322170839,FALSE
"plus_soil","prev","women_iron","Malawi","csa",27,0.250915750915751,FALSE
"plus_soil","prev","women_iron","SierraLeone","csa",4,0.4,TRUE
"plus_soil","prev","women_folate","Ghana","full",16,0.217647058823529,FALSE
"plus_soil","prev","women_folate","Malawi","full",27,0.357361092945162,FALSE
"plus_soil","prev","women_folate","SierraLeone","full",4,0,TRUE
"plus_soil","prev","women_folate","Ghana","climate_soil",16,-0.0382352941176471,FALSE
"plus_soil","prev","women_folate","Malawi","climate_soil",27,0.551008044165019,FALSE
"plus_soil","prev","women_folate","SierraLeone","climate_soil",4,-1,TRUE
"plus_soil","prev","women_folate","Ghana","csa",16,-0.0617647058823529,FALSE
"plus_soil","prev","women_folate","Malawi","csa",27,0.547953675849248,FALSE
"plus_soil","prev","women_folate","SierraLeone","csa",4,-0.8,TRUE
"plus_soil","prev","women_b12","Ghana","full",16,0.152596779118585,FALSE
"plus_soil","prev","women_b12","Malawi","full",27,0.0838042228388819,FALSE
"plus_soil","prev","women_b12","SierraLeone","full",4,-0.4,TRUE
"plus_soil","prev","women_b12","Ghana","climate_soil",16,0.324453345892913,FALSE
"plus_soil","prev","women_b12","Malawi","climate_soil",27,0.476849120359985,FALSE
"plus_soil","prev","women_b12","SierraLeone","climate_soil",4,-0.4,TRUE
"plus_soil","prev","women_b12","Ghana","csa",16,0.314082691001359,FALSE
"plus_soil","prev","women_b12","Malawi","csa",27,0.437575554675343,FALSE
"plus_soil","prev","women_b12","SierraLeone","csa",4,-0.4,TRUE
"rr10_cs","level","child_vitA","Gambia","full",6,0.828571428571429,TRUE
"rr10_cs","level","child_vitA","Ghana","full",16,0.517647058823529,FALSE
"rr10_cs","level","child_vitA","Malawi","full",27,0.478021978021978,FALSE
"rr10_cs","level","child_vitA","SierraLeone","full",4,-0.4,TRUE
"rr10_cs","level","child_vitA","Gambia","climate_soil",6,0.942857142857143,TRUE
"rr10_cs","level","child_vitA","Ghana","climate_soil",16,0.417647058823529,FALSE
"rr10_cs","level","child_vitA","Malawi","climate_soil",27,0.281440781440781,FALSE
"rr10_cs","level","child_vitA","SierraLeone","climate_soil",4,0.4,TRUE
"rr10_cs","level","child_vitA","Gambia","csa",6,0.942857142857143,TRUE
"rr10_cs","level","child_vitA","Ghana","csa",16,0.338235294117647,FALSE
"rr10_cs","level","child_vitA","Malawi","csa",27,0.321123321123321,FALSE
"rr10_cs","level","child_vitA","SierraLeone","csa",4,0.4,TRUE
"rr10_cs","level","women_vitA","Gambia","full",6,0.771428571428571,TRUE
"rr10_cs","level","women_vitA","Ghana","full",16,0.667647058823529,FALSE
"rr10_cs","level","women_vitA","Malawi","full",27,0.214896214896215,FALSE
"rr10_cs","level","women_vitA","SierraLeone","full",4,-0.4,TRUE
"rr10_cs","level","women_vitA","Gambia","climate_soil",6,0.885714285714286,TRUE
"rr10_cs","level","women_vitA","Ghana","climate_soil",16,0.623529411764706,FALSE
"rr10_cs","level","women_vitA","Malawi","climate_soil",27,0.173992673992674,FALSE
"rr10_cs","level","women_vitA","SierraLeone","climate_soil",4,0.4,TRUE
"rr10_cs","level","women_vitA","Gambia","csa",6,0.771428571428571,TRUE
"rr10_cs","level","women_vitA","Ghana","csa",16,0.655882352941176,FALSE
"rr10_cs","level","women_vitA","Malawi","csa",27,0.184981684981685,FALSE
"rr10_cs","level","women_vitA","SierraLeone","csa",4,0.4,TRUE
"rr10_cs","level","child_iron","Gambia","full",6,0.485714285714286,TRUE
"rr10_cs","level","child_iron","Ghana","full",16,0.802941176470588,FALSE
"rr10_cs","level","child_iron","Malawi","full",27,0.032967032967033,FALSE
"rr10_cs","level","child_iron","SierraLeone","full",4,-0.8,TRUE
"rr10_cs","level","child_iron","Gambia","climate_soil",6,0.6,TRUE
"rr10_cs","level","child_iron","Ghana","climate_soil",16,0.647058823529412,FALSE
"rr10_cs","level","child_iron","Malawi","climate_soil",27,0.222832722832723,FALSE
"rr10_cs","level","child_iron","SierraLeone","climate_soil",4,0.2,TRUE
"rr10_cs","level","child_iron","Gambia","csa",6,0.6,TRUE
"rr10_cs","level","child_iron","Ghana","csa",16,0.635294117647059,FALSE
"rr10_cs","level","child_iron","Malawi","csa",27,0.193528693528694,FALSE
"rr10_cs","level","child_iron","SierraLeone","csa",4,0.2,TRUE
"rr10_cs","level","women_iron","Gambia","full",6,0.485714285714286,TRUE
"rr10_cs","level","women_iron","Ghana","full",16,0.473529411764706,FALSE
"rr10_cs","level","women_iron","Malawi","full",27,0.0763125763125763,FALSE
"rr10_cs","level","women_iron","SierraLeone","full",4,0,TRUE
"rr10_cs","level","women_iron","Gambia","climate_soil",6,0.657142857142857,TRUE
"rr10_cs","level","women_iron","Ghana","climate_soil",16,0.435294117647059,FALSE
"rr10_cs","level","women_iron","Malawi","climate_soil",27,0.48962148962149,FALSE
"rr10_cs","level","women_iron","SierraLeone","climate_soil",4,0.8,TRUE
"rr10_cs","level","women_iron","Gambia","csa",6,0.657142857142857,TRUE
"rr10_cs","level","women_iron","Ghana","csa",16,0.476470588235294,FALSE
"rr10_cs","level","women_iron","Malawi","csa",27,0.487179487179487,FALSE
"rr10_cs","level","women_iron","SierraLeone","csa",4,0.8,TRUE
"rr10_cs","level","women_folate","Ghana","full",16,-0.0147058823529412,FALSE
"rr10_cs","level","women_folate","Malawi","full",27,0.271672771672772,FALSE
"rr10_cs","level","women_folate","SierraLeone","full",4,-0.8,TRUE
"rr10_cs","level","women_folate","Ghana","climate_soil",16,-0.170588235294118,FALSE
"rr10_cs","level","women_folate","Malawi","climate_soil",27,0.225274725274725,FALSE
"rr10_cs","level","women_folate","SierraLeone","climate_soil",4,-0.6,TRUE
"rr10_cs","level","women_folate","Ghana","csa",16,-0.161764705882353,FALSE
