"country","outcome","target","rep","variant","spearman","mae","rho_sd_across_folds","rho_mean"
"Ghana","women_iron","level",3,"none",0.397866287339971,0.30413229637955,0.0591677300300166,0.438019028954946
"Ghana","women_iron","level",3,"nested1",0.371237553342816,0.257951110556416,0.0591677300300166,0.438019028954946
"Ghana","women_iron","level",3,"nested5",0.371237553342816,0.257951110556416,0.0591677300300166,0.438019028954946
"Ghana","women_iron","level",3,"insample",0.385661450924609,0.258279470199225,0.0591677300300166,0.438019028954946
"Ghana","women_iron","level",3,"pooled",0.391294452347084,0.254512081120417,0.0591677300300166,0.438019028954946
"Ghana","women_folate","prev",1,"none",0.217699981672059,32.0018358119135,0.0321880159038584,0.356984699808997
"Ghana","women_folate","prev",1,"nested1",0.205400467159261,25.4617723173087,0.0321880159038584,0.356984699808997
"Ghana","women_folate","prev",1,"nested5",0.205400467159261,25.4617723173087,0.0321880159038584,0.356984699808997
"Ghana","women_folate","prev",1,"insample",0.207538273853259,26.857574826934,0.0321880159038584,0.356984699808997
"Ghana","women_folate","prev",1,"pooled",0.202863603215718,25.4751281287605,0.0321880159038584,0.356984699808997
"Ghana","women_folate","prev",2,"none",0.177737248538936,32.702213389721,0.0665996640005207,0.364265032309134
"Ghana","women_folate","prev",2,"nested1",0.163827252983327,25.8916578293487,0.0665996640005207,0.364265032309134
"Ghana","women_folate","prev",2,"nested5",0.163827252983327,25.8916578293487,0.0665996640005207,0.364265032309134
"Ghana","women_folate","prev",2,"insample",0.165623010606285,27.3571107948642,0.0665996640005207,0.364265032309134
"Ghana","women_folate","prev",2,"pooled",0.16666340986403,25.8935832210357,0.0665996640005207,0.364265032309134
"Ghana","women_folate","prev",3,"none",0.262365889531976,31.4494533538264,0.0927880213364114,0.343082918331561
"Ghana","women_folate","prev",3,"nested1",0.168345151129975,26.2327922536933,0.0927880213364114,0.343082918331561
"Ghana","women_folate","prev",3,"nested5",0.168345151129975,26.2327922536933,0.0927880213364114,0.343082918331561
"Ghana","women_folate","prev",3,"insample",0.239918919245005,26.6043308576433,0.0927880213364114,0.343082918331561
"Ghana","women_folate","prev",3,"pooled",0.23007075640799,25.122625793518,0.0927880213364114,0.343082918331561
"Ghana","women_folate","level",1,"none",0.381621621621622,0.33363615466336,0.0390012105386794,0.416946873828954
"Ghana","women_folate","level",1,"nested1",0.36529160739687,0.289196007318204,0.0390012105386794,0.416946873828954
"Ghana","women_folate","level",1,"nested5",0.36529160739687,0.289196007318204,0.0390012105386794,0.416946873828954
"Ghana","women_folate","level",1,"insample",0.36950213371266,0.289683307976621,0.0390012105386794,0.416946873828954
"Ghana","women_folate","level",1,"pooled",0.358321479374111,0.287672251413913,0.0390012105386794,0.416946873828954
"Ghana","women_folate","level",2,"none",0.335988620199146,0.343842067396107,0.0579399014568623,0.41881842461742
"Ghana","women_folate","level",2,"nested1",0.33823613086771,0.293372254572383,0.0579399014568623,0.41881842461742
"Ghana","women_folate","level",2,"nested5",0.33823613086771,0.293372254572383,0.0579399014568623,0.41881842461742
"Ghana","women_folate","level",2,"insample",0.340682788051209,0.294353538402408,0.0579399014568623,0.41881842461742
"Ghana","women_folate","level",2,"pooled",0.325718349928876,0.291211188241971,0.0579399014568623,0.41881842461742
"Ghana","women_folate","level",3,"none",0.397553342816501,0.328288098833682,0.067362496631421,0.417470479966138
"Ghana","women_folate","level",3,"nested1",0.315362731152205,0.295959500000942,0.067362496631421,0.417470479966138
"Ghana","women_folate","level",3,"nested5",0.315362731152205,0.295959500000942,0.067362496631421,0.417470479966138
"Ghana","women_folate","level",3,"insample",0.366002844950213,0.289980094520346,0.067362496631421,0.417470479966138
"Ghana","women_folate","level",3,"pooled",0.38,0.288496171355989,0.067362496631421,0.417470479966138
"Ghana","women_b12","prev",1,"none",0.320819337301013,9.51528590758454,0.0971359321230543,0.35670596004536
"Ghana","women_b12","prev",1,"nested1",0.221634044712167,9.60521333487724,0.0971359321230543,0.35670596004536
"Ghana","women_b12","prev",1,"nested5",0.221634044712167,9.60521333487724,0.0971359321230543,0.35670596004536
"Ghana","women_b12","prev",1,"insample",0.281030460422809,9.22553546560572,0.0971359321230543,0.35670596004536
"Ghana","women_b12","prev",1,"pooled",0.293736014432124,9.49202674865696,0.0971359321230543,0.35670596004536
"Ghana","women_b12","prev",2,"none",0.319311065083133,9.51881470788359,0.075015903881116,0.362201515295937
"Ghana","women_b12","prev",2,"nested1",0.264603408658508,9.5967511623178,0.075015903881116,0.362201515295937
"Ghana","women_b12","prev",2,"nested5",0.264603408658508,9.5967511623178,0.075015903881116,0.362201515295937
"Ghana","women_b12","prev",2,"insample",0.305113633119176,9.13737164390585,0.075015903881116,0.362201515295937
"Ghana","women_b12","prev",2,"pooled",0.304359497010236,9.42384384207558,0.075015903881116,0.362201515295937
"Ghana","women_b12","prev",3,"none",0.34368933451778,9.58470966055021,0.0734249328721015,0.354089531001075
"Ghana","women_b12","prev",3,"nested1",0.273046454225988,9.59922227025513,0.0734249328721015,0.354089531001075
"Ghana","women_b12","prev",3,"nested5",0.273046454225988,9.59922227025513,0.0734249328721015,0.354089531001075
"Ghana","women_b12","prev",3,"insample",0.308917102190351,9.21280389656703,0.0734249328721015,0.354089531001075
"Ghana","women_b12","prev",3,"pooled",0.303621755164533,9.49049624618984,0.0734249328721015,0.354089531001075
"Ghana","women_b12","level",1,"none",0.617610241820768,0.26142155667445,0.0345180306621015,0.583500568868891
"Ghana","women_b12","level",1,"nested1",0.603214793741109,0.225748427799995,0.0345180306621015,0.583500568868891
"Ghana","women_b12","level",1,"nested5",0.603214793741109,0.225748427799995,0.0345180306621015,0.583500568868891
"Ghana","women_b12","level",1,"insample",0.607396870554765,0.225358027087926,0.0345180306621015,0.583500568868891
"Ghana","women_b12","level",1,"pooled",0.618833570412518,0.223946023255516,0.0345180306621015,0.583500568868891
"Ghana","women_b12","level",2,"none",0.606145092460882,0.25849761676321,0.0579801207032875,0.589261268380803
"Ghana","women_b12","level",2,"nested1",0.570981507823613,0.229381111702365,0.0579801207032875,0.589261268380803
"Ghana","women_b12","level",2,"nested5",0.570981507823613,0.229381111702365,0.0579801207032875,0.589261268380803
"Ghana","women_b12","level",2,"insample",0.588705547652916,0.226643456110539,0.0579801207032875,0.589261268380803
"Ghana","women_b12","level",2,"pooled",0.606941678520626,0.222761137061567,0.0579801207032875,0.589261268380803
"Ghana","women_b12","level",3,"none",0.615049786628734,0.26261385552724,0.0399266148643111,0.585868599947065
"Ghana","women_b12","level",3,"nested1",0.593798008534851,0.2282927003259,0.0399266148643111,0.585868599947065
"Ghana","women_b12","level",3,"nested5",0.593798008534851,0.2282927003259,0.0399266148643111,0.585868599947065
"Ghana","women_b12","level",3,"insample",0.599943100995732,0.227994871546641,0.0399266148643111,0.585868599947065
"Ghana","women_b12","level",3,"pooled",0.605889046941678,0.227458008104792,0.0399266148643111,0.585868599947065
"Malawi","child_vitA","prev",1,"none",-0.0396944175215657,0.884557644975164,0.0479304810657055,0.0431574565017859
"Malawi","child_vitA","prev",1,"nested1",-0.204187902993689,0.809971580020055,0.0479304810657055,0.0431574565017859
"Malawi","child_vitA","prev",1,"nested5",-0.204187902993689,0.809995514680495,0.0479304810657055,0.0431574565017859
"Malawi","child_vitA","prev",1,"insample",-0.0562092833202365,0.819990327182295,0.0479304810657055,0.0431574565017859
"Malawi","child_vitA","prev",1,"pooled",-0.21232107903681,0.807271888551285,0.0479304810657055,0.0431574565017859
"Malawi","child_vitA","prev",2,"none",0.0625802712206813,0.836769019844925,0.0132914772573795,0.0100581209516839
"Malawi","child_vitA","prev",2,"nested1",-0.107357923769198,0.80450438890295,0.0132914772573795,0.0100581209516839
"Malawi","child_vitA","prev",2,"nested5",-0.101258041736857,0.804435402099194,0.0132914772573795,0.0100581209516839
"Malawi","child_vitA","prev",2,"insample",0.0626028633763566,0.800973157841352,0.0132914772573795,0.0100581209516839
"Malawi","child_vitA","prev",2,"pooled",-0.10550536700382,0.805197634333881,0.0132914772573795,0.0100581209516839
"Malawi","child_vitA","prev",3,"none",0.039242574408059,0.856823619737187,0.0316867519999943,0.0333953391492901
"Malawi","child_vitA","prev",3,"nested1",0.0582877616423674,0.803565661061698,0.0316867519999943,0.0333953391492901
"Malawi","child_vitA","prev",3,"nested5",0.0582877616423674,0.803553376790534,0.0316867519999943,0.0333953391492901
"Malawi","child_vitA","prev",3,"insample",0.0269750338763514,0.810504548038769,0.0316867519999943,0.0333953391492901
"Malawi","child_vitA","prev",3,"pooled",0.0394007194977863,0.804026122343567,0.0316867519999943,0.0333953391492901
"Malawi","child_vitA","level",1,"none",0.158835751257564,0.0671501027522686,0.0824761436410756,0.198762711863787
"Malawi","child_vitA","level",1,"nested1",0.0192279652985347,0.0554455907995275,0.0824761436410756,0.198762711863787
"Malawi","child_vitA","level",1,"nested5",0.0309105489538529,0.0554132563556659,0.0824761436410756,0.198762711863787
"Malawi","child_vitA","level",1,"insample",0.129346795946636,0.0566984274885081,0.0824761436410756,0.198762711863787
"Malawi","child_vitA","level",1,"pooled",0.069038419479478,0.0544637593973799,0.0824761436410756,0.198762711863787
"Malawi","child_vitA","level",2,"none",0.219909601224758,0.0646204485771509,0.134121263362215,0.167532997951431
"Malawi","child_vitA","level",2,"nested1",0.0582853393599183,0.0552751959847956,0.134121263362215,0.167532997951431
"Malawi","child_vitA","level",2,"nested5",0.05875920390756,0.0552638082827645,0.134121263362215,0.167532997951431
"Malawi","child_vitA","level",2,"insample",0.20675074724794,0.0544402275146708,0.134121263362215,0.167532997951431
"Malawi","child_vitA","level",2,"pooled",0.190511773711453,0.0535406633004104,0.134121263362215,0.167532997951431
"Malawi","child_vitA","level",3,"none",0.211252460450536,0.0650990567241739,0.0402830498785735,0.19878048259865
"Malawi","child_vitA","level",3,"nested1",0.168404170008019,0.0535032343210403,0.0402830498785735,0.19878048259865
"Malawi","child_vitA","level",3,"nested5",0.166818546329372,0.0535334434730924,0.0402830498785735,0.19878048259865
"Malawi","child_vitA","level",3,"insample",0.200681635926223,0.0547696222929727,0.0402830498785735,0.19878048259865
"Malawi","child_vitA","level",3,"pooled",0.184041700080192,0.053265468206036,0.0402830498785735,0.19878048259865
"Malawi","women_vitA","prev",1,"none",-0.174454981335154,0.810857265443683,0,0.001
"Malawi","women_vitA","prev",1,"nested1",-0.199236715102281,0.73576643459201,0,0.001
"Malawi","women_vitA","prev",1,"nested5",-0.199236715102281,0.73576643459201,0,0.001
