"country","outcome","target","estimand","arm","rep","n_units","collapsed","spearman","wmae"
"SierraLeone","child_vitA","level","infill","spatial_plus_domain",6,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial_plus_domain",7,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial_plus_domain",8,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial_plus_domain",9,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial_plus_domain",10,14,FALSE,NA,NA
"Gambia","child_vitA","level","country","domain_index",1,30,FALSE,0.77174638487208,NA
"Ghana","child_vitA","level","country","domain_index",1,75,FALSE,0.336443812233286,NA
"Malawi","child_vitA","level","country","domain_index",1,27,TRUE,0.414529914529915,NA
"SierraLeone","child_vitA","level","country","domain_index",1,14,FALSE,0.0461538461538462,NA
"Gambia","child_vitA","level","country","domain_enet",1,30,FALSE,0.649833147942158,NA
"Ghana","child_vitA","level","country","domain_enet",1,75,FALSE,0.303357041251778,NA
"Malawi","child_vitA","level","country","domain_enet",1,27,TRUE,0.225885225885226,NA
"SierraLeone","child_vitA","level","country","domain_enet",1,14,FALSE,-0.0373626373626374,NA
"Gambia","women_vitA","level","infill","null_train_mean",1,30,FALSE,-0.108926742466317,0.102420502946605
"Gambia","women_vitA","level","infill","null_train_mean",2,30,FALSE,-0.400305778563715,0.107293929193224
"Gambia","women_vitA","level","infill","null_train_mean",3,30,FALSE,-0.558249555139874,0.106361632212177
"Gambia","women_vitA","level","infill","null_train_mean",4,30,FALSE,-0.343119238768898,0.103576053511694
"Gambia","women_vitA","level","infill","null_train_mean",5,30,FALSE,-0.141604765206212,0.101091225717868
"Gambia","women_vitA","level","infill","null_train_mean",6,30,FALSE,-0.345842407330556,0.107097186621057
"Gambia","women_vitA","level","infill","null_train_mean",7,30,FALSE,-0.228746159179265,0.10466930096847
"Gambia","women_vitA","level","infill","null_train_mean",8,30,FALSE,-0.315887553152319,0.102407587276721
"Gambia","women_vitA","level","infill","null_train_mean",9,30,FALSE,-0.533741038084953,0.108005882715726
"Gambia","women_vitA","level","infill","null_train_mean",10,30,FALSE,-0.332226564522266,0.107135860941167
"Gambia","women_vitA","level","infill","spatial",1,30,FALSE,0.666295884315907,0.0817230044754958
"Gambia","women_vitA","level","infill","spatial",2,30,FALSE,0.610233592880979,0.085759986904715
"Gambia","women_vitA","level","infill","spatial",3,30,FALSE,0.613793103448276,0.0747608868634332
"Gambia","women_vitA","level","infill","spatial",4,30,FALSE,0.519911012235818,0.0881077861157298
"Gambia","women_vitA","level","infill","spatial",5,30,FALSE,0.63559510567297,0.0773782714049372
"Gambia","women_vitA","level","infill","spatial",6,30,FALSE,0.612013348164627,0.0880335645689557
"Gambia","women_vitA","level","infill","spatial",7,30,FALSE,0.639154616240267,0.0843815182307784
"Gambia","women_vitA","level","infill","spatial",8,30,FALSE,0.623581757508343,0.0825604340394024
"Gambia","women_vitA","level","infill","spatial",9,30,FALSE,0.580422691879867,0.0874456940825759
"Gambia","women_vitA","level","infill","spatial",10,30,FALSE,0.503448275862069,0.0889528397001549
"Gambia","women_vitA","level","infill","domain_index",1,30,FALSE,0.731256952169077,0.0688234557510024
"Gambia","women_vitA","level","infill","domain_index",2,30,FALSE,0.701890989988876,0.0676778503942923
"Gambia","women_vitA","level","infill","domain_index",3,30,FALSE,0.722358175750834,0.0664083316224557
"Gambia","women_vitA","level","infill","domain_index",4,30,FALSE,0.697886540600667,0.0695549058039355
"Gambia","women_vitA","level","infill","domain_index",5,30,FALSE,0.745494994438265,0.0666414295956325
"Gambia","women_vitA","level","infill","domain_index",6,30,FALSE,0.729477196885428,0.0673327803611498
"Gambia","women_vitA","level","infill","domain_index",7,30,FALSE,0.728587319243604,0.0694636487097939
"Gambia","women_vitA","level","infill","domain_index",8,30,FALSE,0.747719688542825,0.0603098039652009
"Gambia","women_vitA","level","infill","domain_index",9,30,FALSE,0.705450500556174,0.0701196198436357
"Gambia","women_vitA","level","infill","domain_index",10,30,FALSE,0.691212458286986,0.0677478711574639
"Gambia","women_vitA","level","infill","domain_enet",1,30,FALSE,0.704115684093437,0.0697186064026634
"Gambia","women_vitA","level","infill","domain_enet",2,30,FALSE,0.613348164627364,0.0667145334009499
"Gambia","women_vitA","level","infill","domain_enet",3,30,FALSE,0.672080088987764,0.0658942534484243
"Gambia","women_vitA","level","infill","domain_enet",4,30,FALSE,0.588876529477197,0.0699450556406277
"Gambia","women_vitA","level","infill","domain_enet",5,30,FALSE,0.647163515016685,0.0727043464944582
"Gambia","women_vitA","level","infill","domain_enet",6,30,FALSE,0.644493882091212,0.0703051276961537
"Gambia","women_vitA","level","infill","domain_enet",7,30,FALSE,0.574193548387097,0.0829918332554609
"Gambia","women_vitA","level","infill","domain_enet",8,30,FALSE,0.602224694104561,0.0786004317509382
"Gambia","women_vitA","level","infill","domain_enet",9,30,FALSE,0.537708565072302,0.0758883897909278
"Gambia","women_vitA","level","infill","domain_enet",10,30,FALSE,0.646273637374861,0.0672326204437025
"Gambia","women_vitA","level","infill","spatial_plus_domain",1,30,FALSE,0.666295884315907,0.0817230044755823
"Gambia","women_vitA","level","infill","spatial_plus_domain",2,30,FALSE,0.610233592880979,0.0857599869047129
"Gambia","women_vitA","level","infill","spatial_plus_domain",3,30,FALSE,0.613793103448276,0.0747608868634126
"Gambia","women_vitA","level","infill","spatial_plus_domain",4,30,FALSE,0.500333704115684,0.0899862114580892
"Gambia","women_vitA","level","infill","spatial_plus_domain",5,30,FALSE,0.603559510567297,0.0797523631360995
"Gambia","women_vitA","level","infill","spatial_plus_domain",6,30,FALSE,0.631145717463849,0.0834063926259249
"Gambia","women_vitA","level","infill","spatial_plus_domain",7,30,FALSE,0.628031145717464,0.0881644394466559
"Gambia","women_vitA","level","infill","spatial_plus_domain",8,30,FALSE,0.59377085650723,0.0809192855432441
"Gambia","women_vitA","level","infill","spatial_plus_domain",9,30,FALSE,0.584872080088988,0.0879191472245986
"Gambia","women_vitA","level","infill","spatial_plus_domain",10,30,FALSE,0.503448275862069,0.0887816721546717
"Ghana","women_vitA","level","infill","null_train_mean",1,75,FALSE,-0.155039266046126,0.131357863400289
