"target","outcome","heldout","domain","variant","spearman"
"level","child_iron","SierraLeone","Built environment","only",-0.169230769230769
"level","child_iron","Gambia","Child anthropometry","drop",0.381535038932147
"level","child_iron","Gambia","Child anthropometry","only",0.403781979977753
"level","child_iron","Ghana","Child anthropometry","drop",0.539601706970128
"level","child_iron","Ghana","Child anthropometry","only",0.11778093883357
"level","child_iron","Malawi","Child anthropometry","drop",-0.03276955602537
"level","child_iron","Malawi","Child anthropometry","only",-0.20819056645039
"level","child_iron","SierraLeone","Child anthropometry","drop",0.261538461538461
"level","child_iron","SierraLeone","Child anthropometry","only",-0.301098901098901
"level","child_iron","Gambia","Climate and weather","drop",0.382869855394883
"level","child_iron","Gambia","Climate and weather","only",0.535928809788654
"level","child_iron","Ghana","Climate and weather","drop",0.519089615931721
"level","child_iron","Ghana","Climate and weather","only",0.502361308677098
"level","child_iron","Malawi","Climate and weather","drop",-0.0985456003499307
"level","child_iron","Malawi","Climate and weather","only",0.0870088211708099
"level","child_iron","SierraLeone","Climate and weather","drop",0.248351648351648
"level","child_iron","SierraLeone","Climate and weather","only",-0.0813186813186813
"level","child_iron","Gambia","Ecosystem productivity/greenness","drop",0.424249165739711
"level","child_iron","Gambia","Ecosystem productivity/greenness","only",0.289877641824249
"level","child_iron","Ghana","Ecosystem productivity/greenness","drop",0.541650071123755
"level","child_iron","Ghana","Ecosystem productivity/greenness","only",0.279743954480797
"level","child_iron","Malawi","Ecosystem productivity/greenness","drop",-0.0486075672523146
"level","child_iron","Malawi","Ecosystem productivity/greenness","only",0.0151089888459576
"level","child_iron","SierraLeone","Ecosystem productivity/greenness","drop",0.230769230769231
"level","child_iron","SierraLeone","Ecosystem productivity/greenness","only",0.0021978021978022
"level","child_iron","Gambia","Education, employment, SES","drop",0.402447163515017
"level","child_iron","Gambia","Education, employment, SES","only",0.487875417130145
"level","child_iron","Ghana","Education, employment, SES","drop",0.531550497866287
"level","child_iron","Ghana","Education, employment, SES","only",0.00773826458036984
"level","child_iron","Malawi","Education, employment, SES","drop",-0.0180979806080047
"level","child_iron","Malawi","Education, employment, SES","only",-0.228384486403733
"level","child_iron","SierraLeone","Education, employment, SES","drop",0.301098901098901
"level","child_iron","SierraLeone","Education, employment, SES","only",-0.032967032967033
"level","child_iron","Gambia","Food fortification and supplementation","drop",0.408231368186874
"level","child_iron","Gambia","Food fortification and supplementation","only",0.130570568802451
"level","child_iron","Ghana","Food fortification and supplementation","drop",0.539374110953058
"level","child_iron","Ghana","Food fortification and supplementation","only",-0.327545192072342
"level","child_iron","Malawi","Food fortification and supplementation","drop",-0.0458008310855143
"level","child_iron","Malawi","Food fortification and supplementation","only",-0.291324753241864
"level","child_iron","SierraLeone","Food fortification and supplementation","drop",0.252747252747253
"level","child_iron","SierraLeone","Food fortification and supplementation","only",0.283516483516484
"level","child_iron","Gambia","Food prices (RTFP)","drop",0.428698553948832
"level","child_iron","Gambia","Food prices (RTFP)","only",0.180422691879867
"level","child_iron","Ghana","Food prices (RTFP)","drop",0.515419630156472
"level","child_iron","Ghana","Food prices (RTFP)","only",0.315106685633001
"level","child_iron","Malawi","Food prices (RTFP)","drop",-0.041244441204345
