"outcome","country","rank_from","set","n_raw_total","f_cross_A1","f_cross_A2","f_cross_C_A1","mae_A1_f05","mae_B_f05","mae_C_f05","mae_A1_f25","mae_B_f25","resp_cross_A1","resp_cross_A2"
"women_vitA","Ghana","prev","climate_soil",992,0.4,0.6,0.4,2.96351707026407,7.95435797642051,4.45746161151108,2.76103365135435,3.47692969353811,397,595
"women_vitA","Ghana","prev","full",992,0.4,0.4,0.4,2.82627258301311,7.86365385229463,4.17302696595316,2.82344003997063,3.45371854216384,397,397
"women_vitA","Malawi","level","climate_soil",836,0.6,0.6,0.25,1.96563365112167,6.81581927774228,2.80005033833327,1.81271591520133,3.18467004210313,502,502
"women_vitA","Malawi","level","full",836,0.6,0.6,0.4,2.28058780704244,7.1857318421651,3.23695759162603,1.85211220849451,3.27692882113897,502,502
"women_vitA","Malawi","prev","climate_soil",836,0.6,0.6,0.6,2.70363655610456,7.32426889409668,3.10265614313511,1.76984017545544,3.13792127228331,502,502
"women_vitA","Malawi","prev","full",836,0.6,0.6,0.6,2.54911184145812,6.67319866416136,3.60940410891253,1.83867337186215,3.11980603703593,502,502
"women_vitA","SierraLeone","level","climate_soil",774,0.4,0.25,0.15,1.52315818095567,3.29704739981955,2.26683036341803,1.41313280109988,1.53948751738572,310,194
"women_vitA","SierraLeone","level","full",774,0.25,0.25,0.15,1.81352678408688,3.1420909077918,2.05209621725281,1.63513705738029,1.49702933038316,194,194
"women_vitA","SierraLeone","prev","climate_soil",774,0.4,0.15,0.6,1.77265158531036,3.04145811857573,2.55592052314393,1.58274981663167,1.62587951615243,310,116
"women_vitA","SierraLeone","prev","full",774,0.25,0.25,0.15,1.99410815453106,3.18883492334676,2.28539079973484,1.57557380222142,1.53384105591204,194,194
