"domain_set","target","outcome","heldout","arm","model","n_units","n_cov","n_block","block_cols","shares_population","spearman","pearson","topk","delta_vs_base","topk_delta_vs_base"
"all","level","women_iron","Malawi","other_xpop","domain_enet",87,329,1,"child_vitA",FALSE,0.235091492308814,0.256468366646227,0.409090909090909,-0.0184442662389735,0
"all","level","women_iron","SierraLeone","other_xpop","domain_enet",14,329,1,"child_vitA",FALSE,-0.156043956043956,-0.332295606056044,0.5,0.0351648351648352,0
"all","level","women_iron","Gambia","other_samepop","domain_index",30,329,1,"women_vitA",TRUE,0.640044493882091,0.573523645383898,0.375,0.0493882091212459,0
"all","level","women_iron","Ghana","other_samepop","domain_index",75,329,1,"women_vitA",TRUE,0.35448079658606,0.390681479502613,0.578947368421053,0.00611664295874825,0
"all","level","women_iron","Malawi","other_samepop","domain_index",87,329,1,"women_vitA",TRUE,0.17261427425822,0.123929049021486,0.5,-0.0462200189545819,0
"all","level","women_iron","SierraLeone","other_samepop","domain_index",14,329,1,"women_vitA",TRUE,-0.032967032967033,-0.312213127704503,0.25,0,0
"all","level","women_iron","Gambia","other_samepop","domain_enet",30,329,1,"women_vitA",TRUE,0.603559510567297,0.537180903027395,0.25,0,0
"all","level","women_iron","Ghana","other_samepop","domain_enet",75,329,1,"women_vitA",TRUE,0.336984352773826,0.3591418914165,0.473684210526316,0,0
"all","level","women_iron","Malawi","other_samepop","domain_enet",87,329,1,"women_vitA",TRUE,0.100969599766713,0.140397236994822,0.318181818181818,-0.152566158781075,-0.0909090909090909
"all","level","women_iron","SierraLeone","other_samepop","domain_enet",14,329,1,"women_vitA",TRUE,-0.191208791208791,-0.345000577003712,0.5,0,0
"all","level","women_iron","Gambia","all_other","domain_index",30,329,3,"child_vitA;women_vitA;child_iron",NA,0.724137931034483,0.653997602563666,0.5,0.133481646273637,0.125
"all","level","women_iron","Ghana","all_other","domain_index",75,329,3,"child_vitA;women_vitA;child_iron",NA,0.368421052631579,0.409635524869279,0.578947368421053,0.0200568990042674,0
"all","level","women_iron","Malawi","all_other","domain_index",87,329,3,"child_vitA;women_vitA;child_iron",NA,0.212965663045855,0.161020900838821,0.5,-0.00586863016694614,0
"all","level","women_iron","SierraLeone","all_other","domain_index",14,329,3,"child_vitA;women_vitA;child_iron",NA,0.112087912087912,-0.269671312058077,0.5,0.145054945054945,0.25
"all","level","women_iron","Gambia","all_other","domain_enet",30,329,3,"child_vitA;women_vitA;child_iron",NA,0.723692992213571,0.662590186287324,0.375,0.120133481646274,0.125
"all","level","women_iron","Ghana","all_other","domain_enet",75,329,3,"child_vitA;women_vitA;child_iron",NA,0.44275960170697,0.447921012144693,0.631578947368421,0.105775248933144,0.157894736842105
"all","level","women_iron","Malawi","all_other","domain_enet",87,329,3,"child_vitA;women_vitA;child_iron",NA,0.219982503462856,0.241960385446869,0.272727272727273,-0.0335532550849311,-0.136363636363636
"all","level","women_iron","SierraLeone","all_other","domain_enet",14,329,3,"child_vitA;women_vitA;child_iron",NA,0.0637362637362637,-0.19250338379715,0.5,0.254945054945055,0
"all","level","women_iron","Gambia","block_only_same_nutrient","domain_index",30,0,1,"child_iron",FALSE,0.743715239154616,0.782673428715403,0.875,0.153058954393771,0.5
"all","level","women_iron","Ghana","block_only_same_nutrient","domain_index",75,0,1,"child_iron",FALSE,0.382958748221906,0.357886740906055,0.526315789473684,0.0345945945945946,-0.0526315789473685
"all","level","women_iron","Malawi","block_only_same_nutrient","domain_index",87,0,1,"child_iron",FALSE,0.306098272216957,0.321942867475297,0.454545454545455,0.0872639790041554,-0.0454545454545455
"all","level","women_iron","SierraLeone","block_only_same_nutrient","domain_index",14,0,1,"child_iron",FALSE,0.437362637362637,0.303578881552856,0.75,0.47032967032967,0.5
"all","level","women_iron","Gambia","block_only_same_nutrient","domain_enet",30,0,1,"child_iron",FALSE,NA,NA,0.25,NA,0
"all","level","women_iron","Ghana","block_only_same_nutrient","domain_enet",75,0,1,"child_iron",FALSE,NA,NA,0,NA,-0.473684210526316
"all","level","women_iron","Malawi","block_only_same_nutrient","domain_enet",87,0,1,"child_iron",FALSE,NA,NA,0.272727272727273,NA,-0.136363636363636
"all","level","women_iron","SierraLeone","block_only_same_nutrient","domain_enet",14,0,1,"child_iron",FALSE,NA,NA,0.5,NA,0
"all","level","women_iron","Gambia","block_only_all","domain_index",30,0,3,"child_vitA;women_vitA;child_iron",NA,0.846496106785317,0.880447504905662,0.875,0.255839822024472,0.5
"all","level","women_iron","Ghana","block_only_all","domain_index",75,0,3,"child_vitA;women_vitA;child_iron",NA,0.410782361308677,0.467303106446331,0.578947368421053,0.0624182076813655,0
"all","level","women_iron","Malawi","block_only_all","domain_index",87,0,3,"child_vitA;women_vitA;child_iron",NA,0.188598089961362,0.137590483995293,0.318181818181818,-0.0302362032514398,-0.181818181818182
"all","level","women_iron","SierraLeone","block_only_all","domain_index",14,0,3,"child_vitA;women_vitA;child_iron",NA,0.424175824175824,0.320157190778181,0.75,0.457142857142857,0.5
"all","level","women_iron","Gambia","block_only_all","domain_enet",30,0,3,"child_vitA;women_vitA;child_iron",NA,0.829588431590656,0.85673344906052,0.875,0.226028921023359,0.625
"all","level","women_iron","Ghana","block_only_all","domain_enet",75,0,3,"child_vitA;women_vitA;child_iron",NA,0.421137980085348,0.436254793295888,0.578947368421053,0.084153627311522,0.105263157894737
"all","level","women_iron","Malawi","block_only_all","domain_enet",87,0,3,"child_vitA;women_vitA;child_iron",NA,0.119741926077131,0.110614889942181,0.272727272727273,-0.133793832470657,-0.136363636363636
"all","level","women_iron","SierraLeone","block_only_all","domain_enet",14,0,3,"child_vitA;women_vitA;child_iron",NA,0.437362637362637,0.372304811323118,0.75,0.628571428571429,0.25
"all","level","women_vitA","Gambia","base","domain_index",30,329,0,"",FALSE,0.769076751946607,0.768607232779597,0.5,0,0
"all","level","women_vitA","Ghana","base","domain_index",75,329,0,"",FALSE,0.307596017069701,0.434563957066131,0.526315789473684,0,0
"all","level","women_vitA","Malawi","base","domain_index",87,329,0,"",FALSE,0.240796092440038,0.25104989510205,0.363636363636364,0,0
"all","level","women_vitA","SierraLeone","base","domain_index",14,329,0,"",FALSE,-0.0241758241758242,-0.0209917332535072,0.5,0,0
