"scope","fit","country","outcome","target","n_train","column","beta","sd_tr","beta_std","share","rank","fold_sign_agree","loco_sign_agree","loco_fits","incountry_sign_agree","incountry_fits","domain"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_improved_water",0.378501996482318,0.977803880653583,0.370100720995539,-8.70307836302488e-07,301,0.8,NA,NA,NA,NA,"Water and sanitation"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_itn_any",0.616540825882943,0.968478994115408,0.597106838882196,0.001830667733833,249,1,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_mean_hhsize",1.05395718662781,0.995831098714052,1.04956334315715,0.00393707899631816,104,1,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_open_defecation",-0.292597608288155,0.909620583236563,-0.266152807104695,-0.000302600779050349,327,0.6,NA,NA,NA,NA,"Water and sanitation"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_radio",-0.0465226734247407,0.995831098714052,-0.0463287249916746,1.59295326802545e-06,406,0.6,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_soap_available",-0.829364355416923,0.995831098714052,-0.825906817289106,0.000363834803855593,184,1,NA,NA,NA,NA,"Water and sanitation"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_tv",-0.965022593172052,0.995831098714052,-0.960999509242409,0.00364992400102541,145,1,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_urban",-0.599446205592652,0.799956714847824,-0.479531017353891,0.0015436156825855,274,1,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_water_30min",-0.172304028789782,0.959046247130709,-0.165247532176342,0.000253477159879921,360,0.6,NA,NA,NA,NA,"Water and sanitation"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_water_onpremise",0.00236605977060365,0.503841374237615,0.00119211880634928,-1.3867510187268e-06,427,0.4,NA,NA,NA,NA,"Water and sanitation"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_wealth_mean",-1.01254402793379,0.995831098714052,-1.00832283183366,0.00391718709844687,125,1,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_wealth_poor",0.790318388801091,0.968478994115408,0.765406758216991,0.00252439281930505,200,1,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_wealth_poorest",1.01706692620845,0.995831098714052,1.01282687459189,0.0040450625134998,122,1,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_ML_NETP_H_IT2",0.132967286978244,0.995831098714052,0.132412959484572,0.000141144088849635,374,0.8,NA,NA,NA,NA,"Malaria"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_RH_ANCN_W_N4P",0.145181663669977,0.995831098714052,0.144576415645607,9.14793890081492e-05,368,0.6,NA,NA,NA,NA,"Fertility, reproductive health"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_RH_DELA_C_SKP",-0.961599228715049,0.995831098714052,-0.957590416453893,0.00307011053084768,148,1,NA,NA,NA,NA,"Fertility, reproductive health"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_w_anc_visits",0.259044439259691,0.995831098714052,0.257964508563744,0.000194833121886476,330,1,NA,NA,NA,NA,"Fertility, reproductive health"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_w_anc1",0.0793252506922921,0.853042705883641,0.067667826495451,1.5569283228578e-05,399,0.6,NA,NA,NA,NA,"Fertility, reproductive health"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_w_anc4plus",0.38565068798068,0.995831098714052,0.384042948331631,0.000434286656894529,296,1,NA,NA,NA,NA,"Fertility, reproductive health"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_w_any_media",-1.75147487868809,0.995831098714052,-1.74417315281402,0.00680328835220296,27,1,NA,NA,NA,NA,"Fertility, reproductive health"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_w_birth_interval_short",0.597603827139736,0.995831098714052,0.595112475776286,0.000465355218475146,250,0.8,NA,NA,NA,NA,"Fertility, reproductive health"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_w_bmi_low",-0.357568727352505,0.995831098714052,-0.356078058625231,-0.000160212020442052,304,0.6,NA,NA,NA,NA,"Adult nutrition"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_w_bmi_overweight",-1.83200511261656,0.995831098714052,-1.82436766414671,0.00566680240315755,22,1,NA,NA,NA,NA,"Adult nutrition"
