"target","outcome","heldout","source","variant","n_cols","spearman"
"level","child_iron","SierraLeone","Malaria Atlas","only",23,-0.142857142857143
"level","child_iron","Gambia","IHME","drop",381,0.480756395995551
"level","child_iron","Gambia","IHME","only",1,NA
"level","child_iron","Ghana","IHME","drop",381,0.507140825035562
"level","child_iron","Ghana","IHME","only",1,NA
"level","child_iron","Malawi","IHME","drop",381,-0.0380367427280017
"level","child_iron","Malawi","IHME","only",1,NA
"level","child_iron","SierraLeone","IHME","drop",381,0.274725274725275
"level","child_iron","SierraLeone","IHME","only",1,NA
"level","child_iron","Gambia","WorldPop/GHS","drop",368,0.49321468298109
"level","child_iron","Gambia","WorldPop/GHS","only",14,0.38420467185762
"level","child_iron","Ghana","WorldPop/GHS","drop",368,0.495647226173542
"level","child_iron","Ghana","WorldPop/GHS","only",14,-0.0198577524893314
"level","child_iron","Malawi","WorldPop/GHS","drop",368,-0.0434861850258803
"level","child_iron","Malawi","WorldPop/GHS","only",14,0.103885689290661
"level","child_iron","SierraLeone","WorldPop/GHS","drop",368,0.331868131868132
"level","child_iron","SierraLeone","WorldPop/GHS","only",14,0.204395604395604
"level","child_iron","Gambia","Koppen/AEZ","drop",377,0.474972191323693
"level","child_iron","Gambia","Koppen/AEZ","only",5,-0.231816580050093
"level","child_iron","Ghana","Koppen/AEZ","drop",377,0.499374110953058
"level","child_iron","Ghana","Koppen/AEZ","only",5,0.246172258388215
"level","child_iron","Malawi","Koppen/AEZ","drop",377,-0.0360683822993366
"level","child_iron","Malawi","Koppen/AEZ","only",5,0.0293289667986256
"level","child_iron","SierraLeone","Koppen/AEZ","drop",377,0.327472527472527
"level","child_iron","SierraLeone","Koppen/AEZ","only",5,-0.19646990600669
"level","child_iron","Gambia","WFP prices","drop",378,0.476751946607342
"level","child_iron","Gambia","WFP prices","only",4,0.202669632925473
"level","child_iron","Ghana","WFP prices","drop",378,0.500739687055476
"level","child_iron","Ghana","WFP prices","only",4,-0.185120910384068
"level","child_iron","Malawi","WFP prices","drop",378,-0.0325326237515492
"level","child_iron","Malawi","WFP prices","only",4,-0.089888459575709
"level","child_iron","SierraLeone","WFP prices","drop",378,0.292307692307692
"level","child_iron","SierraLeone","WFP prices","only",4,-0.235164835164835
"level","women_iron","Gambia","ALL","full",382,0.211123470522803
"level","women_iron","Ghana","ALL","full",382,0.213456614509246
"level","women_iron","Malawi","ALL","full",382,0.253371728512065
"level","women_iron","SierraLeone","ALL","full",382,-0.00659340659340659
"level","women_iron","Gambia","GEE","drop",306,0.130589543937709
"level","women_iron","Gambia","GEE","only",76,0.175528364849833
"level","women_iron","Ghana","GEE","drop",306,0.2249786628734
"level","women_iron","Ghana","GEE","only",76,0.130071123755334
"level","women_iron","Malawi","GEE","drop",306,0.286050156739812
"level","women_iron","Malawi","GEE","only",76,0.00592330684552016
"level","women_iron","SierraLeone","GEE","drop",306,0.0593406593406593
"level","women_iron","SierraLeone","GEE","only",76,-0.2
"level","women_iron","Gambia","AlphaEarth","drop",318,0.187096774193548
"level","women_iron","Gambia","AlphaEarth","only",64,0.26273637374861
"level","women_iron","Ghana","AlphaEarth","drop",318,0.233342816500711
"level","women_iron","Ghana","AlphaEarth","only",64,0.118378378378378
"level","women_iron","Malawi","AlphaEarth","drop",318,0.229368666618065
"level","women_iron","Malawi","AlphaEarth","only",64,0.250054676678574
"level","women_iron","SierraLeone","AlphaEarth","drop",318,0.0153846153846154
"level","women_iron","SierraLeone","AlphaEarth","only",64,-0.27032967032967
"level","women_iron","Gambia","DHS","drop",244,0.548387096774194
"level","women_iron","Gambia","DHS","only",138,-0.307230255839822
"level","women_iron","Ghana","DHS","drop",244,0.222901849217639
"level","women_iron","Ghana","DHS","only",138,0.218816924223499
"level","women_iron","Malawi","DHS","drop",244,0.236349055916017
"level","women_iron","Malawi","DHS","only",138,0.0851862652183422
"level","women_iron","SierraLeone","DHS","drop",244,0.0153846153846154
"level","women_iron","SierraLeone","DHS","only",138,0.301098901098901
"level","women_iron","Gambia","SoilGrids/iSDA","drop",337,-0.00111234705228031
"level","women_iron","Gambia","SoilGrids/iSDA","only",45,0.659176863181313
"level","women_iron","Ghana","SoilGrids/iSDA","drop",337,0.170782361308677
"level","women_iron","Ghana","SoilGrids/iSDA","only",45,0.323556187766714
"level","women_iron","Malawi","SoilGrids/iSDA","drop",337,0.19093096158052
"level","women_iron","Malawi","SoilGrids/iSDA","only",45,0.333600641539695
"level","women_iron","SierraLeone","SoilGrids/iSDA","drop",337,-0.0945054945054945
"level","women_iron","SierraLeone","SoilGrids/iSDA","only",45,0.248351648351648
"level","women_iron","Gambia","MapSPAM","drop",370,0.145272525027809
"level","women_iron","Gambia","MapSPAM","only",12,0.162180200222469
"level","women_iron","Ghana","MapSPAM","drop",370,0.213570412517781
"level","women_iron","Ghana","MapSPAM","only",12,0.3462597482218
"level","women_iron","Malawi","MapSPAM","drop",370,0.233943282058759
"level","women_iron","Malawi","MapSPAM","only",12,0.0365936469334772
"level","women_iron","SierraLeone","MapSPAM","drop",370,0.0021978021978022
"level","women_iron","SierraLeone","MapSPAM","only",12,0.287912087912088
"level","women_iron","Gambia","Malaria Atlas","drop",359,0.120800889877642
"level","women_iron","Gambia","Malaria Atlas","only",23,0.372636262513904
"level","women_iron","Ghana","Malaria Atlas","drop",359,0.188421052631579
"level","women_iron","Ghana","Malaria Atlas","only",23,0.251209103840683
"level","women_iron","Malawi","Malaria Atlas","drop",359,0.216629000510316
"level","women_iron","Malawi","Malaria Atlas","only",23,0.0665050667055479
"level","women_iron","SierraLeone","Malaria Atlas","drop",359,-0.0197802197802198
"level","women_iron","SierraLeone","Malaria Atlas","only",23,0.476923076923077
"level","women_iron","Gambia","IHME","drop",381,0.23559510567297
"level","women_iron","Gambia","IHME","only",1,NA
"level","women_iron","Ghana","IHME","drop",381,0.217894736842105
"level","women_iron","Ghana","IHME","only",1,NA
"level","women_iron","Malawi","IHME","drop",381,0.256707005905081
"level","women_iron","Malawi","IHME","only",1,NA
"level","women_iron","SierraLeone","IHME","drop",381,0.0021978021978022
"level","women_iron","SierraLeone","IHME","only",1,NA
"level","women_iron","Gambia","WorldPop/GHS","drop",368,0.268965517241379
"level","women_iron","Gambia","WorldPop/GHS","only",14,-0.49944382647386
"level","women_iron","Ghana","WorldPop/GHS","drop",368,0.235874822190612
"level","women_iron","Ghana","WorldPop/GHS","only",14,-0.209445234708393
"level","women_iron","Malawi","WorldPop/GHS","drop",368,0.245407158999781
"level","women_iron","Malawi","WorldPop/GHS","only",14,-0.0106619523219363
"level","women_iron","SierraLeone","WorldPop/GHS","drop",368,0.00659340659340659
"level","women_iron","SierraLeone","WorldPop/GHS","only",14,-0.138461538461538
"level","women_iron","Gambia","Koppen/AEZ","drop",377,0.217797552836485
"level","women_iron","Gambia","Koppen/AEZ","only",5,-0.186682057328821
"level","women_iron","Ghana","Koppen/AEZ","drop",377,0.212091038406828
"level","women_iron","Ghana","Koppen/AEZ","only",5,0.134397538329433
"level","women_iron","Malawi","Koppen/AEZ","drop",377,0.250072902238099
"level","women_iron","Malawi","Koppen/AEZ","only",5,0.0900420288697762
"level","women_iron","SierraLeone","Koppen/AEZ","drop",377,0.0021978021978022
"level","women_iron","SierraLeone","Koppen/AEZ","only",5,-0.311261311763408
"level","women_iron","Gambia","WFP prices","drop",378,0.243604004449388
"level","women_iron","Gambia","WFP prices","only",4,-0.146162402669633
"level","women_iron","Ghana","WFP prices","drop",378,0.209103840682788
"level","women_iron","Ghana","WFP prices","only",4,0.0619630156472262
"level","women_iron","Malawi","WFP prices","drop",378,0.249562586571408
"level","women_iron","Malawi","WFP prices","only",4,-0.0473864547641612
"level","women_iron","SierraLeone","WFP prices","drop",378,0.0021978021978022
"level","women_iron","SierraLeone","WFP prices","only",4,0.138461538461538
"level","women_folate","Ghana","ALL","full",382,-0.134822190611664
"level","women_folate","Malawi","ALL","full",382,-0.101625719909601
"level","women_folate","SierraLeone","ALL","full",382,0.0945054945054945
"level","women_folate","Ghana","GEE","drop",306,-0.186856330014225
"level","women_folate","Ghana","GEE","only",76,0.134793741109531
"level","women_folate","Malawi","GEE","drop",306,-0.196088794926004
"level","women_folate","Malawi","GEE","only",76,0.147645257709412
"level","women_folate","SierraLeone","GEE","drop",306,0.0197802197802198
"level","women_folate","SierraLeone","GEE","only",76,0.534065934065934
"level","women_folate","Ghana","AlphaEarth","drop",318,-0.146088193456614
"level","women_folate","Ghana","AlphaEarth","only",64,-0.0327453769559033
"level","women_folate","Malawi","AlphaEarth","drop",318,-0.0786615149085077
"level","women_folate","Malawi","AlphaEarth","only",64,-0.141138732959102
"level","women_folate","SierraLeone","AlphaEarth","drop",318,0.204395604395604
"level","women_folate","SierraLeone","AlphaEarth","only",64,-0.305494505494505
"level","women_folate","Ghana","DHS","drop",244,-0.01425320056899
"level","women_folate","Ghana","DHS","only",138,-0.223597630806443
"level","women_folate","Malawi","DHS","drop",244,0.0813953488372093
"level","women_folate","Malawi","DHS","only",138,-0.252095939345338
"level","women_folate","SierraLeone","DHS","drop",244,0.336263736263736
"level","women_folate","SierraLeone","DHS","only",138,-0.0725274725274725
"level","women_folate","Ghana","SoilGrids/iSDA","drop",337,-0.143926031294452
"level","women_folate","Ghana","SoilGrids/iSDA","only",45,-0.0089900426742532
"level","women_folate","Malawi","SoilGrids/iSDA","drop",337,-0.107129838886054
"level","women_folate","Malawi","SoilGrids/iSDA","only",45,0.0905263541590727
"level","women_folate","SierraLeone","SoilGrids/iSDA","drop",337,0.107692307692308
"level","women_folate","SierraLeone","SoilGrids/iSDA","only",45,-0.0901098901098901
"level","women_folate","Ghana","MapSPAM","drop",370,-0.166116642958748
"level","women_folate","Ghana","MapSPAM","only",12,0.0691352776384668
"level","women_folate","Malawi","MapSPAM","drop",370,-0.127834074506087
"level","women_folate","Malawi","MapSPAM","only",12,0.123525204704711
"level","women_folate","SierraLeone","MapSPAM","drop",370,0.0857142857142857
"level","women_folate","SierraLeone","MapSPAM","only",12,-0.0549450549450549
"level","women_folate","Ghana","Malaria Atlas","drop",359,-0.144096728307255
"level","women_folate","Ghana","Malaria Atlas","only",23,-0.0553342816500711
"level","women_folate","Malawi","Malaria Atlas","drop",359,-0.106874681052708
"level","women_folate","Malawi","Malaria Atlas","only",23,0.0245133775606911
"level","women_folate","SierraLeone","Malaria Atlas","drop",359,-0.0285714285714286
"level","women_folate","SierraLeone","Malaria Atlas","only",23,0.432967032967033
"level","women_folate","Ghana","IHME","drop",381,-0.132290184921764
"level","women_folate","Ghana","IHME","only",1,NA
"level","women_folate","Malawi","IHME","drop",381,-0.101188306481009
"level","women_folate","Malawi","IHME","only",1,NA
"level","women_folate","SierraLeone","IHME","drop",381,0.116483516483516
"level","women_folate","SierraLeone","IHME","only",1,NA
"level","women_folate","Ghana","WorldPop/GHS","drop",368,-0.124836415362731
"level","women_folate","Ghana","WorldPop/GHS","only",14,-0.197183499288762
"level","women_folate","Malawi","WorldPop/GHS","drop",368,-0.109098199314719
"level","women_folate","Malawi","WorldPop/GHS","only",14,-0.117390828898447
"level","women_folate","SierraLeone","WorldPop/GHS","drop",368,0.0857142857142857
"level","women_folate","SierraLeone","WorldPop/GHS","only",14,0.410989010989011
"level","women_folate","Ghana","Koppen/AEZ","drop",377,-0.129473684210526
"level","women_folate","Ghana","Koppen/AEZ","only",5,0.0294661684783309
"level","women_folate","Malawi","Koppen/AEZ","drop",377,-0.0975431945760735
"level","women_folate","Malawi","Koppen/AEZ","only",5,-0.0387277543525919
"level","women_folate","SierraLeone","Koppen/AEZ","drop",377,0.0945054945054945
"level","women_folate","SierraLeone","Koppen/AEZ","only",5,-0.0331129055067455
