"target","outcome","heldout","set","n_train_countries","train_set","spearman"
"prev","child_vitA","Gambia","climate_soil",2,"Ghana+SierraLeone",0.646397633967341
"prev","child_vitA","Gambia","full",2,"Malawi+SierraLeone",0.273081839849745
"prev","child_vitA","Gambia","climate_soil",2,"Malawi+SierraLeone",0.593607751386273
"prev","child_vitA","Gambia","full",3,"Ghana+Malawi+SierraLeone",0.58113419263294
"prev","child_vitA","Gambia","climate_soil",3,"Ghana+Malawi+SierraLeone",0.643724728520198
"prev","child_vitA","Ghana","full",1,"Gambia",0.357504964911734
"prev","child_vitA","Ghana","climate_soil",1,"Gambia",0.245112147800219
"prev","child_vitA","Ghana","full",1,"Malawi",0.365848473669532
"prev","child_vitA","Ghana","climate_soil",1,"Malawi",0.310680618348572
"prev","child_vitA","Ghana","full",2,"Gambia+Malawi",0.347535910482158
"prev","child_vitA","Ghana","climate_soil",2,"Gambia+Malawi",0.266330553692896
"prev","child_vitA","Ghana","full",2,"Gambia+SierraLeone",0.299071632887291
"prev","child_vitA","Ghana","climate_soil",2,"Gambia+SierraLeone",0.260303087883383
"prev","child_vitA","Ghana","full",2,"Malawi+SierraLeone",0.319786551182514
"prev","child_vitA","Ghana","climate_soil",2,"Malawi+SierraLeone",0.264920788420026
"prev","child_vitA","Ghana","full",3,"Gambia+Malawi+SierraLeone",0.351132250463967
"prev","child_vitA","Ghana","climate_soil",3,"Gambia+Malawi+SierraLeone",0.226396794534881
"prev","child_vitA","Malawi","full",1,"Gambia",0.0834174633473037
"prev","child_vitA","Malawi","climate_soil",1,"Gambia",0.173641212931435
"prev","child_vitA","Malawi","full",1,"Ghana",0.282789294038383
"prev","child_vitA","Malawi","climate_soil",1,"Ghana",0.249357577585601
"prev","child_vitA","Malawi","full",2,"Gambia+Ghana",0.21517383789826
"prev","child_vitA","Malawi","climate_soil",2,"Gambia+Ghana",0.181618370786626
"prev","child_vitA","Malawi","full",2,"Gambia+SierraLeone",0.0766492542362763
"prev","child_vitA","Malawi","climate_soil",2,"Gambia+SierraLeone",0.147939153016141
"prev","child_vitA","Malawi","full",2,"Ghana+SierraLeone",0.292432326147343
"prev","child_vitA","Malawi","climate_soil",2,"Ghana+SierraLeone",0.204997726028094
"prev","child_vitA","Malawi","full",3,"Gambia+Ghana+SierraLeone",0.219295686766157
"prev","child_vitA","Malawi","climate_soil",3,"Gambia+Ghana+SierraLeone",0.2011995327295
"prev","child_vitA","SierraLeone","full",1,"Gambia",-0.323076923076923
"prev","child_vitA","SierraLeone","climate_soil",1,"Gambia",0.279120879120879
