"outcome","country","rank_from","set","fraction","rep","design","n_units","n_raw_total","n_eff_total","rho_train","rho_obs","mae","spearman","capture"
"child_vitA","Gambia","prev","full",0.1,5,"C_regional_survey",30,1020,656.8,0.264,0.654,12.1811137758419,0.487135865346315,0.152561034901834
"child_vitA","Gambia","prev","full",0.1,6,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.23689346055224,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,6,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,12.5516181527838,0.471767811420685,0.190316660826194
"child_vitA","Gambia","prev","full",0.1,6,"B_district_survey",30,1020,656.8,0.264,0.654,12.8445551237839,0.634282247780868,0.240167812387376
"child_vitA","Gambia","prev","full",0.1,6,"C_regional_survey",30,1020,656.8,0.264,0.654,12.542881019859,0.502586070030807,0.152561034901834
"child_vitA","Gambia","prev","full",0.1,7,"A1_anchor_rank",30,1020,656.8,0.264,0.654,8.91285406423339,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,7,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,10.4464901996548,0.363737882932001,0.130859638191987
"child_vitA","Gambia","prev","full",0.1,7,"B_district_survey",30,1020,656.8,0.264,0.654,16.5132386182445,0.469025797552813,0.290608085585808
"child_vitA","Gambia","prev","full",0.1,7,"C_regional_survey",30,1020,656.8,0.264,0.654,10.4149265619256,0.301733409132419,0.0777464265750897
"child_vitA","Gambia","prev","full",0.1,8,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.79181507533754,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,8,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,16.5314279368069,0.612318089516271,0.190316660826194
"child_vitA","Gambia","prev","full",0.1,8,"B_district_survey",30,1020,656.8,0.264,0.654,17.7631456290331,0.651590128397448,0.181748753355907
"child_vitA","Gambia","prev","full",0.1,8,"C_regional_survey",30,1020,656.8,0.264,0.654,16.5521332951686,0.607556578328381,0.152561034901834
"child_vitA","Gambia","prev","full",0.1,9,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.13759812730492,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,9,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,9.9907194959209,0.452166504808305,0.277959543636659
"child_vitA","Gambia","prev","full",0.1,9,"B_district_survey",30,1020,656.8,0.264,0.654,19.5340919726745,0.461035011153011,0.155985131660881
"child_vitA","Gambia","prev","full",0.1,9,"C_regional_survey",30,1020,656.8,0.264,0.654,9.88263324051171,0.439876415723165,0.34989713574588
"child_vitA","Gambia","prev","full",0.1,10,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.41092359512841,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,10,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,11.4181084410079,0.553514169679132,0.0794435419189066
"child_vitA","Gambia","prev","full",0.1,10,"B_district_survey",30,1020,656.8,0.264,0.654,14.1370594499943,0.676209947925029,0.154484770994777
"child_vitA","Gambia","prev","full",0.1,10,"C_regional_survey",30,1020,656.8,0.264,0.654,11.5231304071662,0.544392506235901,0.11689149537216
"child_vitA","Gambia","prev","full",0.1,11,"A1_anchor_rank",30,1020,656.8,0.264,0.654,11.2561470398405,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,11,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,10.9191166096923,0.443925046346282,0.34989713574588
"child_vitA","Gambia","prev","full",0.1,11,"B_district_survey",30,1020,656.8,0.264,0.654,16.1778210401767,0.403462078810201,0.148413320115251
"child_vitA","Gambia","prev","full",0.1,11,"C_regional_survey",30,1020,656.8,0.264,0.654,11.0766833244941,0.439876415723165,0.34989713574588
"child_vitA","Gambia","prev","full",0.1,12,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.27812556620012,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,12,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,8.00513056759174,0.667335393303292,0.126002912331804
