"country","outcome","rep","fold","package","discrete_pick","w_domain_index","w_enet","w_rf","w_mean","w_hapc"
"Ghana","child_vitA",4,3,"SuperLearner","mean",0.232175324272097,0,0,0.767824675727903,NA
"Ghana","child_vitA",4,3,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","child_vitA",4,5,"SuperLearner","rf",0.232374101855724,0,0.472732851668195,0.294893046476081,NA
"Ghana","child_vitA",4,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",5,2,"SuperLearner","rf",0.39415619021772,0,0,0.60584380978228,NA
"Ghana","child_vitA",5,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",5,3,"SuperLearner","mean",0.204713904623599,0,0,0.795286095376401,NA
"Ghana","child_vitA",5,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",5,5,"SuperLearner","rf",0.308569972790395,0,0,0.691430027209605,NA
"Ghana","child_vitA",5,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",5,1,"SuperLearner","rf",0.154042946686303,0,0.41967991317733,0.426277140136367,NA
"Ghana","child_vitA",5,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",5,4,"SuperLearner","rf",0.334932143528515,0,0,0.665067856471485,NA
"Ghana","child_vitA",5,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","women_vitA",1,1,"SuperLearner","rf",0.14845055124425,0,0.189097692962403,0.662451755793346,NA
"Ghana","women_vitA",1,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","women_vitA",1,3,"SuperLearner","mean",0.193356238588156,0,0,0.806643761411844,NA
"Ghana","women_vitA",1,3,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","women_vitA",1,4,"SuperLearner","enet",0.318400939685273,0.191101285713533,0,0.490497774601193,NA
"Ghana","women_vitA",1,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","women_vitA",1,5,"SuperLearner","enet",0,1,0,0,NA
