"country","Admin1","Admin2","n_clusters","date_med","date_first","date_last","month_med","year_med","month_first","month_last","n_months"
"Malawi","Dowa","SC Mponela",1,2016-02-09,2016-02-09,2016-02-09,2,2016,2,2,1
"Malawi","Dowa","TA Dzoole",1,2016-02-11,2016-02-11,2016-02-11,2,2016,2,2,1
"Malawi","Karonga","Karonga Town",1,2016-02-09,2016-02-09,2016-02-09,2,2016,2,2,1
"Malawi","Karonga","TA Kilupula",2,2015-12-16,2015-12-16,2015-12-16,12,2015,12,12,1
"Malawi","Karonga","TA Kyungu",3,2016-01-19,2016-01-19,2016-01-19,1,2016,1,1,1
"Malawi","Karonga","TA Wasambo",1,2016-02-12,2016-02-12,2016-02-12,2,2016,2,2,1
"Malawi","Kasungu","SC Kawamba",1,2016-01-23,2016-01-23,2016-01-23,1,2016,1,1,1
"Malawi","Kasungu","TA Kaluluma",1,2015-12-16,2015-12-16,2015-12-16,12,2015,12,12,1
"Malawi","Kasungu","TA Mwase",1,2015-12-18,2015-12-18,2015-12-18,12,2015,12,12,1
"Malawi","Kasungu","TA Santhe",1,2016-01-12,2016-01-12,2016-01-12,1,2016,1,1,1
"Malawi","Lilongwe","Lilongwe City",1,2016-01-20,2016-01-20,2016-01-20,1,2016,1,1,1
"Malawi","Lilongwe","TA Chiseka",1,2015-12-19,2015-12-19,2015-12-19,12,2015,12,12,1
"Malawi","Lilongwe","TA Kabudula",1,2015-12-17,2015-12-17,2015-12-17,12,2015,12,12,1
"Malawi","Lilongwe","TA Khongoni",1,2015-12-12,2015-12-12,2015-12-12,12,2015,12,12,1
"Malawi","Machinga","SC Chikweo",1,2016-01-18,2016-01-18,2016-01-18,1,2016,1,1,1
"Malawi","Machinga","TA Kawinga",1,2016-01-13,2016-01-13,2016-01-13,1,2016,1,1,1
"Malawi","Mangochi","SC Chowe",1,2015-12-19,2015-12-19,2015-12-19,12,2015,12,12,1
"Malawi","Mangochi","TA Mponda",1,2015-12-24,2015-12-24,2015-12-24,12,2015,12,12,1
"Malawi","Mangochi","TA Nankumba",1,2016-01-11,2016-01-11,2016-01-11,1,2016,1,1,1
"Malawi","Mchinji","SC Dambe",1,2016-01-14,2016-01-14,2016-01-14,1,2016,1,1,1
"Malawi","Mchinji","SC Mduwa",1,2016-01-18,2016-01-18,2016-01-18,1,2016,1,1,1
"Malawi","Mchinji","TA Mlonyeni",1,2016-01-26,2016-01-26,2016-01-26,1,2016,1,1,1
"Malawi","Mchinji","TA Zulu",1,2016-01-29,2016-01-29,2016-01-29,1,2016,1,1,1
"Malawi","Mulanje","SC Juma",1,2015-12-15,2015-12-15,2015-12-15,12,2015,12,12,1
"Malawi","Mulanje","TA Mabuka",2,2016-02-02,2016-02-02,2016-02-02,2,2016,2,2,1
"Malawi","Mwanza","Majete Game Reserve - Mwanza",1,2016-01-18,2016-01-18,2016-01-18,1,2016,1,1,1
"Malawi","Mwanza","TA Nthache",1,2016-01-16,2016-01-16,2016-01-16,1,2016,1,1,1
