"country","outcome","rep","fold","pick_mse","pick_rank","pick_wrank","pick_burden","w_mse_idx","w_rank_idx","w_wrank_idx","w_burden_idx"
"Ghana","child_vitA",5,4,"rf","domain_index","domain_index","rf",0.413946320685218,0.866896542260152,0.818631493951167,0.248431164699362
"Ghana","women_vitA",1,1,"enet","domain_index","domain_index","rf",0.259131819485897,0.659307459293047,0.742504267607007,0.00182624415443448
"Ghana","women_vitA",1,3,"mean","domain_index","rf","rf",0.0556432163611,0.298591718784798,0.130980217980162,0.992618633207016
"Ghana","women_vitA",1,4,"rf","domain_index","domain_index","enet",0.406785311879419,0.419924973895666,0.497763329064991,0.00246045559766148
"Ghana","women_vitA",1,5,"mean","domain_index","domain_index","mean",0,0.53048929782088,0.661429028206932,0.00157025579470401
"Ghana","women_vitA",1,2,"mean","mean","mean","mean",0,0.38919297517075,0.306600763434163,7.85169499432281e-05
"Ghana","women_vitA",2,2,"mean","domain_index","domain_index","domain_index",0,0.581181937010056,0.559972688158929,0.994521267536697
"Ghana","women_vitA",2,3,"mean","domain_index","domain_index","rf",0.144936709417038,0.519039851449587,0.654742275960515,0.00357150892430801
"Ghana","women_vitA",2,1,"mean","domain_index","domain_index","domain_index",0.204250083252866,0.554644644007417,0.765289154226355,0.992618633207016
"Ghana","women_vitA",2,4,"enet","domain_index","enet","enet",0.212880004421802,0.46450580192117,0.462778872111918,0.106992168803955
"Ghana","women_vitA",2,5,"mean","domain_index","domain_index","rf",0.101534738904703,0.431152560274192,0.429878634268744,0.994521267536697
"Ghana","women_vitA",3,5,"mean","mean","mean","mean",0,0.226603063715706,0.211435420228523,0.00246045559766148
"Ghana","women_vitA",3,1,"mean","domain_index","domain_index","domain_index",0.412930455695096,0.684193449604451,0.7869887852222,0.948895578840616
"Ghana","women_vitA",3,4,"mean","domain_index","domain_index","enet",0.36603840727222,0.500894814707328,0.713241881696325,0.00246045559766148
"Ghana","women_vitA",3,3,"enet","domain_index","domain_index","domain_index",0.255675168075936,0.494329014626282,0.56138674559913,0.992618633207016
"Ghana","women_vitA",3,2,"mean","domain_index","domain_index","domain_index",0.140777431221659,0.635981542173777,0.720751553353597,0.992618633207016
"Ghana","women_vitA",4,1,"mean","domain_index","domain_index","domain_index",0.133840911533745,0.673275467626404,0.769657177565232,0.992618633207016
"Ghana","women_vitA",4,2,"mean","domain_index","domain_index","domain_index",0.0199060924377453,0.392535107927334,0.385572328378569,0.994521267536697
"Ghana","women_vitA",4,4,"mean","domain_index","domain_index","enet",0.192983566373945,0.439689489930282,0.42670530469833,0.25
"Ghana","women_vitA",4,3,"mean","domain_index","domain_index","domain_index",0.17673439609825,0.608545249087139,0.670295479231068,0.992618633207016
"Ghana","women_vitA",4,5,"mean","domain_index","domain_index","domain_index",0.201042057964928,0.640468284290269,0.853096459133067,0.992618633207016
