"target","outcome","representation","learner","country","n_areas","n_predictors","spearman","topk"
"prev","women_iron","pc12","index","SierraLeone",14,36,-0.0549450549450549,0
"prev","women_iron","pc123","enet","Gambia",30,54,NA,0.125
"prev","women_iron","pc123","enet","Ghana",75,54,0.254598950799632,0.421052631578947
"prev","women_iron","pc123","enet","Malawi",87,54,0.0860185683317033,0.363636363636364
"prev","women_iron","pc123","enet","SierraLeone",14,54,0.191208791208791,0.25
"prev","women_iron","pc123","index","Gambia",30,54,0.123706753463234,0.125
"prev","women_iron","pc123","index","Ghana",75,54,0.349215661760829,0.473684210526316
"prev","women_iron","pc123","index","Malawi",87,54,0.134567733391402,0.409090909090909
"prev","women_iron","pc123","index","SierraLeone",14,54,-0.138461538461538,0
"prev","women_iron","pcvar","enet","Gambia",30,115,NA,0.125
"prev","women_iron","pcvar","enet","Ghana",75,115,0.239851060176878,0.421052631578947
"prev","women_iron","pcvar","enet","Malawi",87,115,0.13864049461662,0.318181818181818
"prev","women_iron","pcvar","enet","SierraLeone",14,115,0.0373626373626374,0.25
"prev","women_iron","pcvar","index","Gambia",30,115,0.150851041093655,0.125
"prev","women_iron","pcvar","index","Ghana",75,115,0.285303339666906,0.473684210526316
"prev","women_iron","pcvar","index","Malawi",87,115,0.134438145534236,0.409090909090909
"prev","women_iron","pcvar","index","SierraLeone",14,115,-0.120879120879121,0
"prev","women_iron","sup1","enet","Gambia",30,18,0.130381578290387,0.375
"prev","women_iron","sup1","enet","Ghana",75,18,0.211218570089777,0.473684210526316
"prev","women_iron","sup1","enet","Malawi",87,18,0.113111686754914,0.409090909090909
"prev","women_iron","sup1","enet","SierraLeone",14,18,0.0989010989010989,0.25
"prev","women_iron","sup1","index","Gambia",30,18,-0.0849927694657469,0.125
"prev","women_iron","sup1","index","Ghana",75,18,0.307892791645172,0.473684210526316
"prev","women_iron","sup1","index","Malawi",87,18,0.00574814709286428,0.227272727272727
"prev","women_iron","sup1","index","SierraLeone",14,18,-0.191208791208791,0
"prev","women_iron","raw","enet","Gambia",30,382,0.404716878686371,0.5
"prev","women_iron","raw","enet","Ghana",75,382,0.228139076794516,0.473684210526316
"prev","women_iron","raw","enet","Malawi",87,382,0.244523030196772,0.363636363636364
"prev","women_iron","raw","enet","SierraLeone",14,382,-0.208791208791209,0
"prev","women_folate","mean1","enet","Ghana",75,19,0.0694787175549126,0.210526315789474
"prev","women_folate","mean1","enet","Malawi",87,19,-0.0945202623430962,0.272727272727273
"prev","women_folate","mean1","enet","SierraLeone",14,19,0.151648351648352,0.25
"prev","women_folate","mean1","index","Ghana",75,19,-0.203177148197504,0.105263157894737
"prev","women_folate","mean1","index","Malawi",87,19,-0.15338830834051,0.136363636363636
"prev","women_folate","mean1","index","SierraLeone",14,19,0.173626373626374,0.25
"prev","women_folate","pc1","enet","Ghana",75,18,0.134083235847511,0.210526315789474
"prev","women_folate","pc1","enet","Malawi",87,18,-0.139434608000516,0.136363636363636
"prev","women_folate","pc1","enet","SierraLeone",14,18,0.178021978021978,0.25
"prev","women_folate","pc1","index","Ghana",75,18,-0.101232272983086,0.105263157894737
"prev","women_folate","pc1","index","Malawi",87,18,-0.15298803541548,0.181818181818182
"prev","women_folate","pc1","index","SierraLeone",14,18,-0.142857142857143,0
"prev","women_folate","pc12","enet","Ghana",75,36,0.140881461134423,0.263157894736842
"prev","women_folate","pc12","enet","Malawi",87,36,-0.000279260180253386,0.272727272727273
"prev","women_folate","pc12","enet","SierraLeone",14,36,-0.12967032967033,0
"prev","women_folate","pc12","index","Ghana",75,36,-0.152040812077089,0.0526315789473684
"prev","women_folate","pc12","index","Malawi",87,36,-0.165042766529751,0.136363636363636
"prev","women_folate","pc12","index","SierraLeone",14,36,0.0461538461538462,0.25
"prev","women_folate","pc123","enet","Ghana",75,54,0.231994782432588,0.315789473684211
"prev","women_folate","pc123","enet","Malawi",87,54,0.0957303897908609,0.363636363636364
"prev","women_folate","pc123","enet","SierraLeone",14,54,-0.437362637362637,0
"prev","women_folate","pc123","index","Ghana",75,54,-0.123736251448564,0.0526315789473684
"prev","women_folate","pc123","index","Malawi",87,54,-0.0874829058007108,0.227272727272727
"prev","women_folate","pc123","index","SierraLeone",14,54,-0.0021978021978022,0.25
"prev","women_folate","pcvar","enet","Ghana",75,110,0.105821431352867,0.263157894736842
"prev","women_folate","pcvar","enet","Malawi",87,110,0.441110072055574,0.545454545454545
"prev","women_folate","pcvar","enet","SierraLeone",14,110,-0.437362637362637,0
"prev","women_folate","pcvar","index","Ghana",75,110,-0.0588894483973126,0.157894736842105
"prev","women_folate","pcvar","index","Malawi",87,110,-0.0392174379802506,0.227272727272727
"prev","women_folate","pcvar","index","SierraLeone",14,110,0.0725274725274725,0.25
"prev","women_folate","sup1","enet","Ghana",75,18,0.056680381480182,0.263157894736842
"prev","women_folate","sup1","enet","Malawi",87,18,0.0562243829576818,0.318181818181818
"prev","women_folate","sup1","enet","SierraLeone",14,18,0.151648351648352,0.25
"prev","women_folate","sup1","index","Ghana",75,18,-0.106648049941212,0.157894736842105
"prev","women_folate","sup1","index","Malawi",87,18,-0.140709896157006,0.227272727272727
"prev","women_folate","sup1","index","SierraLeone",14,18,0.142857142857143,0.25
"prev","women_folate","raw","enet","Ghana",75,382,0.204716369017182,0.473684210526316
"prev","women_folate","raw","enet","Malawi",87,382,0.273889076119846,0.454545454545455
"prev","women_folate","raw","enet","SierraLeone",14,382,-0.0417582417582418,0
"prev","women_b12","mean1","enet","Ghana",75,19,NA,0.157894736842105
"prev","women_b12","mean1","enet","Malawi",87,19,0.151067012223715,0.409090909090909
"prev","women_b12","mean1","enet","SierraLeone",14,19,-0.30557532441858,0.25
"prev","women_b12","mean1","index","Ghana",75,19,0.211338447398812,0.210526315789474
"prev","women_b12","mean1","index","Malawi",87,19,0.275526051759147,0.454545454545455
"prev","women_b12","mean1","index","SierraLeone",14,19,-0.346869287177847,0.25
"prev","women_b12","pc1","enet","Ghana",75,18,NA,0.157894736842105
"prev","women_b12","pc1","enet","Malawi",87,18,-0.0102623686483617,0.272727272727273
"prev","women_b12","pc1","enet","SierraLeone",14,18,-0.222987398900045,0.25
"prev","women_b12","pc1","index","Ghana",75,18,0.207272670115831,0.315789473684211
"prev","women_b12","pc1","index","Malawi",87,18,0.317403934424208,0.454545454545455
"prev","women_b12","pc1","index","SierraLeone",14,18,-0.346869287177847,0.25
"prev","women_b12","pc12","enet","Ghana",75,36,0.0920701823436296,0.368421052631579
"prev","women_b12","pc12","enet","Malawi",87,36,-0.00945868917589963,0.272727272727273
"prev","women_b12","pc12","enet","SierraLeone",14,36,-0.156917058485217,0.25
"prev","women_b12","pc12","index","Ghana",75,36,0.258668685366415,0.421052631578947
"prev","women_b12","pc12","index","Malawi",87,36,0.308860203416958,0.409090909090909
"prev","women_b12","pc12","index","SierraLeone",14,36,-0.311081186119815,0.25
"prev","women_b12","pc123","enet","Ghana",75,54,-0.0844960327277541,0.157894736842105
"prev","women_b12","pc123","enet","Malawi",87,54,-0.0359801117671476,0.272727272727273
"prev","women_b12","pc123","enet","SierraLeone",14,54,-0.357881010580319,0.25
"prev","women_b12","pc123","index","Ghana",75,54,0.242962981184578,0.421052631578947
"prev","women_b12","pc123","index","Malawi",87,54,0.264311632043407,0.409090909090909
"prev","women_b12","pc123","index","SierraLeone",14,54,-0.264281361659312,0.25
"prev","women_b12","pcvar","enet","Ghana",75,110,-0.0914308060773544,0.0526315789473684
"prev","women_b12","pcvar","enet","Malawi",87,110,-0.0460693802214405,0.136363636363636
"prev","women_b12","pcvar","enet","SierraLeone",14,110,-0.181693436140777,0.25
"prev","women_b12","pcvar","index","Ghana",75,110,0.21158436134738,0.368421052631579
"prev","women_b12","pcvar","index","Malawi",87,110,0.250772724007315,0.363636363636364
"prev","women_b12","pcvar","index","SierraLeone",14,110,-0.275293085061784,0.25
"prev","women_b12","sup1","enet","Ghana",75,18,0.201895351773824,0.263157894736842
"prev","women_b12","sup1","enet","Malawi",87,18,0.331153035553098,0.545454545454545
"prev","women_b12","sup1","enet","SierraLeone",14,18,-0.253269638256841,0.25
"prev","women_b12","sup1","index","Ghana",75,18,0.236798738207156,0.368421052631579
"prev","women_b12","sup1","index","Malawi",87,18,0.305076727746598,0.409090909090909
"prev","women_b12","sup1","index","SierraLeone",14,18,-0.30557532441858,0.25
"prev","women_b12","raw","enet","Ghana",75,382,0.210567917026634,0.421052631578947
"prev","women_b12","raw","enet","Malawi",87,382,0.164049526778871,0.363636363636364
"prev","women_b12","raw","enet","SierraLeone",14,382,0.0357881010580319,0.25
"level","child_vitA","mean1","enet","Gambia",30,19,0.611123470522803,0.625
"level","child_vitA","mean1","enet","Ghana",75,19,0.393229018492176,0.526315789473684
"level","child_vitA","mean1","enet","Malawi",87,19,0.11467522052927,0.272727272727273
"level","child_vitA","mean1","enet","SierraLeone",14,19,0.0593406593406593,0.5
"level","child_vitA","mean1","index","Gambia",30,19,0.743715239154616,0.625
"level","child_vitA","mean1","index","Ghana",75,19,0.388108108108108,0.526315789473684
"level","child_vitA","mean1","index","Malawi",87,19,0.201374207188161,0.363636363636364
"level","child_vitA","mean1","index","SierraLeone",14,19,-0.0769230769230769,0.5
"level","child_vitA","pc1","enet","Gambia",30,18,0.52035595105673,0.5
"level","child_vitA","pc1","enet","Ghana",75,18,0.350099573257468,0.473684210526316
"level","child_vitA","pc1","enet","Malawi",87,18,0.0369614347160458,0.227272727272727
"level","child_vitA","pc1","enet","SierraLeone",14,18,0.032967032967033,0.5
"level","child_vitA","pc1","index","Gambia",30,18,0.732591768631813,0.75
"level","child_vitA","pc1","index","Ghana",75,18,0.36452347083926,0.473684210526316
"level","child_vitA","pc1","index","Malawi",87,18,0.185682000437413,0.363636363636364
"level","child_vitA","pc1","index","SierraLeone",14,18,-0.0593406593406593,0.5
"level","child_vitA","pc12","enet","Gambia",30,36,0.462513904338153,0.375
"level","child_vitA","pc12","enet","Ghana",75,36,0.421621621621622,0.631578947368421
"level","child_vitA","pc12","enet","Malawi",87,36,0.038528832835168,0.272727272727273
"level","child_vitA","pc12","enet","SierraLeone",14,36,-0.00659340659340659,0.5
"level","child_vitA","pc12","index","Gambia",30,36,0.716573971078977,0.625
"level","child_vitA","pc12","index","Ghana",75,36,0.376130867709815,0.526315789473684
"level","child_vitA","pc12","index","Malawi",87,36,0.180505941532405,0.409090909090909
"level","child_vitA","pc12","index","SierraLeone",14,36,0.0461538461538462,0.5
"level","child_vitA","pc123","enet","Gambia",30,54,0.498109010011124,0.375
"level","child_vitA","pc123","enet","Ghana",75,54,0.423129445234708,0.578947368421053
"level","child_vitA","pc123","enet","Malawi",87,54,0.0217430925129401,0.272727272727273
"level","child_vitA","pc123","enet","SierraLeone",14,54,-0.00659340659340659,0.5
"level","child_vitA","pc123","index","Gambia",30,54,0.700111234705228,0.625
"level","child_vitA","pc123","index","Ghana",75,54,0.366941678520626,0.526315789473684
"level","child_vitA","pc123","index","Malawi",87,54,0.169789312531895,0.363636363636364
"level","child_vitA","pc123","index","SierraLeone",14,54,0.0549450549450549,0.5
"level","child_vitA","pcvar","enet","Gambia",30,115,0.343270300333704,0.5
"level","child_vitA","pcvar","enet","Ghana",75,115,0.0898150782361309,0.105263157894737
"level","child_vitA","pcvar","enet","Malawi",87,115,0.053674272800175,0.318181818181818
"level","child_vitA","pcvar","enet","SierraLeone",14,115,-0.213186813186813,0.5
"level","child_vitA","pcvar","index","Gambia",30,115,0.718353726362625,0.625
"level","child_vitA","pcvar","index","Ghana",75,115,0.36076813655761,0.578947368421053
"level","child_vitA","pcvar","index","Malawi",87,115,0.179521761318072,0.318181818181818
"level","child_vitA","pcvar","index","SierraLeone",14,115,0.0637362637362637,0.5
"level","child_vitA","sup1","enet","Gambia",30,18,0.368631813125695,0.5
"level","child_vitA","sup1","enet","Ghana",75,18,0.353798008534851,0.631578947368421
"level","child_vitA","sup1","enet","Malawi",87,18,0.047514033680834,0.318181818181818
"level","child_vitA","sup1","enet","SierraLeone",14,18,0.134065934065934,0.5
"level","child_vitA","sup1","index","Gambia",30,18,0.702780867630701,0.625
"level","child_vitA","sup1","index","Ghana",75,18,0.384096728307255,0.526315789473684
"level","child_vitA","sup1","index","Malawi",87,18,0.192516585259167,0.363636363636364
"level","child_vitA","sup1","index","SierraLeone",14,18,-0.0285714285714286,0.5
"level","child_vitA","raw","enet","Gambia",30,382,0.395328142380423,0.5
"level","child_vitA","raw","enet","Ghana",75,382,0.152091038406828,0.421052631578947
"level","child_vitA","raw","enet","Malawi",87,382,0.0701319530509587,0.181818181818182
"level","child_vitA","raw","enet","SierraLeone",14,382,-0.0505494505494506,0.25
"level","women_vitA","mean1","enet","Gambia",30,19,0.553281423804227,0.5
"level","women_vitA","mean1","enet","Ghana",75,19,0.274964438122333,0.473684210526316
"level","women_vitA","mean1","enet","Malawi",87,19,0.339013632718524,0.409090909090909
"level","women_vitA","mean1","enet","SierraLeone",14,19,0.0505494505494506,0.5
"level","women_vitA","mean1","index","Gambia",30,19,0.593325917686318,0.5
"level","women_vitA","mean1","index","Ghana",75,19,0.207368421052632,0.473684210526316
"level","women_vitA","mean1","index","Malawi",87,19,0.247758256178465,0.363636363636364
"level","women_vitA","mean1","index","SierraLeone",14,19,-0.0725274725274725,0.5
"level","women_vitA","pc1","enet","Gambia",30,18,0.687652947719689,0.5
"level","women_vitA","pc1","enet","Ghana",75,18,0.293342816500711,0.473684210526316
