"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","variant","anchor"
30,0.565,0.44,0.401,17.19,17.06,-2.1,0.4,"child_iron","gambia","zscore + curated16","oracle_national"
75,0.672,0.586,0.584,23.13,21.08,9.52,0.42,"child_iron","ghana","spatial_tps","train_mean"
75,0.672,0.584,0.584,22.48,20.85,8.4,0.43,"child_iron","ghana","spatial_tps","oracle_national"
75,0.672,0.194,0.258,28.1,28.01,2.18,0.14,"child_iron","ghana","spatial + decorr20","train_mean"
75,0.672,0.225,0.258,29.19,28.64,5.64,0.16,"child_iron","ghana","spatial + decorr20","oracle_national"
75,0.672,-0.266,-0.146,40.11,39.54,-6.75,-0.16,"child_iron","ghana","spatial + curated16","train_mean"
75,0.672,-0.276,-0.146,40.61,40.35,-4.56,-0.16,"child_iron","ghana","spatial + curated16","oracle_national"
75,0.672,0.444,0.405,18.06,17.88,2.6,0.54,"child_iron","ghana","zscore + screen30","train_mean"
75,0.672,0.443,0.405,27.99,24.69,13.17,0.31,"child_iron","ghana","zscore + screen30","oracle_national"
75,0.672,0.479,0.453,17.3,17.17,2.15,0.61,"child_iron","ghana","zscore + decorr20","train_mean"
75,0.672,0.483,0.453,25.87,23.09,11.66,0.35,"child_iron","ghana","zscore + decorr20","oracle_national"
75,0.672,0.498,0.484,17.38,17.21,2.41,0.59,"child_iron","ghana","zscore + ridge_all","train_mean"
75,0.672,0.492,0.484,26.59,23.76,11.95,0.34,"child_iron","ghana","zscore + ridge_all","oracle_national"
75,0.672,0.343,0.32,19.28,19.11,2.52,0.44,"child_iron","ghana","zscore + curated16","train_mean"
75,0.672,0.353,0.32,28.72,25.58,13.05,0.26,"child_iron","ghana","zscore + curated16","oracle_national"
14,0,0.303,0.332,4.74,4.64,0.98,0.5,"child_iron","sierraleone","spatial_tps","train_mean"
14,0,0.304,0.332,4.53,4.52,-0.26,0.6,"child_iron","sierraleone","spatial_tps","oracle_national"
14,0,0.213,0.367,6.18,5.56,2.7,0.24,"child_iron","sierraleone","spatial + decorr20","train_mean"
14,0,0.208,0.367,4.97,4.97,0.01,0.32,"child_iron","sierraleone","spatial + decorr20","oracle_national"
14,0,-0.026,0.081,6.13,6.09,0.71,-0.03,"child_iron","sierraleone","spatial + curated16","train_mean"
14,0,-0.027,0.081,5.94,5.94,0.27,-0.03,"child_iron","sierraleone","spatial + curated16","oracle_national"
14,0,-0.209,0.103,29.99,24.11,17.84,-0.04,"child_iron","sierraleone","zscore + screen30","train_mean"
14,0,-0.238,0.103,10.75,10.58,1.94,-0.13,"child_iron","sierraleone","zscore + screen30","oracle_national"
14,0,-0.18,-0.103,27.95,21.34,18.05,-0.04,"child_iron","sierraleone","zscore + decorr20","train_mean"
14,0,-0.16,-0.103,8.93,8.79,1.57,-0.11,"child_iron","sierraleone","zscore + decorr20","oracle_national"
14,0,0.218,0.143,28.06,21.73,17.75,0.05,"child_iron","sierraleone","zscore + ridge_all","train_mean"
14,0,0.207,0.143,8.84,8.64,1.89,0.12,"child_iron","sierraleone","zscore + ridge_all","oracle_national"
14,0,-0.059,-0.108,28.26,21.8,17.99,-0.01,"child_iron","sierraleone","zscore + curated16","train_mean"
14,0,-0.116,-0.108,9.46,9.3,1.72,-0.07,"child_iron","sierraleone","zscore + curated16","oracle_national"
97,0.199,0.113,0.006,24.73,14.88,-19.75,58.25,"child_iron","malawi","spatial_tps","train_mean"
97,0.199,0.103,0.006,25.03,24.6,4.66,0.07,"child_iron","malawi","spatial_tps","oracle_national"
97,0.199,0.052,0.049,24.75,14.89,-19.77,237.36,"child_iron","malawi","spatial + decorr20","train_mean"
97,0.199,0.047,0.049,23.6,23.29,3.83,0.04,"child_iron","malawi","spatial + decorr20","oracle_national"
97,0.199,0.3,0.053,24.74,14.88,-19.77,279.78,"child_iron","malawi","spatial + curated16","train_mean"
97,0.199,0.173,0.053,27.09,26.13,7.14,0.11,"child_iron","malawi","spatial + curated16","oracle_national"
97,0.199,0.198,0.168,19.82,19.34,4.32,0.19,"child_iron","malawi","zscore + screen30","train_mean"
97,0.199,0.201,0.168,22.22,21.41,5.96,0.16,"child_iron","malawi","zscore + screen30","oracle_national"
97,0.199,0.072,-0.032,23.81,23.38,4.49,0.06,"child_iron","malawi","zscore + decorr20","train_mean"
97,0.199,0.07,-0.032,26.52,25.84,5.99,0.05,"child_iron","malawi","zscore + decorr20","oracle_national"
97,0.199,0.067,0.068,21.3,20.73,4.89,0.06,"child_iron","malawi","zscore + ridge_all","train_mean"
97,0.199,0.07,0.068,23.74,22.75,6.79,0.06,"child_iron","malawi","zscore + ridge_all","oracle_national"
97,0.199,0.093,0.091,23.95,23.48,4.68,0.07,"child_iron","malawi","zscore + curated16","train_mean"
97,0.199,0.089,0.091,26.92,26.18,6.27,0.06,"child_iron","malawi","zscore + curated16","oracle_national"
30,0.706,-0.427,-0.363,31.4,16.4,-26.78,-20.36,"women_iron","gambia","spatial_tps","train_mean"
30,0.706,-0.427,-0.363,17.61,16.45,-6.28,-15.21,"women_iron","gambia","spatial_tps","oracle_national"
30,0.706,0.58,0.491,31.65,14.61,-28.08,2.91,"women_iron","gambia","spatial + decorr20","train_mean"
30,0.706,0.58,0.491,15.44,14.12,-6.24,2.1,"women_iron","gambia","spatial + decorr20","oracle_national"
30,0.706,-0.429,-0.367,28.88,18.45,-22.22,-1.66,"women_iron","gambia","spatial + curated16","train_mean"
30,0.706,-0.43,-0.367,19.81,18.8,-6.26,-1.47,"women_iron","gambia","spatial + curated16","oracle_national"
30,0.706,0.518,0.537,41.38,13.91,-38.97,0.96,"women_iron","gambia","zscore + screen30","train_mean"
30,0.706,0.592,0.537,15.31,14.39,-5.24,0.62,"women_iron","gambia","zscore + screen30","oracle_national"
30,0.706,NA,NA,46.6,16.25,-43.68,NA,"women_iron","gambia","zscore + decorr20","train_mean"
30,0.706,NA,NA,17.42,16.25,-6.28,NA,"women_iron","gambia","zscore + decorr20","oracle_national"
30,0.706,0.683,0.681,41.11,12.28,-39.23,1.4,"women_iron","gambia","zscore + ridge_all","train_mean"
30,0.706,0.665,0.681,13.93,12.94,-5.14,0.71,"women_iron","gambia","zscore + ridge_all","oracle_national"
30,0.706,0.515,0.607,41.19,14.13,-38.69,0.78,"women_iron","gambia","zscore + curated16","train_mean"
30,0.706,0.588,0.607,15.45,14.48,-5.38,0.61,"women_iron","gambia","zscore + curated16","oracle_national"
75,0,0.255,0.21,31.55,17.05,26.54,0.19,"women_iron","ghana","spatial_tps","train_mean"
75,0,0.273,0.21,13.08,12.83,2.54,0.35,"women_iron","ghana","spatial_tps","oracle_national"
75,0,-0.029,-0.056,38,29.02,24.54,-0.01,"women_iron","ghana","spatial + decorr20","train_mean"
75,0,-0.06,-0.056,26.51,26.41,2.31,-0.03,"women_iron","ghana","spatial + decorr20","oracle_national"
75,0,-0.153,-0.046,36.78,36.38,5.35,-0.06,"women_iron","ghana","spatial + curated16","train_mean"
75,0,-0.139,-0.046,34.74,34.69,1.9,-0.05,"women_iron","ghana","spatial + curated16","oracle_national"
75,0,0.325,0.271,15.71,14.81,5.24,0.28,"women_iron","ghana","zscore + screen30","train_mean"
75,0,0.327,0.271,24.2,22.03,10.02,0.17,"women_iron","ghana","zscore + screen30","oracle_national"
75,0,0.234,0.17,14.88,14.15,4.58,0.25,"women_iron","ghana","zscore + decorr20","train_mean"
75,0,0.247,0.17,21.03,19.2,8.58,0.16,"women_iron","ghana","zscore + decorr20","oracle_national"
75,0,0.26,0.179,15.86,14.97,5.24,0.24,"women_iron","ghana","zscore + ridge_all","train_mean"
75,0,0.252,0.179,23.71,21.49,10.01,0.14,"women_iron","ghana","zscore + ridge_all","oracle_national"
75,0,0.341,0.333,14.32,13.39,5.07,0.35,"women_iron","ghana","zscore + curated16","train_mean"
75,0,0.34,0.333,20.99,18.6,9.73,0.21,"women_iron","ghana","zscore + curated16","oracle_national"
14,0.167,0.08,0.081,14.54,6.71,-12.9,0.33,"women_iron","sierraleone","spatial_tps","train_mean"
14,0.167,0.087,0.081,8.37,8.3,1.12,0.1,"women_iron","sierraleone","spatial_tps","oracle_national"
14,0.167,0.093,0.196,11.36,6.94,-8.99,0.23,"women_iron","sierraleone","spatial + decorr20","train_mean"
14,0.167,0.108,0.196,8.12,8.04,1.12,0.13,"women_iron","sierraleone","spatial + decorr20","oracle_national"
14,0.167,-0.1,-0.051,15.12,7.06,-13.37,-0.36,"women_iron","sierraleone","spatial + curated16","train_mean"
14,0.167,-0.093,-0.051,10.18,10.09,1.4,-0.09,"women_iron","sierraleone","spatial + curated16","oracle_national"
14,0.167,-0.305,-0.477,24.14,24.14,-0.28,-0.1,"women_iron","sierraleone","zscore + screen30","train_mean"
14,0.167,-0.328,-0.477,13.18,13.05,1.81,-0.24,"women_iron","sierraleone","zscore + screen30","oracle_national"
14,0.167,-0.373,-0.411,17.22,17.2,-0.82,-0.18,"women_iron","sierraleone","zscore + decorr20","train_mean"
14,0.167,-0.508,-0.411,12.36,12.23,1.79,-0.45,"women_iron","sierraleone","zscore + decorr20","oracle_national"
14,0.167,0.05,-0.02,15.3,15.26,-1.15,0.02,"women_iron","sierraleone","zscore + ridge_all","train_mean"
