"outcome","held_out","variant","anchor","n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib"
"child_iron","ghana","centered_own d40s12","oracle_national",75,0.672,0.278,0.374,19.44,19.03,3.99,0.42
"child_iron","ghana","centered_own curated16","train_mean",75,0.672,0.382,0.365,17.14,17.08,-1.44,1.23
"child_iron","ghana","centered_own curated16","oracle_national",75,0.672,0.381,0.365,17.35,17.04,3.3,1.03
"child_iron","ghana","curated16 uncentered","train_mean",75,0.672,0.471,0.426,17.68,17.4,3.13,0.58
"child_iron","ghana","curated16 uncentered","oracle_national",75,0.672,0.469,0.426,19.81,18.27,7.67,0.51
"child_iron","sierraleone","PROD enet30","train_mean",14,0,-0.031,-0.073,14.24,9.09,10.96,-0.02
"child_iron","sierraleone","PROD enet30","oracle_national",14,0,-0.036,-0.073,5.67,5.67,0.08,-0.05
"child_iron","sierraleone","PROD ridge_all","train_mean",14,0,-0.187,-0.13,12.69,6.11,11.13,-0.27
"child_iron","sierraleone","PROD ridge_all","oracle_national",14,0,-0.19,-0.13,5.04,5.01,-0.59,-0.74
"child_iron","sierraleone","centered_train enet30","train_mean",14,0,0.337,0.156,5.87,4.41,-3.87,1.66
"child_iron","sierraleone","centered_train enet30","oracle_national",14,0,0.341,0.156,7.07,4.56,-5.41,6.37
"child_iron","sierraleone","centered_own enet30","train_mean",14,0,0.292,0.156,16.29,7.37,14.53,0.19
"child_iron","sierraleone","centered_own enet30","oracle_national",14,0,0.327,0.156,4.56,4.54,0.34,0.56
"child_iron","sierraleone","centered_own ridge_all","train_mean",14,0,0.36,0.345,14.75,4.81,13.94,0.44
"child_iron","sierraleone","centered_own ridge_all","oracle_national",14,0,0.374,0.345,4.32,4.32,0,1.28
"child_iron","sierraleone","centered_own decorr20","train_mean",14,0,0.189,0.222,14.94,4.63,14.2,0.51
"child_iron","sierraleone","centered_own decorr20","oracle_national",14,0,0.186,0.222,4.57,4.57,0.06,1.45
"child_iron","sierraleone","centered_own d40s12","train_mean",14,0,-0.069,-0.086,14.98,5.45,13.95,-0.13
"child_iron","sierraleone","centered_own d40s12","oracle_national",14,0,-0.072,-0.086,4.79,4.79,-0.02,-0.37
"child_iron","sierraleone","centered_own curated16","train_mean",14,0,-0.282,-0.209,15.35,6.71,13.8,-0.35
"child_iron","sierraleone","centered_own curated16","oracle_national",14,0,-0.283,-0.209,5.19,5.19,-0.04,-0.96
"child_iron","sierraleone","curated16 uncentered","train_mean",14,0,-0.191,-0.086,5.75,5.65,-1.06,-0.36
"child_iron","sierraleone","curated16 uncentered","oracle_national",14,0,-0.19,-0.086,5.88,5.87,-0.25,-0.31
"child_iron","malawi","PROD enet30","train_mean",97,0.199,0.122,-0.013,18.46,15.21,-10.45,0.34
"child_iron","malawi","PROD enet30","oracle_national",97,0.199,0.095,-0.013,16.88,16.86,0.74,0.15
"child_iron","malawi","PROD ridge_all","train_mean",97,0.199,-0.059,-0.021,16.48,16.24,-2.82,-0.15
"child_iron","malawi","PROD ridge_all","oracle_national",97,0.199,-0.059,-0.021,16.59,16.58,0.26,-0.14
"child_iron","malawi","centered_train enet30","train_mean",97,0.199,-0.151,-0.134,23.67,15.41,-17.96,-0.97
"child_iron","malawi","centered_train enet30","oracle_national",97,0.199,-0.151,-0.134,23.67,15.41,-17.96,-0.97
"child_iron","malawi","centered_own enet30","train_mean",97,0.199,-0.154,-0.134,29.78,28.64,8.17,-0.1
"child_iron","malawi","centered_own enet30","oracle_national",97,0.199,-0.154,-0.134,29.78,28.64,8.17,-0.1
"child_iron","malawi","centered_own ridge_all","train_mean",97,0.199,-0.161,-0.115,26.37,24.8,8.96,-0.14
"child_iron","malawi","centered_own ridge_all","oracle_national",97,0.199,-0.161,-0.115,26.37,24.8,8.95,-0.14
"child_iron","malawi","centered_own decorr20","train_mean",97,0.199,-0.018,0.052,15.3,15.28,0.77,-0.09
"child_iron","malawi","centered_own decorr20","oracle_national",97,0.199,-0.018,0.052,15.3,15.28,0.77,-0.09
"child_iron","malawi","centered_own d40s12","train_mean",97,0.199,0.005,0.048,15.48,15.46,0.87,0.02
"child_iron","malawi","centered_own d40s12","oracle_national",97,0.199,0.005,0.048,15.48,15.46,0.86,0.02
"child_iron","malawi","centered_own curated16","train_mean",97,0.199,0.023,0.074,15.39,15.36,0.92,0.08
"child_iron","malawi","centered_own curated16","oracle_national",97,0.199,0.023,0.074,15.39,15.36,0.91,0.08
"child_iron","malawi","curated16 uncentered","train_mean",97,0.199,0.058,0.037,15.79,15.6,2.46,0.15
"child_iron","malawi","curated16 uncentered","oracle_national",97,0.199,0.058,0.037,15.46,15.46,-0.13,0.17
"women_iron","gambia","PROD enet30","train_mean",30,0.706,0.496,0.528,18.01,14.5,-10.69,0.71
"women_iron","gambia","PROD enet30","oracle_national",30,0.706,0.502,0.528,15.68,14.47,-6.05,0.7
"women_iron","gambia","PROD ridge_all","train_mean",30,0.706,0.255,0.372,43.43,16.23,-40.29,47.67
"women_iron","gambia","PROD ridge_all","oracle_national",30,0.706,0.257,0.372,17.37,16.19,-6.28,19.25
"women_iron","gambia","centered_train enet30","train_mean",30,0.706,0.63,0.648,25.2,12.91,-21.64,1.37
"women_iron","gambia","centered_train enet30","oracle_national",30,0.706,0.635,0.648,30.96,13.2,28.01,1.65
"women_iron","gambia","centered_own enet30","train_mean",30,0.706,0.625,0.648,44.29,14.55,-41.83,3.35
"women_iron","gambia","centered_own enet30","oracle_national",30,0.706,0.634,0.648,12.74,12.62,-1.77,1.12
"women_iron","gambia","centered_own ridge_all","train_mean",30,0.706,0.708,0.737,43.8,13.6,-41.63,2.74
"women_iron","gambia","centered_own ridge_all","oracle_national",30,0.706,0.727,0.737,11.42,11.17,-2.36,0.94
"women_iron","gambia","centered_own decorr20","train_mean",30,0.706,NA,NA,45.05,16.25,-42.01,NA
"women_iron","gambia","centered_own decorr20","oracle_national",30,0.706,NA,NA,16.28,16.25,-0.99,NA
"women_iron","gambia","centered_own d40s12","train_mean",30,0.706,0.615,0.657,42.18,13.13,-40.08,1.4
"women_iron","gambia","centered_own d40s12","oracle_national",30,0.706,0.643,0.657,15.48,15.38,-1.76,0.54
"women_iron","gambia","centered_own curated16","train_mean",30,0.706,NA,NA,45.05,16.25,-42.01,NA
"women_iron","gambia","centered_own curated16","oracle_national",30,0.706,NA,NA,16.28,16.25,-0.99,NA
"women_iron","gambia","curated16 uncentered","train_mean",30,0.706,-0.741,-0.746,44.88,16.42,-41.77,-51.49
"women_iron","gambia","curated16 uncentered","oracle_national",30,0.706,-0.741,-0.746,17.88,16.74,-6.28,-18.22
"women_iron","ghana","PROD enet30","train_mean",75,0,0.456,0.455,25.18,11.02,22.64,0.61
"women_iron","ghana","PROD enet30","oracle_national",75,0,0.459,0.455,10.54,10.46,1.24,1.17
"women_iron","ghana","PROD ridge_all","train_mean",75,0,0.258,0.284,24.55,14.09,20.11,0.27
"women_iron","ghana","PROD ridge_all","oracle_national",75,0,0.236,0.284,13.64,12.63,5.14,0.34
"women_iron","ghana","centered_train enet30","train_mean",75,0,0.383,0.307,17.7,15.09,9.26,0.3
"women_iron","ghana","centered_train enet30","oracle_national",75,0,0.384,0.307,17.29,14.91,8.74,0.31
"women_iron","ghana","centered_own enet30","train_mean",75,0,-0.06,0.307,87,16.88,85.34,-0.06
"women_iron","ghana","centered_own enet30","oracle_national",75,0,-0.059,0.307,86.98,16.87,85.33,-0.06
"women_iron","ghana","centered_own ridge_all","train_mean",75,0,0.097,0.099,53.2,20.18,49.23,0.07
"women_iron","ghana","centered_own ridge_all","oracle_national",75,0,0.097,0.099,52.58,20.27,48.52,0.06
"women_iron","ghana","centered_own decorr20","train_mean",75,0,0.203,0.196,11.84,11.69,1.85,0.53
"women_iron","ghana","centered_own decorr20","oracle_national",75,0,0.203,0.196,11.76,11.67,1.43,0.55
"women_iron","ghana","centered_own d40s12","train_mean",75,0,0.241,0.228,11.9,11.72,2.08,0.51
"women_iron","ghana","centered_own d40s12","oracle_national",75,0,0.241,0.228,11.81,11.69,1.66,0.52
"women_iron","ghana","centered_own curated16","train_mean",75,0,0.324,0.288,11.59,11.34,2.39,0.63
"women_iron","ghana","centered_own curated16","oracle_national",75,0,0.324,0.288,11.48,11.31,1.96,0.64
"women_iron","ghana","curated16 uncentered","train_mean",75,0,0.267,0.211,14.75,11.81,8.83,0.48
"women_iron","ghana","curated16 uncentered","oracle_national",75,0,0.273,0.211,11.46,11.39,1.26,0.69
"women_iron","sierraleone","PROD enet30","train_mean",14,0.167,-0.108,-0.156,12.72,8.06,-9.84,-0.18
"women_iron","sierraleone","PROD enet30","oracle_national",14,0.167,-0.124,-0.156,11.11,11.01,1.49,-0.1
"women_iron","sierraleone","PROD ridge_all","train_mean",14,0.167,-0.112,-0.156,7.1,6.99,-1.26,-0.48
"women_iron","sierraleone","PROD ridge_all","oracle_national",14,0.167,-0.112,-0.156,7.05,7.03,0.52,-0.45
"women_iron","sierraleone","centered_train enet30","train_mean",14,0.167,-0.133,-0.077,16.86,6.76,-15.44,-1.34
"women_iron","sierraleone","centered_train enet30","oracle_national",14,0.167,-0.133,-0.077,15.4,6.9,-13.76,-0.74
"women_iron","sierraleone","centered_own enet30","train_mean",14,0.167,-0.13,-0.077,9.89,7.8,-6.08,-0.26
"women_iron","sierraleone","centered_own enet30","oracle_national",14,0.167,-0.127,-0.077,9.01,8.83,1.8,-0.17
"women_iron","sierraleone","centered_own ridge_all","train_mean",14,0.167,0.06,0.055,9.36,6.97,-6.24,0.16
"women_iron","sierraleone","centered_own ridge_all","oracle_national",14,0.167,0.063,0.055,7.63,7.45,1.61,0.11
"women_iron","sierraleone","centered_own decorr20","train_mean",14,0.167,0.085,0.209,9.33,6.62,-6.57,0.68
"women_iron","sierraleone","centered_own decorr20","oracle_national",14,0.167,0.085,0.209,6.76,6.66,1.16,0.44
"women_iron","sierraleone","centered_own d40s12","train_mean",14,0.167,0.095,0.112,9.31,6.87,-6.28,0.25
"women_iron","sierraleone","centered_own d40s12","oracle_national",14,0.167,0.097,0.112,7.48,7.31,1.55,0.17
"women_iron","sierraleone","centered_own curated16","train_mean",14,0.167,-0.128,-0.024,13.11,12.61,-3.58,-0.09
"women_iron","sierraleone","centered_own curated16","oracle_national",14,0.167,-0.116,-0.024,16.79,16.13,4.67,-0.06
"women_iron","sierraleone","curated16 uncentered","train_mean",14,0.167,-0.031,0.077,17.37,6.73,-16.01,-0.22
"women_iron","sierraleone","curated16 uncentered","oracle_national",14,0.167,-0.026,0.077,12.31,12.08,2.38,-0.02
"women_iron","malawi","PROD enet30","train_mean",97,0,0.038,0.069,17.27,17.06,-2.7,0.11
"women_iron","malawi","PROD enet30","oracle_national",97,0,0.04,0.069,17.34,17.33,0.66,0.1
"women_iron","malawi","PROD ridge_all","train_mean",97,0,0.039,0.044,16.93,16.4,4.2,0.4
"women_iron","malawi","PROD ridge_all","oracle_national",97,0,0.039,0.044,16.39,16.38,-0.11,0.48
"women_iron","malawi","centered_train enet30","train_mean",97,0,0.167,0.229,17.22,16.32,-5.48,0.54
"women_iron","malawi","centered_train enet30","oracle_national",97,0,0.169,0.229,16.66,16.5,-2.29,0.45
"women_iron","malawi","centered_own enet30","train_mean",97,0,0.169,0.229,16.69,16.48,-2.63,0.46
"women_iron","malawi","centered_own enet30","oracle_national",97,0,0.17,0.229,16.78,16.74,1.15,0.39
"women_iron","malawi","centered_own ridge_all","train_mean",97,0,0.147,0.061,16.94,16.73,-2.61,0.37
"women_iron","malawi","centered_own ridge_all","oracle_national",97,0,0.141,0.061,17.17,17.13,1.15,0.29
"women_iron","malawi","centered_own decorr20","train_mean",97,0,0.287,0.294,16.73,16.27,-3.86,12.08
"women_iron","malawi","centered_own decorr20","oracle_national",97,0,0.287,0.294,16.25,16.25,-0.22,9.92
"women_iron","malawi","centered_own d40s12","train_mean",97,0,0.115,0.138,16.88,16.59,-3.16,0.37
"women_iron","malawi","centered_own d40s12","oracle_national",97,0,0.116,0.138,16.79,16.78,0.55,0.32
"women_iron","malawi","centered_own curated16","train_mean",97,0,0.136,0.143,16.67,16.24,-3.78,1.3
"women_iron","malawi","centered_own curated16","oracle_national",97,0,0.137,0.143,16.23,16.23,-0.12,1.07
"women_iron","malawi","curated16 uncentered","train_mean",97,0,0.067,0.088,22.15,16.35,-14.95,0.94
"women_iron","malawi","curated16 uncentered","oracle_national",97,0,0.07,0.088,17.57,17.54,0.95,0.15
"women_folate","ghana","PROD enet30","train_mean",75,0.627,0.055,0.006,32.24,30.22,-11.24,0.17
"women_folate","ghana","PROD enet30","oracle_national",75,0.627,0.058,0.006,30.18,30.17,0.79,0.18
"women_folate","ghana","PROD ridge_all","train_mean",75,0.627,-0.142,-0.137,36.83,33.77,-14.71,-0.31
"women_folate","ghana","PROD ridge_all","oracle_national",75,0.627,-0.149,-0.137,34.29,33.73,-6.15,-0.33
"women_folate","ghana","centered_train enet30","train_mean",75,0.627,-0.006,-0.097,52.92,35.21,-39.51,-0.01
"women_folate","ghana","centered_train enet30","oracle_national",75,0.627,-0.07,-0.097,44.11,41.73,-14.31,-0.07
"women_folate","ghana","centered_own enet30","train_mean",75,0.627,-0.026,-0.097,49.11,38.17,-30.9,-0.03
"women_folate","ghana","centered_own enet30","oracle_national",75,0.627,-0.119,-0.097,43.37,43.37,-0.11,-0.12
"women_folate","ghana","centered_own ridge_all","train_mean",75,0.627,0.081,0.109,44.57,39.5,20.65,0.08
"women_folate","ghana","centered_own ridge_all","oracle_national",75,0.627,0.043,0.109,51.15,37.57,34.7,0.05
"women_folate","ghana","centered_own decorr20","train_mean",75,0.627,0.146,0.16,41.09,30.24,-27.82,0.33
"women_folate","ghana","centered_own decorr20","oracle_national",75,0.627,0.092,0.16,37.45,35.38,12.28,0.12
"women_folate","ghana","centered_own d40s12","train_mean",75,0.627,-0.099,0.004,49.24,30.38,-38.75,-0.49
"women_folate","ghana","centered_own d40s12","oracle_national",75,0.627,-0.063,0.004,31.53,31.51,1.32,-0.18
