"Admin1","Admin2","lon","lat","Intercept","local_R2","residual","beta_iron_def","t_iron_def","pval_iron_def","beta_sf_c2","t_sf_c2","pval_sf_c2","beta_ida","t_ida","pval_ida","beta_mtype","t_mtype","pval_mtype","beta_m115b","t_m115b","pval_m115b","beta_dhs2015_w_delivery_csection_adm2","t_dhs2015_w_delivery_csection_adm2","pval_dhs2015_w_delivery_csection_adm2","padj_iron_def","padj_sf_c2","padj_ida","padj_mtype","padj_m115b","padj_dhs2015_w_delivery_csection_adm2"
"Rumphi","SC Mwankhunikira",34.0716883637385,-10.9537537698472,0.746863685673599,0.695304919499885,-0.0698230005041715,0.68681981642244,2.19818906499702,0.0279356356051165,0.681582712087951,2.45408330843473,0.0141244255017412,-0.745774364286456,-2.20723146405589,0.0272978926462461,-0.0309010999664655,-0.735802604263422,0.461850836116938,-0.354159544294795,-2.76047133203534,0.00577180233985224,0.196896414981803,0.984973022498896,0.32463732248906,0.0321451149428737,0.0609717822279439,0.0412248454582764,0.724392342111285,0.015461534378133,0.748677276256672
"Ntchisi","SC Nthondo",34.0197542790462,-13.2237963469243,0.68650345023475,0.637877370009587,-0.00768971753053703,0.892645824326503,2.96557163577605,0.00302120975006543,0.610069242042309,2.29790952010176,0.0215669393415782,-0.780486799801993,-2.37365684373658,0.017612910890198,0.00957288252093724,0.222104935525202,0.824232195821376,-0.36647240018638,-2.94151790575775,0.00326607959621463,0.200813314545519,1.00774033872557,0.313579134133651,0.00478833243406597,0.0609717822279439,0.0412248454582764,0.876398790493615,0.015461534378133,0.748677276256672
"Thyolo","TA Bvumbwe",35.077966810665,-15.9463517278186,0.172572008040029,0.617731544378693,-0.000982465151691078,1.61758061072198,5.17327516305958,2.3002587573917e-07,0.255616863369142,0.951193470952129,0.341506172203969,-0.704739007910499,-2.0693005702653,0.0385178901741703,0.0744464918530988,1.55610233156915,0.119683760686426,-0.168117842226546,-1.41418692678092,0.157307025418421,-0.0771430709656915,-0.356323119296289,0.721598597368982,1.40227214544802e-06,0.348148121805402,0.0412248454582764,0.514900625744254,0.169407565835222,0.82413356877055
"Rumphi","TA Chikulamayembe",33.7083681057668,-10.960405039908,0.745821527252394,0.692873031449027,-0.0578229938035294,0.671914201445533,2.14236614135193,0.0321640302626711,0.690437888236153,2.47699121359008,0.0132495163675063,-0.75197233992909,-2.21779510780524,0.0265688058492974,-0.0311062473512202,-0.739975750645866,0.459314708449963,-0.353512985843137,-2.74849804326846,0.00598689922569394,0.206016348337053,1.02889333241374,0.303529801892938,0.0365105208387077,0.0609717822279439,0.0412248454582764,0.724392342111285,0.015461534378133,0.748677276256672
"Mzimba","TA Chindi",33.425591471488,-11.5945260313709,0.827547343858678,0.671953064810098,0.0956548126733257,0.591310590997697,1.83332557603997,0.0667541680848245,0.756128614436358,2.63821331104659,0.00833441380894823,-0.803754235366746,-2.32130884892893,0.0202701809954821,-0.0310979564656102,-0.735680248183043,0.461925312823224,-0.395626145182161,-2.93400425225426,0.00334619624073192,0.246470012371368,1.22099370936834,0.222088401584041,0.0692265446805587,0.0609717822279439,0.0412248454582764,0.724392342111285,0.015461534378133,0.748677276256672
"Lilongwe","TA Chiseka",33.6156771585388,-14.2851239822614,0.490283480278404,0.612879915108456,0.00919950641067624,1.14346327658171,3.74209714525848,0.000182490938124009,0.481129359772661,1.82788509142347,0.0675667989961047,-0.755977515919891,-2.26452861605923,0.0235416217789468,0.0459474928470721,0.989544774529676,0.322396674584994,-0.303276380332262,-2.50303058416649,0.0123134902879464,0.136944097542277,0.649853669967469,0.515786747218493,0.000479038712575523,0.109146367609092,0.0412248454582764,0.724392342111285,0.0220070890252659,0.82413356877055
"Dowa","TA Dzoole",33.697544695636,-13.553887310565,0.627982608825743,0.626613244731349,0.0859519324153523,0.942496308446324,3.13415426036152,0.00172350224571985,0.581409785016144,2.20095359961399,0.0277393088411223,-0.775265268007796,-2.35536672849367,0.0185044333992977,0.019166932899668,0.438093738690345,0.661318333089297,-0.346576491463481,-2.81473268142233,0.00488178229547686,0.198836003018742,0.986435891765268,0.323919259679669,0.00295457527837688,0.0609717822279439,0.0412248454582764,0.782404788443676,0.015461534378133,0.748677276256672
"Nkhata Bay","TA Fukamapiri",34.0431675328304,-11.9543523343297,0.843489631032642,0.667230036864269,0.00234288687023266,0.637650308420241,2.00798748776102,0.0446446212938869,0.73826573243092,2.61466349349065,0.0089315402869999,-0.802323979098197,-2.35100287361143,0.0187228892606872,-0.0257330946653314,-0.610395583505904,0.541599793058151,-0.409378598054258,-3.05313288132908,0.00226465632078948,0.233623101713905,1.16780131704191,0.242886916747177,0.0487032232296948,0.0609717822279439,0.0412248454582764,0.724392342111285,0.015461534378133,0.748677276256672
"Lilongwe","TA Kabudula",33.5260412820696,-13.8166835259234,0.559612441434429,0.619057654867514,-0.125238154180364,1.01203372588054,3.39117503407822,0.000695936396824035,0.540379505351878,2.06446849879376,0.038973317666691,-0.761802849468986,-2.3224757076687,0.020207334975975,0.0267382954620171,0.607839005495356,0.543294256583464,-0.319246549734551,-2.6403448043597,0.00828217159295678,0.177572608603944,0.878081349868286,0.379899573255582,0.00142582091056632,0.0727501929778231,0.0412248454582764,0.724392342111285,0.0175686582524799,0.748677276256672
"Nkhata Bay","TA Kabunduli",33.9429743708271,-11.7437887075257,0.884390972301658,0.671922539664882,-0.0552113094637496,0.575164968381165,1.76058349975035,0.0783089233924653,0.775958752537372,2.67369818615256,0.0075019934102258,-0.817888410802845,-2.34299217336575,0.0191297843847906,-0.0318420393456641,-0.749258196324539,0.453701598724558,-0.42380780763893,-3.0625153580384,0.00219485212282748,0.245911775926184,1.21273433532083,0.225231407980302,0.0792524043971938,0.0609717822279439,0.0412248454582764,0.724392342111285,0.015461534378133,0.748677276256672
"Chiradzulu","TA Kadewere",35.2511524288504,-15.7575754805826,0.182958259841729,0.623071040211248,-0.0205240612506275,1.62169974538452,5.18586523240133,2.15014257960366e-07,0.257069261564232,0.957011431372296,0.338561485190316,-0.708623300828479,-2.08018022075513,0.0375090057322395,0.074042403619264,1.54705498749359,0.121849986769674,-0.173061753816192,-1.45692441768018,0.145137244978888,-0.0789983652750701,-0.365105403459946,0.715032727553843,1.40227214544802e-06,0.348148121805402,0.0412248454582764,0.514900625744254,0.162744775364798,0.82413356877055
"Balaka","TA Kalembo",35.1469070916922,-14.8762232991667,0.295726538683709,0.632523463101074,-0.131723958964973,1.60602379087777,4.9940210544867,5.91349467991187e-07,0.293807055464742,1.08645665256457,0.277277008846673,-0.75106402612825,-2.15796243696058,0.030930752394354,0.0794717370715855,1.57134374677197,0.116102824856822,-0.236613616130786,-1.95107733848899,0.0510478465122153,-0.0677268963163584,-0.301225798891249,0.763242318232504,2.15971110048955e-06,0.348148121805402,0.0412248454582764,0.514900625744254,0.0702953951971489,0.82413356877055
"Kasungu","TA Kaluluma",33.485284819524,-12.5504590543553,0.728925689881025,0.645691503007309,-0.0404644378280789,0.743728642036692,2.4472376282927,0.0143955893250337,0.674147619422676,2.48943346283228,0.0127946865276332,-0.785955086859429,-2.37296681284452,0.0176458493376098,-0.0107003460295576,-0.255863620738397,0.798056146199881,-0.36693264069811,-2.89545393192563,0.00378610597693398,0.231224686097188,1.17467599288276,0.240124367543183,0.018321659140952,0.0609717822279439,0.0412248454582764,0.859445080522949,0.015461534378133,0.748677276256672
"Ntchisi","TA Kalumo",33.8389166204465,-13.3611485543483,0.644645203532169,0.632465686683943,-0.0590870007080436,0.923331192353115,3.09008661531153,0.00200098132935933,0.589541495913106,2.23589168145238,0.0253588673491345,-0.773029542333877,-2.35959746996873,0.0182947741335967,0.0133172053674302,0.309082295907025,0.757258926099418,-0.348912597253394,-2.83777157413208,0.00454296815820356,0.194711363503804,0.977756394382613,0.328194822470108,0.00323235445511892,0.0609717822279439,0.0412248454582764,0.844037934353593,0.015461534378133,0.748677276256672
"Nkhotakota","TA Kanyenda",34.1032361930593,-12.5236334526984,0.812621696536599,0.65385674268803,0.0047229622077787,0.716081722898989,2.308106128697,0.0209932343996861,0.703906985057704,2.55575920781674,0.0105956412059859,-0.803366774289245,-2.39789298177492,0.016489682159389,-0.012737056076269,-0.300686755611767,0.76365336917706,-0.407583604045971,-3.10974483825015,0.00187249024583389,0.233153915607015,1.17338825567522,0.240640144704098,0.0248370660503328,0.0609717822279439,0.0412248454582764,0.844037934353593,0.015461534378133,0.748677276256672
"Dedza","TA Kaphuka",34.1531819452087,-14.2478375451449,0.567874162182987,0.623146551727263,-0.0637063356534166,1.18563125386204,3.65557848148742,0.000256602689259421,0.488853641337827,1.80323031089938,0.0713520520331833,-0.782228377182259,-2.24932851454732,0.0244916029522163,0.056222258690502,1.11863711691248,0.263294982061503,-0.353607374807974,-2.78592176859088,0.00533757517152626,0.120650559521115,0.536660922522712,0.591501853484245,0.000615846454222611,0.113086271146932,0.0412248454582764,0.691149327911447,0.015461534378133,0.82413356877055
