"outcome","country","model","n","n_pred","reliability","r_max","pearson","pearson_sd","spearman","pearson_w","r_share","rmse_pp","mae_pp","calib","secs"
"women_vitA","ghana","curated16_ridge",75,237,0,0,-0.121,0.106,-0.132,-0.002,NA,4.24,2.2,-2.98,2
"women_vitA","ghana","domainPC1_enet",75,237,0,0,-0.067,0.124,-0.122,-0.001,NA,4.22,2.18,-1.86,2.1
"women_vitA","ghana","domainPC2_ridge",75,237,0,0,-0.09,0.135,-0.108,-0.001,NA,4.22,2.19,-2.55,2.2
"women_vitA","ghana","decorr20_rf",75,237,0,0,-0.088,0.054,-0.05,-0.001,NA,4.24,2.27,-0.9,1.9
"women_vitA","malawi","null_mean",97,237,0,0,-0.217,0.138,-0.199,-0.002,NA,4.42,2.59,-4,0.6
"women_vitA","malawi","spatial_only",97,237,0,0,0.147,0.071,0.205,0.001,NA,4.37,1.99,2.63,1.1
"women_vitA","malawi","PROD enet_screen30",97,237,0,0,-0.051,0.049,-0.033,-0.001,NA,4.42,2.01,-1,5.6
"women_vitA","malawi","PROD ridge_all",97,237,0,0,-0.137,0.116,-0.088,-0.001,NA,4.42,1.98,-8.6,5.5
"women_vitA","malawi","binom_screen30",97,237,0,0,-0.051,0.029,0.037,0,NA,5.06,3.11,-0.1,17.1
"women_vitA","malawi","binom_ridge_all",97,237,0,0,-0.137,0.109,-0.105,-0.001,NA,4.56,2.87,-0.81,9.7
"women_vitA","malawi","decorr20_enet",97,237,0,0,-0.051,0.094,-0.03,0,NA,4.41,1.99,-1.66,5.5
"women_vitA","malawi","decorr40screen12_enet",97,237,0,0,-0.041,0.063,-0.035,0,NA,4.41,2.01,-0.92,5.7
"women_vitA","malawi","decorr40screen12_binom",97,237,0,0,-0.014,0.047,0.092,0,NA,5.53,3.08,-0.02,9.2
"women_vitA","malawi","curated16_enet",97,237,0,0,-0.03,0.108,-0.015,0,NA,4.41,1.98,-1,4.3
"women_vitA","malawi","curated16_binom",97,237,0,0,-0.056,0.011,-0.01,0,NA,5.26,3.06,-0.14,11.6
"women_vitA","malawi","curated16_ridge",97,237,0,0,-0.127,0.05,-0.103,-0.001,NA,4.42,1.99,-5.43,4.3
"women_vitA","malawi","domainPC1_enet",97,237,0,0,0.029,0.139,0.033,0,NA,4.4,1.98,1.92,5.5
"women_vitA","malawi","domainPC2_ridge",97,237,0,0,-0.129,0.094,-0.125,-0.001,NA,4.43,2,-5.68,5.2
"women_vitA","malawi","decorr20_rf",97,237,0,0,-0.118,0.04,-0.085,-0.001,NA,4.44,2.11,-1.45,5.1
"women_vitA","tanzania","null_mean",168,237,0.619,0.787,-0.089,0.038,-0.088,-0.01,-0.113,8.5,5.9,-4.01,1.5
"women_vitA","tanzania","spatial_only",168,237,0.619,0.787,-0.036,0.072,0.011,0.014,-0.046,9.13,5.74,-0.21,2.8
"women_vitA","tanzania","PROD enet_screen30",168,237,0.619,0.787,0.04,0.074,0.043,0.01,0.051,9.02,5.69,0.19,10
"women_vitA","tanzania","PROD ridge_all",168,237,0.619,0.787,0.028,0.029,0.079,0.006,0.035,9.05,5.66,0.16,13.1
"women_vitA","tanzania","binom_screen30",168,237,0.619,0.787,0.011,0.06,0.031,0.003,0.015,8.6,5.84,0.05,22.2
"women_vitA","tanzania","binom_ridge_all",168,237,0.619,0.787,0.014,0.045,0.088,0.001,0.018,8.55,5.77,0.15,12.3
"women_vitA","tanzania","decorr20_enet",168,237,0.619,0.787,0.033,0.05,0.056,0.012,0.042,9.01,5.65,0.18,5.5
"women_vitA","tanzania","decorr40screen12_enet",168,237,0.619,0.787,0.009,0.072,0.038,0.015,0.012,9.27,5.86,0.02,5.6
"women_vitA","tanzania","decorr40screen12_binom",168,237,0.619,0.787,0.005,0.062,0.029,0.004,0.006,8.62,5.87,-0.02,6.5
"women_vitA","tanzania","curated16_enet",168,237,0.619,0.787,0.027,0.055,0.047,0.011,0.034,9.13,5.75,0.17,4.7
"women_vitA","tanzania","curated16_binom",168,237,0.619,0.787,-0.011,0.032,-0.007,0.007,-0.014,8.66,5.89,-0.13,8.4
"women_vitA","tanzania","curated16_ridge",168,237,0.619,0.787,0.047,0.044,0.065,0.027,0.06,9.05,5.69,0.28,4.2
"women_vitA","tanzania","domainPC1_enet",168,237,0.619,0.787,-0.002,0.026,0.021,0.024,-0.002,9.19,5.79,-0.02,6.3
"women_vitA","tanzania","domainPC2_ridge",168,237,0.619,0.787,0.039,0.028,0.069,0.013,0.05,9.02,5.6,0.29,6.4
"women_vitA","tanzania","decorr20_rf",168,237,0.619,0.787,0.126,0.019,0.119,0.014,0.161,8.91,5.5,0.69,8.5
