"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","variant","anchor"
97,0.397,0.094,0.016,17.14,17.12,0.73,0.23,"women_iron","malawi","spatial_tps","oracle_national"
97,0.397,0.071,0.158,23.73,16.38,-17.18,17.05,"women_iron","malawi","spatial + decorr20","train_mean"
97,0.397,0.095,0.158,20.53,20.32,2.92,0.11,"women_iron","malawi","spatial + decorr20","oracle_national"
97,0.397,0.169,0.229,16.69,16.48,-2.63,0.46,"women_iron","malawi","centered_own enet30","train_mean"
97,0.397,0.17,0.229,16.78,16.74,1.15,0.39,"women_iron","malawi","centered_own enet30","oracle_national"
97,0.397,0.147,0.061,16.94,16.73,-2.61,0.37,"women_iron","malawi","centered_own ridge_all","train_mean"
97,0.397,0.141,0.061,17.17,17.13,1.15,0.29,"women_iron","malawi","centered_own ridge_all","oracle_national"
97,0.397,0.287,0.294,16.73,16.27,-3.86,12.08,"women_iron","malawi","centered_own decorr20","train_mean"
97,0.397,0.287,0.294,16.25,16.25,-0.22,9.92,"women_iron","malawi","centered_own decorr20","oracle_national"
97,0.397,0.225,0.295,19.31,19.31,0.05,0.25,"women_iron","malawi","zscore ridge_all","train_mean"
97,0.397,0.237,0.295,30.39,28.92,9.34,0.14,"women_iron","malawi","zscore ridge_all","oracle_national"
97,0.397,0.219,0.329,19.42,19.42,-0.31,0.25,"women_iron","malawi","zscore screen30","train_mean"
97,0.397,0.304,0.329,26.59,25.38,7.92,0.2,"women_iron","malawi","zscore screen30","oracle_national"
97,0.397,0.003,-0.033,19.78,19.78,-0.2,0,"women_iron","malawi","zscore decorr20","train_mean"
97,0.397,-0.011,-0.033,30.5,28.65,10.47,-0.01,"women_iron","malawi","zscore decorr20","oracle_national"
97,0.397,0.175,0.214,19.02,19.02,0,0.22,"women_iron","malawi","zscore curated16","train_mean"
97,0.397,0.14,0.214,31.13,29.46,10.06,0.09,"women_iron","malawi","zscore curated16","oracle_national"
30,0.358,0.09,0.477,5.23,4.82,-2.03,3.11,"women_vitA","gambia","PROD enet30","train_mean"
30,0.358,0.091,0.477,4.91,4.81,-0.98,1.85,"women_vitA","gambia","PROD enet30","oracle_national"
30,0.358,NA,NA,5.51,4.83,-2.64,NA,"women_vitA","gambia","PROD ridge_all","train_mean"
30,0.358,NA,NA,4.93,4.83,-0.99,NA,"women_vitA","gambia","PROD ridge_all","oracle_national"
30,0.358,-0.559,-0.568,5.26,4.85,-2.06,-102.95,"women_vitA","gambia","spatial_tps","train_mean"
30,0.358,-0.559,-0.568,4.96,4.86,-0.99,-59.74,"women_vitA","gambia","spatial_tps","oracle_national"
30,0.358,-0.235,-0.331,5.47,4.88,-2.47,-5.92,"women_vitA","gambia","spatial + decorr20","train_mean"
30,0.358,-0.236,-0.331,5.05,4.96,-0.95,-2.43,"women_vitA","gambia","spatial + decorr20","oracle_national"
30,0.358,0.147,0.129,5.52,4.82,-2.69,7.66,"women_vitA","gambia","centered_own enet30","train_mean"
30,0.358,0.148,0.129,4.88,4.8,-0.9,2.44,"women_vitA","gambia","centered_own enet30","oracle_national"
30,0.358,NA,NA,5.54,4.83,-2.7,NA,"women_vitA","gambia","centered_own ridge_all","train_mean"
30,0.358,NA,NA,4.92,4.83,-0.96,NA,"women_vitA","gambia","centered_own ridge_all","oracle_national"
30,0.358,NA,NA,5.54,4.83,-2.7,NA,"women_vitA","gambia","centered_own decorr20","train_mean"
30,0.358,NA,NA,4.92,4.83,-0.96,NA,"women_vitA","gambia","centered_own decorr20","oracle_national"
30,0.358,-0.042,0.261,5.66,5.19,-2.25,-0.12,"women_vitA","gambia","zscore ridge_all","train_mean"
30,0.358,-0.053,0.261,9.73,9.64,1.36,-0.03,"women_vitA","gambia","zscore ridge_all","oracle_national"
30,0.358,-0.147,-0.09,6.74,6.46,-1.92,-0.19,"women_vitA","gambia","zscore screen30","train_mean"
30,0.358,-0.146,-0.09,14.66,14.5,2.14,-0.05,"women_vitA","gambia","zscore screen30","oracle_national"
30,0.358,0.017,-0.168,5.47,4.98,-2.25,0.06,"women_vitA","gambia","zscore decorr20","train_mean"
30,0.358,0.025,-0.168,8.16,8.01,1.56,0.02,"women_vitA","gambia","zscore decorr20","oracle_national"
30,0.358,NA,NA,5.54,4.83,-2.72,NA,"women_vitA","gambia","zscore curated16","train_mean"
30,0.358,NA,NA,4.93,4.83,-0.99,NA,"women_vitA","gambia","zscore curated16","oracle_national"
75,0,0.178,0.244,4.16,4.12,-0.61,10.26,"women_vitA","ghana","PROD enet30","train_mean"
75,0,0.178,0.244,4.11,4.11,-0.1,6.82,"women_vitA","ghana","PROD enet30","oracle_national"
75,0,-0.028,0.235,5.42,5.42,0.01,-0.03,"women_vitA","ghana","PROD ridge_all","train_mean"
75,0,-0.027,0.235,5.72,5.71,0.3,-0.03,"women_vitA","ghana","PROD ridge_all","oracle_national"
75,0,0.239,0.217,4.65,4.01,2.34,1,"women_vitA","ghana","spatial_tps","train_mean"
75,0,0.239,0.217,4.05,4.05,-0.06,2.48,"women_vitA","ghana","spatial_tps","oracle_national"
75,0,0.093,0.118,16.48,14.98,6.86,0.03,"women_vitA","ghana","spatial + decorr20","train_mean"
75,0,0.078,0.118,13.85,13.7,2.04,0.02,"women_vitA","ghana","spatial + decorr20","oracle_national"
75,0,0.213,0.222,4.17,4.11,-0.73,8.06,"women_vitA","ghana","centered_own enet30","train_mean"
75,0,0.213,0.222,4.1,4.1,-0.13,4.85,"women_vitA","ghana","centered_own enet30","oracle_national"
75,0,0.213,0.26,4.16,4.1,-0.68,5.68,"women_vitA","ghana","centered_own ridge_all","train_mean"
75,0,0.212,0.26,4.08,4.08,-0.05,3.4,"women_vitA","ghana","centered_own ridge_all","oracle_national"
75,0,0.144,0.18,4.19,4.12,-0.75,10.66,"women_vitA","ghana","centered_own decorr20","train_mean"
75,0,0.144,0.18,4.12,4.12,-0.17,6.4,"women_vitA","ghana","centered_own decorr20","oracle_national"
75,0,0.217,0.283,4.07,4.06,-0.14,0.63,"women_vitA","ghana","zscore ridge_all","train_mean"
75,0,0.217,0.283,4.4,4.31,0.89,0.37,"women_vitA","ghana","zscore ridge_all","oracle_national"
75,0,NA,NA,4.19,4.13,-0.71,NA,"women_vitA","ghana","zscore screen30","train_mean"
75,0,NA,NA,4.13,4.13,-0.1,NA,"women_vitA","ghana","zscore screen30","oracle_national"
75,0,NA,NA,4.19,4.13,-0.71,NA,"women_vitA","ghana","zscore decorr20","train_mean"
75,0,NA,NA,4.13,4.13,-0.1,NA,"women_vitA","ghana","zscore decorr20","oracle_national"
75,0,NA,NA,4.19,4.13,-0.71,NA,"women_vitA","ghana","zscore curated16","train_mean"
75,0,NA,NA,4.13,4.13,-0.1,NA,"women_vitA","ghana","zscore curated16","oracle_national"
14,0,-0.349,-0.334,1.84,1.54,-1.01,-13.25,"women_vitA","sierraleone","PROD enet30","train_mean"
14,0,-0.349,-0.334,1.62,1.61,0.21,-2.58,"women_vitA","sierraleone","PROD enet30","oracle_national"
14,0,-0.066,-0.14,1.59,1.53,-0.46,-2.59,"women_vitA","sierraleone","PROD ridge_all","train_mean"
14,0,-0.066,-0.14,1.54,1.53,0.2,-1.46,"women_vitA","sierraleone","PROD ridge_all","oracle_national"
14,0,-0.08,-0.075,1.68,1.54,-0.67,-0.77,"women_vitA","sierraleone","spatial_tps","train_mean"
14,0,-0.079,-0.075,1.62,1.6,0.24,-0.31,"women_vitA","sierraleone","spatial_tps","oracle_national"
14,0,0.394,0.268,1.89,1.42,1.24,0.73,"women_vitA","sierraleone","spatial + decorr20","train_mean"
14,0,0.394,0.268,1.43,1.4,0.28,1.16,"women_vitA","sierraleone","spatial + decorr20","oracle_national"
14,0,0.007,0.025,1.59,1.53,-0.44,0.06,"women_vitA","sierraleone","centered_own enet30","train_mean"
14,0,0.008,0.025,1.56,1.55,0.2,0.04,"women_vitA","sierraleone","centered_own enet30","oracle_national"
14,0,-0.017,-0.089,1.59,1.53,-0.46,-0.32,"women_vitA","sierraleone","centered_own ridge_all","train_mean"
14,0,-0.017,-0.089,1.54,1.53,0.16,-0.19,"women_vitA","sierraleone","centered_own ridge_all","oracle_national"
14,0,0.161,0.043,1.57,1.51,-0.45,1.68,"women_vitA","sierraleone","centered_own decorr20","train_mean"
14,0,0.161,0.043,1.51,1.5,0.17,0.97,"women_vitA","sierraleone","centered_own decorr20","oracle_national"
14,0,-0.21,-0.092,2.37,2.36,0.2,-0.21,"women_vitA","sierraleone","zscore ridge_all","train_mean"
14,0,-0.208,-0.092,2.5,2.39,0.72,-0.2,"women_vitA","sierraleone","zscore ridge_all","oracle_national"
14,0,-0.27,-0.085,2.99,2.97,0.36,-0.19,"women_vitA","sierraleone","zscore screen30","train_mean"
14,0,-0.261,-0.085,2.91,2.8,0.82,-0.2,"women_vitA","sierraleone","zscore screen30","oracle_national"
14,0,-0.022,-0.002,2.06,2.06,0.1,-0.02,"women_vitA","sierraleone","zscore decorr20","train_mean"
14,0,0,-0.002,2.16,2.05,0.66,0,"women_vitA","sierraleone","zscore decorr20","oracle_national"
14,0,-0.435,-0.409,2.95,2.93,0.31,-0.34,"women_vitA","sierraleone","zscore curated16","train_mean"
14,0,-0.461,-0.409,2.99,2.88,0.79,-0.38,"women_vitA","sierraleone","zscore curated16","oracle_national"
97,0,-0.156,-0.167,4.96,4.76,1.4,-0.49,"women_vitA","malawi","PROD enet30","train_mean"
97,0,-0.155,-0.167,4.48,4.48,-0.21,-1.11,"women_vitA","malawi","PROD enet30","oracle_national"
97,0,-0.193,-0.263,4.38,4.36,-0.42,-10.46,"women_vitA","malawi","PROD ridge_all","train_mean"
97,0,-0.193,-0.263,4.37,4.36,-0.33,-9.61,"women_vitA","malawi","PROD ridge_all","oracle_national"
97,0,-0.214,-0.252,4.53,4.49,0.65,-1.77,"women_vitA","malawi","spatial_tps","train_mean"
97,0,-0.214,-0.252,4.42,4.41,-0.3,-3.23,"women_vitA","malawi","spatial_tps","oracle_national"
97,0,-0.172,-0.232,4.55,4.36,-1.3,-9.06,"women_vitA","malawi","spatial + decorr20","train_mean"
97,0,-0.173,-0.232,4.54,4.54,-0.18,-1,"women_vitA","malawi","spatial + decorr20","oracle_national"
97,0,-0.064,-0.098,4.39,4.37,-0.4,-1.11,"women_vitA","malawi","centered_own enet30","train_mean"
97,0,-0.064,-0.098,4.38,4.37,-0.3,-1.01,"women_vitA","malawi","centered_own enet30","oracle_national"
97,0,-0.128,-0.176,4.4,4.38,-0.4,-2.33,"women_vitA","malawi","centered_own ridge_all","train_mean"
97,0,-0.128,-0.176,4.39,4.38,-0.3,-2.13,"women_vitA","malawi","centered_own ridge_all","oracle_national"
97,0,0.047,0.024,4.36,4.34,-0.44,2.43,"women_vitA","malawi","centered_own decorr20","train_mean"
97,0,0.047,0.024,4.35,4.34,-0.34,2.22,"women_vitA","malawi","centered_own decorr20","oracle_national"
97,0,-0.016,-0.1,4.58,4.58,0.15,-0.05,"women_vitA","malawi","zscore ridge_all","train_mean"
97,0,-0.018,-0.1,4.59,4.59,0.24,-0.06,"women_vitA","malawi","zscore ridge_all","oracle_national"
97,0,NA,NA,4.36,4.34,-0.43,NA,"women_vitA","malawi","zscore screen30","train_mean"
97,0,NA,NA,4.36,4.34,-0.33,NA,"women_vitA","malawi","zscore screen30","oracle_national"
97,0,-0.005,-0.177,5.64,5.61,0.56,-0.01,"women_vitA","malawi","zscore decorr20","train_mean"
97,0,-0.007,-0.177,5.56,5.52,0.61,-0.01,"women_vitA","malawi","zscore decorr20","oracle_national"
97,0,0,-0.037,4.67,4.66,0.24,0,"women_vitA","malawi","zscore curated16","train_mean"
97,0,0.001,-0.037,4.67,4.66,0.32,0,"women_vitA","malawi","zscore curated16","oracle_national"
