"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","model","scale"
75,0,0.178,0.244,4.16,4.12,-0.61,10.26,"women_vitA","ghana","PROD enet30","logit"
75,0,-0.028,0.235,5.42,5.42,0.01,-0.03,"women_vitA","ghana","ridge_all","logit"
75,0,0.189,0.169,4.16,4.12,-0.54,21.71,"women_vitA","ghana","curated16_ridge","logit"
75,0,0.213,0.26,4.16,4.1,-0.68,5.68,"women_vitA","ghana","centered_own ridge_all","logit"
75,0,0.144,0.18,4.19,4.12,-0.75,10.66,"women_vitA","ghana","centered_own decorr20","logit"
14,0,-0.052,-0.073,1.81,1.65,-0.74,-0.14,"women_vitA","sierraleone","spatial_tps","continuous"
14,0,-0.236,-0.286,2,1.53,-1.29,-16.76,"women_vitA","sierraleone","PROD enet30","continuous"
14,0,-0.104,-0.057,1.54,1.53,0.12,-2.75,"women_vitA","sierraleone","ridge_all","continuous"
14,0,-0.514,-0.483,1.92,1.63,-1.03,-4.25,"women_vitA","sierraleone","curated16_ridge","continuous"
14,0,-0.119,-0.13,1.57,1.57,0.15,-0.82,"women_vitA","sierraleone","centered_own ridge_all","continuous"
14,0,0.197,0.114,1.51,1.51,0.12,0.61,"women_vitA","sierraleone","centered_own decorr20","continuous"
14,0,-0.08,-0.075,1.68,1.54,-0.67,-0.77,"women_vitA","sierraleone","spatial_tps","logit"
14,0,-0.349,-0.334,1.84,1.54,-1.01,-13.25,"women_vitA","sierraleone","PROD enet30","logit"
14,0,-0.066,-0.14,1.59,1.53,-0.46,-2.59,"women_vitA","sierraleone","ridge_all","logit"
14,0,-0.483,-0.368,1.77,1.54,-0.87,-16.84,"women_vitA","sierraleone","curated16_ridge","logit"
14,0,-0.017,-0.089,1.59,1.53,-0.46,-0.32,"women_vitA","sierraleone","centered_own ridge_all","logit"
14,0,0.161,0.043,1.57,1.51,-0.45,1.68,"women_vitA","sierraleone","centered_own decorr20","logit"
97,0,-0.211,-0.249,4.64,4.62,-0.39,-1.01,"women_vitA","malawi","spatial_tps","continuous"
97,0,-0.074,-0.103,4.48,4.48,-0.16,-0.39,"women_vitA","malawi","PROD enet30","continuous"
97,0,-0.152,-0.246,4.43,4.43,-0.22,-1.56,"women_vitA","malawi","ridge_all","continuous"
97,0,-0.112,-0.06,4.38,4.36,0.46,-4.36,"women_vitA","malawi","curated16_ridge","continuous"
97,0,-0.143,-0.217,4.65,4.63,0.43,-0.57,"women_vitA","malawi","centered_own ridge_all","continuous"
97,0,0.046,0.016,4.36,4.35,0.31,0.46,"women_vitA","malawi","centered_own decorr20","continuous"
97,0,-0.214,-0.252,4.53,4.49,0.65,-1.77,"women_vitA","malawi","spatial_tps","logit"
97,0,-0.156,-0.167,4.96,4.76,1.4,-0.49,"women_vitA","malawi","PROD enet30","logit"
97,0,-0.193,-0.263,4.38,4.36,-0.42,-10.46,"women_vitA","malawi","ridge_all","logit"
97,0,-0.126,-0.137,4.38,4.35,-0.46,-9.16,"women_vitA","malawi","curated16_ridge","logit"
97,0,-0.128,-0.176,4.4,4.38,-0.4,-2.33,"women_vitA","malawi","centered_own ridge_all","logit"
97,0,0.047,0.024,4.36,4.34,-0.44,2.43,"women_vitA","malawi","centered_own decorr20","logit"
