"outcome","country","variable","imp","rel"
"child_zinc","malawi","MAP_202206_Pf_Parasite_Rate",0.165099466276888,1
"child_zinc","malawi","MAP_202106_Insecticide_Treated_Net_Use",0.0646158623535854,0.391375355782304
"child_zinc","malawi","MAP_201201_Sickle_Haemoglobin_HbS_Allele_Frequency",0.0656779701009879,0.397808494370537
"child_zinc","malawi","MAP_201201_G6PDd_Allele_Frequency",0.0652462914490091,0.395193836299778
"child_zinc","malawi","lon",0.000924294219561108,0.00559840828322835
"child_zinc","malawi","lat",0.048014125032568,0.290819383704389
"women_zinc","malawi","gee_ndvi",-0.0672764366267328,-0.591567791955531
"women_zinc","malawi","gee_elevation",-0.0590277936290892,-0.519036728043527
"women_zinc","malawi","gee_popdensity",0.0121935429778708,0.107218926227546
"women_zinc","malawi","gee_ccnl",0.110613474163974,0.972634282561136
"women_zinc","malawi","gee_globalhumanmodification",0.100470665263515,0.883447646551246
"women_zinc","malawi","gee_ghsl_smod",0.0647395220787228,0.569260472888192
"women_zinc","malawi","gee_wsf",0.0392139108343594,0.344811464598369
"women_zinc","malawi","gee_trmm",-0.121890800481802,-1.07179683283136
"women_zinc","malawi","gee_soiltotalcarbon_mean_0_20",-0.0190588829367593,-0.167586481409415
"women_zinc","malawi","gee_soilzinc_mean_0_20",0.0577760769260675,0.508030269864584
"women_zinc","malawi","gee_soiliron_mean_0_20",0.030031670387751,0.264071193880069
"women_zinc","malawi","gee_soilnitrogen_mean_0_20",-0.0175355081792466,-0.154191309387708
"women_zinc","malawi","MAP_202206_Pf_Parasite_Rate",-0.00927622491725514,-0.0815666846689528
"women_zinc","malawi","MAP_202106_Insecticide_Treated_Net_Use",-0.122889638790508,-1.08057970841795
"women_zinc","malawi","MAP_201201_Sickle_Haemoglobin_HbS_Allele_Frequency",0.113725658397221,1
"women_zinc","malawi","MAP_201201_G6PDd_Allele_Frequency",0.0109610018581556,0.0963810806869198
"women_zinc","malawi","lon",-0.0512674712946276,-0.450799511888168
"women_zinc","malawi","lat",0.0949695423989948,0.835075775664323
