"country","outcome","target","predictor","r","p_perm","q_bh"
"Ghana","women_b12","binary","aef_A38.y",0.368,0.00149925037481259,0.076
"Ghana","women_b12","continuous","lst_night_m12_t0",-0.493,0.000499750124937531,0.0083
"Ghana","women_b12","continuous","soil_sulfur_mean_0_20.x",-0.559,0.000499750124937531,0.0083
"Ghana","women_b12","continuous","soil_sulfur_mean_20_50.x",-0.513,0.000499750124937531,0.0083
"Ghana","women_b12","continuous","soil_zinc_mean_20_50.x",-0.546,0.000499750124937531,0.0083
"Ghana","women_b12","continuous","soil_zinc_stdev_20_50.x",-0.491,0.000499750124937531,0.0083
"Ghana","women_b12","continuous","tclim_pdsi_t0",-0.499,0.000499750124937531,0.0083
"Ghana","women_b12","continuous","aef_A22.x",0.46,0.000499750124937531,0.0083
"Ghana","women_b12","continuous","aef_A24.x",0.52,0.000499750124937531,0.0083
"Ghana","women_b12","continuous","aef_A37.x",0.523,0.000499750124937531,0.0083
"Ghana","women_b12","continuous","aef_A38.x",0.512,0.000499750124937531,0.0083
"SierraLeone","child_vitA","binary","dhs_w_barrier_alone",-0.755,0.00399800099950025,0.999
"SierraLeone","child_vitA","binary","dhs_hh_improved_floor.x",0.697,0.00699650174912544,0.999
"SierraLeone","child_vitA","binary","dhs_hh_improved_floor.y",0.697,0.00699650174912544,0.999
"SierraLeone","child_vitA","continuous","dhs_hh_irs",0.748,0.00299850074962519,0.6624
"SierraLeone","child_vitA","continuous","dhs_w_teen_pregnancy.x",-0.695,0.00699650174912544,0.6624
"SierraLeone","child_vitA","continuous","dhs_w_teen_pregnancy.y",-0.695,0.00699650174912544,0.6624
"SierraLeone","women_vitA","binary","dhs_c_overweight.x",-0.702,0.00649675162418791,0.9915
"SierraLeone","women_vitA","binary","dhs_c_overweight.y",-0.702,0.00649675162418791,0.9915
"SierraLeone","women_vitA","binary","dhs_c_low_birthweight.x",0.681,0.00949525237381309,0.9915
"SierraLeone","women_vitA","continuous","aef_A36.x",-0.837,0.000499750124937531,0.1143
