"unit","min_n","spatial","country","outcome","n_areas","p_used","n_basis","Q_obs","Q_null_mean","Q_ratio","Q_z","p_perm_Q","Tmax_obs","p_perm_Tmax","q_bh_Q","q_bh_Tmax"
"admin2",15,"S0_none","Gambia","child_vitA",22,370,0,0.189030443463876,0.0479316750942224,3.9437479097546,6.68884709925687,0.000499750124937531,0.856061314158366,0.000499750124937531,0.00299850074962519,0.00299850074962519
"admin2",15,"S0_none","Malawi","women_folate",13,369,0,0.114607882263895,0.0830637595639459,1.37975794577015,1.6461848079497,0.0604697651174413,0.820297233812418,0.166416791604198,0.136056971514243,0.374437781109445
"admin2",15,"S0_none","Malawi","child_iron",28,369,0,0.0531267243059777,0.0374189931424446,1.41977963179655,1.49625602617055,0.0879560219890055,0.627951494189825,0.0949525237381309,0.175912043978011,0.284857571214393
"admin2",15,"S0_none","Malawi","women_iron",12,369,0,0.0716012751003184,0.091159477208761,0.78545069906826,-0.946294702792863,0.815592203898051,0.822236702397412,0.244377811094453,0.909604021518652,0.403979828267684
"admin2",15,"S0_none","Gambia","child_iron",22,370,0,0.110722481664488,0.0470656100564867,2.35251347069766,3.00752777468354,0.0164917541229385,0.631159144831222,0.24687656171914,0.0593703148425787,0.403979828267684
"admin2",15,"S0_none","Malawi","women_zinc",13,369,0,0.0716734003811477,0.0832962977322197,0.860463217843881,-0.601206909196511,0.695652173913043,0.639249237345184,0.960519740129935,0.894409937888199,0.960519740129935
"admin2",15,"S0_none","Gambia","women_iron",27,371,0,0.174210378569691,0.0386597415844158,4.50624788035101,8.19799163687105,0.000499750124937531,0.773054790392707,0.000499750124937531,0.00299850074962519,0.00299850074962519
"admin2",15,"S0_none","Gambia","women_vitA",27,371,0,0.0769981969730992,0.0386040981182104,1.99456018211645,2.3883708132717,0.0334832583708146,0.584439123445785,0.206896551724138,0.100235596487471,0.403979828267684
"admin2",15,"S0_none","Ghana","women_iron",25,361,0,0.0794835030408594,0.0416530594887489,1.90822724708443,2.19691601523316,0.0389805097451274,0.626560555982835,0.15392303848076,0.100235596487471,0.374437781109445
"admin2",15,"S0_none","Ghana","child_iron",33,358,0,0.150113196206208,0.0313489629912849,4.78845811416281,9.07832633712357,0.000499750124937531,0.761189977332847,0.000499750124937531,0.00299850074962519,0.00299850074962519
