"group","predictor","meta_z","mu","tau2","k_countries","sign_agree","p_perm","p_fwer","domain","q_bh_perm"
"child_iron","soil_phosphorus_stdev_20_50",-0.596592516613761,-0.433861461934821,1.11546838353111,4,2,0.499750124937531,1,"Soil characteristics",0.663369382924196
"child_iron","soil_potassium_mean_0_20",-0.807960532496093,-0.403980266248046,0,4,3,0.367816091954023,1,"Soil characteristics",0.540139379129333
"child_iron","soil_potassium_mean_20_50",0.819521644077868,0.43147852256285,0.108810937396963,4,2,0.365317341329335,1,"Soil characteristics",0.539327174357485
"child_iron","soil_sulfur_mean_0_20",-1.06201219500459,-0.891778570881503,1.82042819950984,4,3,0.237381309345327,1,"Soil characteristics",0.419636153487237
"child_iron","soil_sulfur_mean_20_50",-1.40408766849273,-1.15613515076745,1.71199417335739,4,3,0.118940529735132,1,"Soil characteristics",0.295041221111299
"child_iron","soil_sulfur_stdev_0_20",0.00675398995233127,0.00357291760120737,0.119399663693193,4,3,0.995502248875562,1,"Soil characteristics",0.995502248875562
"child_iron","soil_sulfur_stdev_20_50",-0.119880298699472,-0.108011744715971,2.24717968409408,4,1,0.901049475262369,1,"Soil characteristics",0.949410887776451
"child_iron","soil_zinc_mean_0_20",-0.950954960497719,-0.807785973101101,1.88624178631839,4,2,0.286856571714143,1,"Soil characteristics",0.461196126074894
"child_iron","soil_zinc_mean_20_50",-0.926652732815839,-0.80924532779649,2.05060776186877,4,2,0.306846576711644,1,"Soil characteristics",0.482927312714951
"child_iron","soil_zinc_stdev_0_20",-1.32039704890346,-0.681492247987201,0.0655473208687294,4,3,0.148925537231384,1,"Soil characteristics",0.336661972044281
"child_iron","soil_zinc_stdev_20_50",-0.763502580209413,-0.476736258253838,0.559535769698295,4,3,0.419290354822589,1,"Soil characteristics",0.594658944292113
"child_iron","soilgrids_cec",0.415311349278398,0.506595642601851,4.95162134459666,4,2,0.669165417291354,1,"Soil characteristics",0.815682028266912
"child_iron","soilgrids_clay",-0.84105464700789,-0.773537121429981,2.38355999752765,4,2,0.35232383808096,1,"Soil characteristics",0.527778279534931
"child_iron","soilgrids_ph",1.25280898477787,0.856386897185511,0.869090372358928,4,3,0.161419290354823,1,"Soil characteristics",0.346031007484763
"child_iron","soilgrids_sand",0.745713885468821,0.451353044213494,0.465373331430208,4,3,0.416291854072964,1,"Soil characteristics",0.594658944292113
"child_iron","soilgrids_silt",-0.22929554713648,-0.11464777356824,0,4,3,0.788605697151424,1,"Soil characteristics",0.902300383550556
"child_iron","spam_parea_total",1.20590166623616,0.905434226676786,1.25501801458466,4,3,0.189405297351324,1,"Agricultural production, land use",0.379791387728596
"child_iron","spam_prod_cereals",1.27754507679069,1.05053207329507,1.70474395179771,4,3,0.167416291854073,1,"Agricultural production, land use",0.352916238509959
"child_iron","spam_prod_oilcrops",-0.539738995304489,-0.285098316877694,0.116044998425684,4,3,0.574712643678161,1,"Agricultural production, land use",0.737940308196417
"child_iron","spam_prod_pulses",1.09481926724372,0.985087186225325,2.23835508714479,4,3,0.229385307346327,1,"Agricultural production, land use",0.412057129330072
"child_iron","spam_prod_roots",-1.53551145670821,-0.767755728354105,0,4,4,0.087456271864068,1,"Agricultural production, land use",0.252279875100044
"child_iron","spam_prod_total",0.232398116312546,0.138073926793954,0.411946160260947,4,2,0.792103948025987,1,"Agricultural production, land use",0.903531414720774
"child_iron","spam_prod_vegetables",0.0654471820617268,0.0526845798511188,1.59206047204395,4,1,0.943528235882059,1,"Agricultural production, land use",0.965740417462502
"child_iron","spam_share_oilcrops",-1.42795423502527,-0.713977117512636,0,4,4,0.111444277861069,1,"Agricultural production, land use",0.292555111333222
