"unit","min_n","spatial","country","outcome","domain","n_pred","Q_obs","Q_ratio","Q_z","p_perm","q_bh"
"admin2",15,"S1_latlon","Malawi","child_vitA","Adult nutrition",9,0.100174557477922,2.63873898484184,3.29504389531301,0.00649675162418791,0.318840579710145
"admin2",15,"S1_latlon","Malawi","child_vitA","Agricultural production, land use",80,0.021348647764081,0.569339316617065,-1.02436191617268,0.887556221889055,0.929606625258799
"admin2",15,"S1_latlon","Malawi","child_vitA","Built environment",12,0.0740023891916771,1.93453881058545,1.57496458041385,0.0759620189905048,0.489855072463768
"admin2",15,"S1_latlon","Malawi","child_vitA","Climate and weather",41,0.014806127223607,0.391256237041741,-0.832252181348181,0.84407796101949,0.916800858829845
"admin2",15,"S1_latlon","Malawi","child_vitA","Dietary diversity",11,0.0304153073653768,0.825910516084991,-0.289607558083224,0.537731134432784,0.765355417529331
"admin2",15,"S1_latlon","Malawi","child_vitA","Ecosystem productivity/greenness",16,0.0155653177271044,0.421716934046906,-0.719260506153679,0.781109445277361,0.888320545609548
"admin2",15,"S1_latlon","Malawi","child_vitA","Education, employment, SES",9,0.076386848654213,2.00140999031785,1.48343948458767,0.0844577711144428,0.489855072463768
"admin2",15,"S1_latlon","Malawi","child_vitA","Fertility, reproductive health",23,0.0417129896280592,1.11833829306987,0.255910658082673,0.316841579210395,0.634876110331931
"admin2",15,"S1_latlon","Malawi","child_vitA","Food fortification and supplementation",6,0.0649276421403497,1.74736030873579,1.12626078547709,0.122938530734633,0.525149190110827
"admin2",15,"S1_latlon","Malawi","child_vitA","Healthcare access",6,0.170829625624107,4.50803152807744,3.53486390574509,0.0144927536231884,0.318840579710145
"admin2",15,"S1_latlon","Malawi","child_vitA","Household assets and characteristics",12,0.131787090458745,3.49200676437444,3.25032642504165,0.0164917541229385,0.318840579710145
"admin2",15,"S1_latlon","Malawi","child_vitA","Infant and child morbidity/mortality",37,0.0422400288313536,1.14147148403165,0.411871628222107,0.289855072463768,0.634876110331931
"admin2",15,"S1_latlon","Malawi","child_vitA","Malaria incidence and treatment",23,0.0742394345237344,2.00278018753896,2.01415781575862,0.0419790104947526,0.443064182194617
"admin2",15,"S1_latlon","Malawi","child_vitA","Ruralness, population density, built environment",9,0.123009144765159,3.24447012854536,2.27665711333745,0.0384807596201899,0.443064182194617
"admin2",15,"S1_latlon","Malawi","child_vitA","Soil characteristics",45,0.0444181951815781,1.18886186696198,0.427531269735846,0.258370814592704,0.634876110331931
"admin2",15,"S1_latlon","Malawi","child_vitA","Water and sanitation",8,0.0528257047809408,1.44491348455116,0.785947651441546,0.188905547226387,0.576659038901602
"admin2",15,"S1_latlon","Malawi","child_zinc","Adult and maternal mortality",9,0.013613724667727,0.370232397638771,-0.80336353460584,0.822088955522239,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Adult nutrition",9,0.0265669532408739,0.681793386317756,-0.651622079838648,0.721139430284858,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Agricultural production, land use",80,0.0254034263436305,0.654010582323027,-0.891576287515719,0.829585207396302,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Built environment",12,0.0182275384331994,0.470936833099476,-0.897826097087141,0.845577211394303,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Climate and weather",41,0.0235588959903475,0.605623886190888,-0.538411378077907,0.64767616191904,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Dietary diversity",11,0.0544639012018251,1.40987298930301,0.71371912609967,0.196901549225387,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Ecosystem productivity/greenness",16,0.00918921979039232,0.236850647365982,-0.966563059706286,0.958520739630185,0.958520739630185
"admin2",15,"S1_latlon","Malawi","child_zinc","Education, employment, SES",9,0.0435168005440708,1.1264923325536,0.187050348718555,0.321339330334833,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Fertility, reproductive health",23,0.0322791928039967,0.832859669185519,-0.360163558769615,0.575712143928036,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Food fortification and supplementation",6,0.0252502602945548,0.651475188925455,-0.527794610066335,0.644177911044478,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Healthcare access",6,0.0124335335062944,0.320931736891941,-0.709278115030352,0.780609695152424,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Household assets and characteristics",12,0.0486387333185926,1.25765266908952,0.352089703341171,0.251374312843578,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Infant and child morbidity/mortality",37,0.0314931576445964,0.819310490205261,-0.523279112623863,0.659170414792604,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Malaria incidence and treatment",23,0.0241898585319682,0.625402108700054,-0.7745021454927,0.768115942028985,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Ruralness, population density, built environment",9,0.0235084324705362,0.618115844914105,-0.371484388605431,0.520739630184908,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Soil characteristics",45,0.0386910662980589,0.997049180588014,-0.0072330078077656,0.423788105947026,0.898425787106447
"admin2",15,"S1_latlon","Malawi","child_zinc","Water and sanitation",8,0.0422472240060357,1.09220443752221,0.166617078295217,0.361819090454773,0.898425787106447
"admin2",15,"S1_latlon","Gambia","child_vitA","Adult and maternal mortality",9,0.0305623722199077,0.641674400347094,-0.583252625758878,0.679660169915043,0.856962822936358
"admin2",15,"S1_latlon","Gambia","child_vitA","Adult nutrition",9,0.0825268605673366,1.74722251391548,1.23279224808449,0.11544227886057,0.525149190110827
"admin2",15,"S1_latlon","Gambia","child_vitA","Agricultural production, land use",80,0.0762883043640419,1.61215990644419,1.51708154233185,0.0814592703648176,0.489855072463768
"admin2",15,"S1_latlon","Gambia","child_vitA","Built environment",12,0.0635949471590373,1.35722721567152,0.643147052413468,0.209395302348826,0.607246376811594
"admin2",15,"S1_latlon","Gambia","child_vitA","Climate and weather",41,0.0390280680469225,0.834263359272793,-0.3901864444278,0.587706146926537,0.792719919110212
"admin2",15,"S1_latlon","Gambia","child_vitA","Dietary diversity",11,0.0561750218622539,1.17834809835095,0.27185590308148,0.295852073963018,0.634876110331931
"admin2",15,"S1_latlon","Gambia","child_vitA","Ecosystem productivity/greenness",16,0.0518490899562016,1.08867300499068,0.129949339363325,0.322338830584708,0.634876110331931
"admin2",15,"S1_latlon","Gambia","child_vitA","Education, employment, SES",9,0.0501974662861696,1.05213418949848,0.0689304215060513,0.339330334832584,0.634876110331931
"admin2",15,"S1_latlon","Gambia","child_vitA","Fertility, reproductive health",23,0.0331222824971011,0.70534968150621,-0.673596672505802,0.739630184907546,0.888320545609548
"admin2",15,"S1_latlon","Gambia","child_vitA","Food fortification and supplementation",6,0.038259470684501,0.816898183600025,-0.25602001596564,0.507246376811594,0.75436640654032
"admin2",15,"S1_latlon","Gambia","child_vitA","Healthcare access",6,0.0462985970320009,1.00049219467254,0.000591546120437981,0.361819090454773,0.655797101449275
"admin2",15,"S1_latlon","Gambia","child_vitA","Household assets and characteristics",12,0.007099377120069,0.153644543444652,-0.96473733501609,0.979510244877561,0.979510244877561
"admin2",15,"S1_latlon","Gambia","child_vitA","Infant and child morbidity/mortality",37,0.0558998265914582,1.18798853783907,0.518958985170118,0.255372313843078,0.634876110331931
"admin2",15,"S1_latlon","Gambia","child_vitA","Malaria incidence and treatment",23,0.0345796211732142,0.758863275479306,-0.369543887721693,0.549725137431284,0.765355417529331
"admin2",15,"S1_latlon","Gambia","child_vitA","Ruralness, population density, built environment",9,0.00932702804429894,0.203667312006158,-0.774671934234328,0.897551224387806,0.929606625258799
"admin2",15,"S1_latlon","Gambia","child_vitA","Soil characteristics",45,0.0203589883407848,0.429662741616229,-1.11506549764184,0.944527736131934,0.961098398169337
"admin2",15,"S1_latlon","Gambia","child_vitA","Water and sanitation",9,0.0273304960653057,0.566311829691754,-0.752083858964515,0.769115442278861,0.888320545609548
"admin2",15,"S1_latlon","Malawi","women_folate","Adult and maternal mortality",9,0.05515886266774,0.657632175809171,-0.469487979662601,0.616191904047976,0.722431887504523
"admin2",15,"S1_latlon","Malawi","women_folate","Adult nutrition",9,0.0660672352934136,0.785367287820271,-0.488815211197254,0.654672663668166,0.725701665296384
"admin2",15,"S1_latlon","Malawi","women_folate","Agricultural production, land use",80,0.104896075939082,1.26964349815142,0.757797124647493,0.215892053973014,0.403934396438145
