"country","outcome","domain","n","r_partial","p_perm"
"Malawi","women_vitA","Malaria incidence and treatment",27,-0.122696584465488,0.550224887556222
"Malawi","women_vitA","Ruralness, population density, built environment",27,-0.11120351422431,0.576711644177911
"Malawi","women_vitA","Soil characteristics",27,0.0699260352072341,0.734132933533233
"Malawi","women_vitA","Water and sanitation",27,-0.0825233158014264,0.691154422788606
"Malawi","women_zinc","Adult and maternal mortality",27,0.13093023924321,0.511244377811094
"Malawi","women_zinc","Adult nutrition",27,-0.544316431918431,0.00199900049975012
"Malawi","women_zinc","Agricultural production, land use",27,-0.21221316627526,0.284357821089455
"Malawi","women_zinc","Built environment",27,-0.0761433116551703,0.692153923038481
"Malawi","women_zinc","Climate and weather",27,-0.367324406610084,0.0649675162418791
"Malawi","women_zinc","Dietary diversity",27,-0.171485124141644,0.390804597701149
"Malawi","women_zinc","Ecosystem productivity/greenness",27,-0.115027177283725,0.572713643178411
"Malawi","women_zinc","Education, employment, SES",27,0.28964739728016,0.143928035982009
"Malawi","women_zinc","Fertility, reproductive health",27,0.35005394640071,0.063968015992004
"Malawi","women_zinc","Food fortification and supplementation",27,-0.0115730950394835,0.947526236881559
"Malawi","women_zinc","Healthcare access",27,-0.156005444245039,0.443778110944528
"Malawi","women_zinc","Household assets and characteristics",27,0.165333949015801,0.407296351824088
"Malawi","women_zinc","Infant and child morbidity/mortality",27,-0.260959214327113,0.193903048475762
"Malawi","women_zinc","Malaria",27,0.255756014430294,0.197401299350325
"Malawi","women_zinc","Malaria incidence and treatment",27,-0.00295766141481642,0.991504247876062
"Malawi","women_zinc","Ruralness, population density, built environment",27,0.194763651579993,0.333833083458271
"Malawi","women_zinc","Soil characteristics",27,-0.0472478195861919,0.824587706146927
"Malawi","women_zinc","Water and sanitation",27,-0.0425775891097536,0.837581209395302
