"country","outcome","cluster","Admin1","Admin2","lat","lon","urban","date_med","month_med","n_raw","n_raw_cont","n_kish","n_eff","n_eff_cont","y_prev","y_level","sd_level"
"Gambia","child_iron","169","Lower River","Jarra West",13.449273,-15.532021,NA,"2018-03-24",3,12,12,12,12,12,0.333333333333333,-2.5665211483096,0.681298701073283
"Gambia","child_iron","174","Lower River","Jarra West",13.441454,-15.53845,NA,"2018-03-25",3,7,7,7,7,7,0.428571428571429,-2.68134142081785,0.803684730705112
"Gambia","child_iron","184","Lower River","Kiang Central",13.416853,-15.693366,NA,"2018-02-23",2,24,24,24,24,24,0.666666666666667,-1.99780820845684,0.814371614086038
"Gambia","child_iron","190","Lower River","Kiang East",13.411631,-15.656989,NA,"2018-02-21",2,22,22,22,22,22,0.772727272727273,-1.87683744842497,0.819320322853269
"Gambia","child_iron","196","Lower River","Jarra West",13.440922,-15.516524,NA,"2018-03-22",3,16,16,16,16,16,0.375,-2.73879539786024,1.04870063905501
"Gambia","child_iron","2","Banjul","Banjul",13.448775,-16.574396,NA,"2018-01-25",1,13,13,13,13,13,0.538461538461539,-2.20287546023366,0.992190527649762
"Gambia","child_iron","20","Banjul","Banjul",13.455141,-16.58078,NA,"2018-02-09",2,4,4,4,4,4,0.5,-2.51420431957386,0.73870725169922
"Gambia","child_iron","202","Lower River","Jarra East",13.380103,-15.294262,NA,"2018-03-10",3,36,36,36,36,36,0.833333333333333,-1.84179803558224,0.772499813963582
"Gambia","child_iron","208","Lower River","Jarra East",13.535344,-15.197745,NA,"2018-03-02",3,16,16,16,16,16,0.625,-2.22445023671397,0.885067135503626
"Gambia","child_iron","213","North Bank","Lower Nuimi",13.482123,-16.53154,NA,"2018-04-10",4,5,5,5,5,5,0.4,-2.52388264934586,0.530158557555634
"Gambia","child_iron","217","North Bank","Lower Baddibu",13.497137,-16.089097,NA,"2018-03-06",3,9,9,9,9,9,0.666666666666667,-2.35559940232665,0.878329587311648
"Gambia","child_iron","221","North Bank","Upper Baddibu",13.568901,-15.596886,NA,"2018-04-15",4,7,7,7,7,7,0.428571428571429,-2.29856545139506,0.866777435703046
"Gambia","child_iron","226","North Bank","Lower Nuimi",13.490275,-16.463355,NA,"2018-04-19",4,8,8,8,8,8,0.625,-2.195180105135,0.789991095591435
