country,outcome,Admin1,Admin2,svy_prev,n_svy
Malawi,women_folate,Chiradzulu,TA Mpama,0.25,8
Malawi,women_folate,Chiradzulu,TA Nchema,0.16666666666666666,12
Malawi,women_folate,Nsanje,TA Ndamera,0.4,5
Malawi,women_folate,Dedza,TA Pemba,0,18
Malawi,women_folate,Dedza,TA Tambala,0,11
Malawi,women_folate,Karonga,TA Wasambo,0.3333333333333333,6
Malawi,women_b12,Karonga,Karonga Town,0.08333333333333333,12
Malawi,women_b12,Lilongwe,Lilongwe City,0,4
Malawi,women_b12,Nsanje,Nsanje Boma,0,6
Malawi,women_b12,Nsanje,SC Mbenje,0,9
Malawi,women_b12,Lilongwe,TA Chiseka,0,9
Malawi,women_b12,Lilongwe,TA Kabudula,0,9
Malawi,women_b12,Chiradzulu,TA Kadewere,0,9
Malawi,women_b12,Dedza,TA Kaphuka,0,6
Malawi,women_b12,Lilongwe,TA Khongoni,0.16666666666666666,6
Malawi,women_b12,Karonga,TA Kilupula,0,11
Malawi,women_b12,Karonga,TA Kyungu,0,22
Malawi,women_b12,Chiradzulu,TA Mpama,0,8
Malawi,women_b12,Chiradzulu,TA Nchema,0,12
Malawi,women_b12,Nsanje,TA Ndamera,0,5
Malawi,women_b12,Dedza,TA Pemba,0,18
Malawi,women_b12,Dedza,TA Tambala,0.09090909090909091,11
Malawi,women_b12,Karonga,TA Wasambo,0,6
Malawi,child_zinc,Karonga,Karonga Town,0.6363636363636364,11
Malawi,child_zinc,Lilongwe,Lilongwe City,0.7000000000000001,10
Malawi,child_zinc,Nsanje,Nsanje Boma,0.25,4
Malawi,child_zinc,Nsanje,SC Mbenje,0.7647058823529411,17
Malawi,child_zinc,Lilongwe,TA Chiseka,0.8333333333333333,12
Malawi,child_zinc,Lilongwe,TA Kabudula,0.42857142857142855,7
Malawi,child_zinc,Chiradzulu,TA Kadewere,0.875,16
Malawi,child_zinc,Dedza,TA Kaphuka,0.5,10
Malawi,child_zinc,Lilongwe,TA Khongoni,0.375,8
Malawi,child_zinc,Karonga,TA Kilupula,0.79253442208042435,19
Malawi,child_zinc,Karonga,TA Kyungu,0.2967168074645364,43
Malawi,child_zinc,Chiradzulu,TA Mpama,0.6666666666666666,6
Malawi,child_zinc,Chiradzulu,TA Nchema,0.9230769230769231,13
Malawi,child_zinc,Nsanje,TA Ndamera,0.6000000000000001,10
Malawi,child_zinc,Dedza,TA Pemba,0.6875,32
Malawi,child_zinc,Dedza,TA Tambala,0.7777777777777777,18
Malawi,child_zinc,Karonga,TA Wasambo,0.7333333333333333,15
Malawi,women_zinc,Karonga,Karonga Town,1,12
Malawi,women_zinc,Lilongwe,Lilongwe City,1,4
Malawi,women_zinc,Nsanje,Nsanje Boma,0.3333333333333333,6
Malawi,women_zinc,Nsanje,SC Mbenje,0.6666666666666666,9
Malawi,women_zinc,Lilongwe,TA Chiseka,0.7777777777777777,9
Malawi,women_zinc,Lilongwe,TA Kabudula,0.875,8
Malawi,women_zinc,Chiradzulu,TA Kadewere,0.7777777777777777,9
Malawi,women_zinc,Dedza,TA Kaphuka,0.3333333333333333,6
Malawi,women_zinc,Lilongwe,TA Khongoni,0.2857142857142857,7
Malawi,women_zinc,Karonga,TA Kilupula,0.8089624628602694,11
Malawi,women_zinc,Karonga,TA Kyungu,0.28644022274095116,22
Malawi,women_zinc,Chiradzulu,TA Mpama,1,8
Malawi,women_zinc,Chiradzulu,TA Nchema,0.9166666666666666,12
Malawi,women_zinc,Nsanje,TA Ndamera,0.5,6
Malawi,women_zinc,Dedza,TA Pemba,0.6666666666666666,18
Malawi,women_zinc,Dedza,TA Tambala,0.8181818181818182,11
Malawi,women_zinc,Karonga,TA Wasambo,0.8333333333333333,6
