"country","cluster","Admin1","Admin2","n_resp","n_dated","date_med","date_min","date_max","month_med","year_med"
"Ghana","83","Upper East","Bawku West",20,20,2017-05-15,2017-04-15,2017-05-15,5,2017
"Ghana","84","Upper East","Binduri",20,20,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","85","Upper East","Binduri",26,26,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","86","Upper West","Wa Municipal",21,21,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","87","Upper West","Wa East",24,24,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","88","Upper West","Jirapa",17,17,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","89","Upper West","Lambussie-Karni",21,21,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","9","Central","Awutu Senya West",23,23,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","90","Upper West","Wa Municipal",15,15,2017-05-15,2017-04-15,2017-05-15,5,2017
"Malawi","101","Rumphi","SC Kachulu",20,13,2016-02-05,2016-02-05,2016-02-06,2,2016
"Malawi","114","Rumphi","Rumphi Boma",28,18,2016-01-25,2016-01-25,2016-01-25,1,2016
"Malawi","136","Ntchisi","SC Nthondo",37,28,2015-12-21,2015-12-17,2015-12-21,12,2015
"Malawi","140","Chitipa","TA Mwabulambya",34,12,2015-12-12,2015-12-12,2015-12-12,12,2015
"Malawi","145","Blantyre","TA Kuntaja",7,4,2015-12-08,2015-12-08,2015-12-08,12,2015
"Malawi","150","Ntchisi","TA Kalumo",38,26,2015-12-12,2015-12-11,2015-12-12,12,2015
"Malawi","16","Nsanje","Nsanje Boma",16,7,2016-01-24,2016-01-23,2016-01-24,1,2016
"Malawi","162","Chitipa","Chitipa Boma",15,10,2016-02-15,2016-02-15,2016-02-15,2,2016
"Malawi","170","Salima","TA Maganga",45,32,2016-01-11,2016-01-11,2016-01-12,1,2016
"Malawi","178","Karonga","TA Wasambo",32,23,2016-02-12,2016-02-12,2016-02-12,2,2016
"Malawi","18","Mzimba","TA Chindi",29,20,2015-12-15,2015-12-15,2015-12-16,12,2015
"Malawi","185","Nkhata Bay","TA Kabunduli",30,22,2015-12-13,2015-12-12,2015-12-13,12,2015
"Malawi","190","Blantyre","Blantyre City",12,7,2016-01-13,2016-01-13,2016-01-14,1,2016
"Malawi","192","Salima","TA Karonga",25,15,2016-01-30,2016-01-30,2016-01-31,1,2016
"Malawi","193","Chiradzulu","TA Nchema",37,23,2016-02-13,2016-02-13,2016-02-15,2,2016
"Malawi","194","Mulanje","TA Mabuka",31,19,2016-02-01,2016-02-01,2016-02-02,2,2016
"Malawi","195","Neno","TA Ngozi",21,14,2015-12-21,2015-12-21,2015-12-22,12,2015
