"country","outcome","rep","arm","n_areas","spearman","topk","secs_sl","secs_mlr3"
"Ghana","child_vitA",2,"domain_index",75,0.244645848444917,0.473684210526316,25.6683826446533,0
"Ghana","child_vitA",2,"enet",75,0.125921734586472,0.315789473684211,25.6683826446533,0
"Ghana","child_vitA",2,"rf",75,0.324461912503925,0.578947368421053,25.6683826446533,0
"Ghana","child_vitA",2,"mean",75,-0.183545532182868,0.210526315789474,25.6683826446533,0
"Ghana","child_vitA",2,"hapc",75,0.217860118472572,0.368421052631579,25.6683826446533,0
"Ghana","child_vitA",3,"sl_discrete",75,0.171123932524014,0.526315789473684,25.1884438991547,0
"Ghana","child_vitA",3,"sl_nnls",75,0.222132164720155,0.578947368421053,25.1884438991547,0
"Ghana","child_vitA",3,"mlr3_discrete",75,NA,NA,25.1884438991547,0
"Ghana","child_vitA",3,"domain_index",75,0.277440923472195,0.578947368421053,25.1884438991547,0
"Ghana","child_vitA",3,"enet",75,0.157111620831942,0.473684210526316,25.1884438991547,0
"Ghana","child_vitA",3,"rf",75,0.258999923836796,0.526315789473684,25.1884438991547,0
"Ghana","child_vitA",3,"mean",75,-0.221257381431842,0.157894736842105,25.1884438991547,0
"Ghana","child_vitA",3,"hapc",75,0.179454422706801,0.368421052631579,25.1884438991547,0
"Ghana","child_vitA",4,"sl_discrete",75,0.04436425137506,0.315789473684211,24.2950878143311,0
"Ghana","child_vitA",4,"sl_nnls",75,0.197781501108932,0.473684210526316,24.2950878143311,0
"Ghana","child_vitA",4,"mlr3_discrete",75,NA,NA,24.2950878143311,0
"Ghana","child_vitA",4,"domain_index",75,0.216279461360966,0.578947368421053,24.2950878143311,0
"Ghana","child_vitA",4,"enet",75,0.00453221646338834,0.315789473684211,24.2950878143311,0
"Ghana","child_vitA",4,"rf",75,0.234820142075476,0.526315789473684,24.2950878143311,0
"Ghana","child_vitA",4,"mean",75,-0.204254351134617,0.105263157894737,24.2950878143311,0
"Ghana","child_vitA",4,"hapc",75,0.156157530503315,0.368421052631579,24.2950878143311,0
"Ghana","child_vitA",5,"sl_discrete",75,0.172517944170112,0.368421052631579,25.7987968921661,0
"Ghana","child_vitA",5,"sl_nnls",75,0.214713044403519,0.473684210526316,25.7987968921661,0
"Ghana","child_vitA",5,"mlr3_discrete",75,NA,NA,25.7987968921661,0
"Ghana","child_vitA",5,"domain_index",75,0.267230732940472,0.473684210526316,25.7987968921661,0
"Ghana","child_vitA",5,"enet",75,0.198877992979145,0.421052631578947,25.7987968921661,0
"Ghana","child_vitA",5,"rf",75,0.242296223008746,0.526315789473684,25.7987968921661,0
"Ghana","child_vitA",5,"mean",75,-0.131446503451626,0.0526315789473684,25.7987968921661,0
"Ghana","child_vitA",5,"hapc",75,0.136847881464241,0.368421052631579,25.7987968921661,0
"Ghana","women_vitA",1,"sl_discrete",75,0.0525676864794243,0.263157894736842,24.3987221717834,0
"Ghana","women_vitA",1,"sl_nnls",75,0.0123925135529748,0.315789473684211,24.3987221717834,0
"Ghana","women_vitA",1,"mlr3_discrete",75,NA,NA,24.3987221717834,0
"Ghana","women_vitA",1,"domain_index",75,0.100437849518579,0.315789473684211,24.3987221717834,0
"Ghana","women_vitA",1,"enet",75,-0.0145228439579538,0.210526315789474,24.3987221717834,0
"Ghana","women_vitA",1,"rf",75,0.0704435799899189,0.315789473684211,24.3987221717834,0
"Ghana","women_vitA",1,"mean",75,-0.151371463188576,0.157894736842105,24.3987221717834,0
"Ghana","women_vitA",1,"hapc",75,-0.0179490388038662,0.157894736842105,24.3987221717834,0
"Ghana","women_vitA",2,"sl_discrete",75,-0.192414282428086,0.157894736842105,25.2458837032318,0
"Ghana","women_vitA",2,"sl_nnls",75,-0.110070378489697,0.210526315789474,25.2458837032318,0
"Ghana","women_vitA",2,"mlr3_discrete",75,NA,NA,25.2458837032318,0
"Ghana","women_vitA",2,"domain_index",75,0.0829092057172475,0.263157894736842,25.2458837032318,0
"Ghana","women_vitA",2,"enet",75,-0.180717699062235,0.105263157894737,25.2458837032318,0
"Ghana","women_vitA",2,"rf",75,0.00153535566143051,0.315789473684211,25.2458837032318,0
"Ghana","women_vitA",2,"mean",75,-0.18382819097023,0.157894736842105,25.2458837032318,0
