"tier","target","outcome","heldout","n_units","rho_full","rho_cs","rho_urb_only","rho_full_resid","rho_cs_resid","partial_full","partial_cs","rho_full_plus_urb","rho_cs_plus_urb","cor_y_urb","cor_cs_urb","cor_full_urb"
"admin2","level","child_vitA","Gambia",30,0.626251390433815,0.78420467185762,-0.563959955506118,0.6,0.775750834260289,0.390240159815923,0.675237144450377,0.619132369299221,0.78420467185762,-0.563959955506118,-0.598220244716351,-0.705450500556174
"admin2","level","child_vitA","Ghana",75,0.367055476529161,0.290867709815078,-0.204238975817923,0.373143669985775,0.293570412517781,0.330205971899228,0.278706958191053,0.369132290184922,0.289758179231863,-0.204238975817923,-0.09425320056899,-0.275960170697013
"admin2","level","child_vitA","Malawi",87,0.268298461762776,0.225632426915506,-0.140045199387621,0.229623824451411,0.214879346795947,0.27488400162761,0.202974370235876,0.258930524167092,0.227527885106073,0.140045199387621,0.207224611795582,-0.0269738280965226
"admin2","level","child_vitA","SierraLeone",14,0.0417582417582418,0.397802197802198,-0.415384615384615,0.296703296703297,0.512087912087912,0.290831078832508,0.332701909672563,0.0417582417582418,0.397802197802198,0.415384615384615,0.252747252747253,-0.463736263736264
"admin2","level","women_vitA","Gambia",30,0.765962180200222,0.745494994438265,-0.626251390433815,0.766407119021135,0.746384872080089,0.582545958198825,0.593825501936192,0.765962180200222,0.745050055617353,-0.626251390433815,-0.597775305895439,-0.719243604004449
"admin2","level","women_vitA","Ghana",75,0.309843527738265,0.43448079658606,0.00261735419630156,0.387624466571835,0.431806543385491,0.344653210479456,0.445085544436786,0.302304409672831,0.428876244665718,-0.00261735419630156,-0.222788051209104,-0.444807965860597
"admin2","level","women_vitA","Malawi",87,0.245990376904571,0.206732521688416,-0.105781147481228,0.233833928701611,0.2288036742728,0.23838940173732,0.193060646089097,0.24493329445214,0.208099438652767,0.105781147481228,0.164084712400671,0.0945359772545017
"admin2","level","women_vitA","SierraLeone",14,-0.0241758241758242,0.38021978021978,0.116483516483516,0.0461538461538462,0.371428571428571,-0.0493554036907033,0.466588875779052,-0.0241758241758242,0.38021978021978,-0.116483516483516,0.393406593406593,-0.204395604395604
"admin2","level","child_iron","Gambia",30,0.405561735261402,0.536373748609566,0.349944382647386,0.408231368186874,0.545717463848721,0.276711242883112,0.446219360037084,0.410011123470523,0.529699666295884,-0.349944382647386,-0.494549499443827,-0.531479421579533
"admin2","level","child_iron","Ghana",75,0.555704125177809,0.567368421052632,0.189758179231863,0.517439544807966,0.559260312944523,0.557339853659366,0.546173901645397,0.55724039829303,0.566145092460882,-0.189758179231863,-0.265092460881935,-0.0480796586059744
"admin2","level","child_iron","Malawi",87,-0.0568090690384195,0.142615003280601,-0.143599183494933,0.144710942625939,0.249216300940439,-0.0603945288688275,0.119999937940081,-0.0665961945031712,0.119632572719982,0.143599183494933,0.179594663556171,0.0205219800247868
"admin2","level","child_iron","SierraLeone",14,0.257142857142857,0.314285714285714,0.12967032967033,0.186813186813187,0.292307692307692,0.254624065773884,0.344055327567445,0.257142857142857,0.305494505494505,-0.12967032967033,0.169230769230769,-0.0373626373626374
"admin2","level","women_iron","Gambia",30,0.61245828698554,0.712124582869855,-0.472747497219132,0.679199110122358,0.717908787541713,0.518509915302224,0.627389709126964,0.60845383759733,0.690767519466073,-0.472747497219132,-0.481201334816463,-0.417130144605117
"admin2","level","women_iron","Ghana",75,0.352375533428165,0.319857752489331,-0.151607396870555,0.44850640113798,0.345860597439545,0.430754394152516,0.367131836652498,0.346173541963016,0.30728307254623,0.151607396870555,-0.223357041251778,-0.328392603129445
"admin2","level","women_iron","Malawi",87,0.218706714296129,0.289221404097106,-0.0491725595975796,0.176040679448859,0.302762994823941,0.213615192442953,0.285358309092468,0.216847707224612,0.293358606109207,0.0491725595975796,0.174035867901145,0.270248596631917
"admin2","level","women_iron","SierraLeone",14,-0.032967032967033,0.107692307692308,-0.16043956043956,-0.120879120879121,0.0725274725274725,-0.0216677734198277,0.185925018237973,-0.032967032967033,0.0945054945054945,-0.16043956043956,0.384615384615385,0.0725274725274725
"admin2","level","women_folate","Ghana",75,-0.0603129445234708,-0.00679943100995732,-0.236557610241821,0.0417638691322902,0.032773826458037,0.115083825580439,0.110935291779,-0.0636699857752489,-0.0214224751066856,-0.236557610241821,0.438293029871977,0.624238975817923
"admin2","level","women_folate","Malawi",87,0.104450681635926,0.279525406429977,-0.0989465626594736,0.202923379747758,0.274932565429759,0.142717294184143,0.264699491802693,0.0957570897426551,0.259604869869505,0.0989465626594736,0.242272362761537,-0.309287745133776
"admin2","level","women_folate","SierraLeone",14,0.2,0.103296703296703,0.252747252747253,-0.112087912087912,0.0813186813186813,0.112040650341268,0.184240608816733,0.2,0.178021978021978,-0.252747252747253,0.27032967032967,-0.397802197802198
"admin2","level","women_b12","Ghana",75,0.59977240398293,0.600455192034139,0.413627311522048,0.597894736842105,0.601337126600284,0.477699597555736,0.500946307452499,0.59977240398293,0.602475106685633,-0.413627311522048,-0.49126600284495,-0.716073968705548
"admin2","level","women_b12","Malawi",87,0.450590508128599,0.493402347452067,-0.035703871108843,0.208719107676606,0.292921192680615,0.463706339526894,0.496017491965386,0.451210177152438,0.513997229714952,0.035703871108843,0.190876284901946,-0.17004447036524
"admin2","level","women_b12","SierraLeone",14,0.56043956043956,0.384615384615385,0.327472527472527,0.512087912087912,0.340659340659341,0.494387339047539,0.343471643466591,0.56043956043956,0.424175824175824,-0.327472527472527,-0.204395604395604,-0.410989010989011
"admin2","prev","child_vitA","Gambia",30,0.609199699827938,0.376879668047119,0.493596539239017,0.365965304137953,0.100679438509041,0.429383950907524,0.217927442213253,0.631473911887461,0.48179120684747,-0.493596539239017,-0.414015572858732,-0.678309232480534
"admin2","prev","child_vitA","Ghana",75,0.348399611644548,0.243378474724801,0.231146182302555,0.325715046069883,0.223442258902747,0.2681173392676,0.193064420331432,0.346676552991356,0.25680694009637,-0.231146182302555,-0.270611664295875,-0.683584637268848
"admin2","prev","child_vitA","Malawi",87,0.189932252762551,0.0504482836230257,0.11320929208911,-0.0193388852580878,-0.0232247360342456,0.175075244420725,0.0766098388884707,0.195693252459762,0.0775588704334292,-0.11320929208911,0.211525843843406,-0.161296201793395
"admin2","prev","child_vitA","SierraLeone",14,0.0417582417582418,0.402197802197802,-0.0241758241758242,0.169230769230769,0.30989010989011,0.059530570936861,0.401848200131462,-0.00659340659340659,0.358241758241758,0.0241758241758242,0.0241758241758242,-0.459340659340659
"admin2","prev","women_vitA","Gambia",30,0.472376456817052,0.609654264684899,-0.222695110541174,0.530807523755674,0.591585219888619,0.432206581119962,0.586170086894371,0.473549771414214,0.604726343376823,-0.222695110541174,-0.462513904338153,-0.345939933259177
"admin2","prev","women_vitA","Ghana",75,0.0925600127319536,0.208662145605842,-0.0518730877040451,0.167280654921572,0.230632353999169,0.141788829142881,0.226703214330489,0.0818673572327054,0.203928132316431,0.0518730877040451,-0.227482219061166,-0.530156472261735
"admin2","prev","women_vitA","Malawi",87,0.202255453209891,0.0875434051206991,0.00336975416663477,0.138721546526465,0.0693607732632324,0.203661562371801,0.0881910378605914,0.202255453209891,0.0845246670130888,0.00336975416663477,0.164503900269738,0.134814463804039
