"tier","target","outcome","heldout","set","n_cols","addon_imputed_heldout","spearman"
"admin1","level","child_iron","SierraLeone","base",326,128,-0.4
"admin1","level","child_iron","SierraLeone","plus",454,128,-0.4
"admin1","level","child_iron","SierraLeone","addon_only",128,128,NA
"admin1","level","child_iron","SierraLeone","cs",101,128,0.2
"admin1","level","child_iron","SierraLeone","cs_plus",229,128,0.2
"admin1","level","women_iron","Gambia","base",326,128,0.485714285714286
"admin1","level","women_iron","Gambia","plus",454,128,0.485714285714286
"admin1","level","women_iron","Gambia","addon_only",128,128,NA
"admin1","level","women_iron","Gambia","cs",101,128,0.657142857142857
"admin1","level","women_iron","Gambia","cs_plus",229,128,0.657142857142857
"admin1","level","women_iron","Ghana","base",326,0,0.491176470588235
"admin1","level","women_iron","Ghana","plus",454,0,0.491176470588235
"admin1","level","women_iron","Ghana","addon_only",128,0,NA
"admin1","level","women_iron","Ghana","cs",101,0,0.494117647058823
"admin1","level","women_iron","Ghana","cs_plus",229,0,0.494117647058823
"admin1","level","women_iron","Malawi","base",326,128,0.2002442002442
"admin1","level","women_iron","Malawi","plus",454,128,0.2002442002442
"admin1","level","women_iron","Malawi","addon_only",128,128,NA
"admin1","level","women_iron","Malawi","cs",101,128,0.592796092796093
"admin1","level","women_iron","Malawi","cs_plus",229,128,0.592796092796093
"admin1","level","women_iron","SierraLeone","base",326,128,0
"admin1","level","women_iron","SierraLeone","plus",454,128,0
"admin1","level","women_iron","SierraLeone","addon_only",128,128,NA
"admin1","level","women_iron","SierraLeone","cs",101,128,0.8
"admin1","level","women_iron","SierraLeone","cs_plus",229,128,0.8
"admin1","level","women_folate","Ghana","base",329,0,-0.0323529411764706
"admin1","level","women_folate","Ghana","plus",457,0,-0.0323529411764706
"admin1","level","women_folate","Ghana","addon_only",128,0,NA
"admin1","level","women_folate","Ghana","cs",101,0,-0.202941176470588
"admin1","level","women_folate","Ghana","cs_plus",229,0,-0.202941176470588
"admin1","level","women_folate","Malawi","base",329,128,0.231990231990232
"admin1","level","women_folate","Malawi","plus",457,128,0.231990231990232
"admin1","level","women_folate","Malawi","addon_only",128,128,NA
"admin1","level","women_folate","Malawi","cs",101,128,0.224664224664225
"admin1","level","women_folate","Malawi","cs_plus",229,128,0.224664224664225
"admin1","level","women_folate","SierraLeone","base",329,128,-0.8
"admin1","level","women_folate","SierraLeone","plus",457,128,-0.8
"admin1","level","women_folate","SierraLeone","addon_only",128,128,NA
"admin1","level","women_folate","SierraLeone","cs",101,128,-0.8
"admin1","level","women_folate","SierraLeone","cs_plus",229,128,-0.8
"admin1","level","women_b12","Ghana","base",329,0,0.667647058823529
"admin1","level","women_b12","Ghana","plus",457,0,0.667647058823529
"admin1","level","women_b12","Ghana","addon_only",128,0,NA
"admin1","level","women_b12","Ghana","cs",101,0,0.658823529411765
"admin1","level","women_b12","Ghana","cs_plus",229,0,0.658823529411765
"admin1","level","women_b12","Malawi","base",329,128,0.492063492063492
"admin1","level","women_b12","Malawi","plus",457,128,0.492063492063492
"admin1","level","women_b12","Malawi","addon_only",128,128,NA
"admin1","level","women_b12","Malawi","cs",101,128,0.750915750915751
"admin1","level","women_b12","Malawi","cs_plus",229,128,0.750915750915751
"admin1","level","women_b12","SierraLeone","base",329,128,0.8
"admin1","level","women_b12","SierraLeone","plus",457,128,0.8
"admin1","level","women_b12","SierraLeone","addon_only",128,128,NA
"admin1","level","women_b12","SierraLeone","cs",101,128,0.8
"admin1","level","women_b12","SierraLeone","cs_plus",229,128,0.8
"admin1","prev","child_vitA","Gambia","base",326,128,0.828571428571429
"admin1","prev","child_vitA","Gambia","plus",454,128,0.828571428571429
"admin1","prev","child_vitA","Gambia","addon_only",128,128,NA
"admin1","prev","child_vitA","Gambia","cs",101,128,0.771428571428571
"admin1","prev","child_vitA","Gambia","cs_plus",229,128,0.771428571428571
"admin1","prev","child_vitA","Ghana","base",326,0,0.429411764705882
"admin1","prev","child_vitA","Ghana","plus",454,0,0.429411764705882
"admin1","prev","child_vitA","Ghana","addon_only",128,0,NA
"admin1","prev","child_vitA","Ghana","cs",101,0,0.423529411764706
"admin1","prev","child_vitA","Ghana","cs_plus",229,0,0.423529411764706
"admin1","prev","child_vitA","Malawi","base",326,128,0.420636233249367
"admin1","prev","child_vitA","Malawi","plus",454,128,0.420636233249367
"admin1","prev","child_vitA","Malawi","addon_only",128,128,NA
"admin1","prev","child_vitA","Malawi","cs",101,128,0.110788558221996
"admin1","prev","child_vitA","Malawi","cs_plus",229,128,0.110788558221996
"admin1","prev","child_vitA","SierraLeone","base",326,128,0.4
"admin1","prev","child_vitA","SierraLeone","plus",454,128,0.4
"admin1","prev","child_vitA","SierraLeone","addon_only",128,128,NA
"admin1","prev","child_vitA","SierraLeone","cs",101,128,-0.2
"admin1","prev","child_vitA","SierraLeone","cs_plus",229,128,-0.2
"admin1","prev","women_vitA","Gambia","base",326,128,0.657142857142857
"admin1","prev","women_vitA","Gambia","plus",454,128,0.657142857142857
"admin1","prev","women_vitA","Gambia","addon_only",128,128,NA
"admin1","prev","women_vitA","Gambia","cs",101,128,0.657142857142857
"admin1","prev","women_vitA","Gambia","cs_plus",229,128,0.657142857142857
"admin1","prev","women_vitA","Ghana","base",326,0,0.413729272139058
"admin1","prev","women_vitA","Ghana","plus",454,0,0.413729272139058
"admin1","prev","women_vitA","Ghana","addon_only",128,0,NA
"admin1","prev","women_vitA","Ghana","cs",101,0,0.404669507055721
"admin1","prev","women_vitA","Ghana","cs_plus",229,0,0.404669507055721
"admin1","prev","women_vitA","Malawi","base",326,128,0.331956864961941
"admin1","prev","women_vitA","Malawi","plus",454,128,0.331956864961941
"admin1","prev","women_vitA","Malawi","addon_only",128,128,NA
"admin1","prev","women_vitA","Malawi","cs",101,128,0.120955942698683
"admin1","prev","women_vitA","Malawi","cs_plus",229,128,0.120955942698683
"admin1","prev","women_vitA","SierraLeone","base",326,128,0.8
"admin1","prev","women_vitA","SierraLeone","plus",454,128,0.8
"admin1","prev","women_vitA","SierraLeone","addon_only",128,128,NA
"admin1","prev","women_vitA","SierraLeone","cs",101,128,1
"admin1","prev","women_vitA","SierraLeone","cs_plus",229,128,1
"admin1","prev","child_iron","Gambia","base",326,128,0.657142857142857
"admin1","prev","child_iron","Gambia","plus",454,128,0.657142857142857
"admin1","prev","child_iron","Gambia","addon_only",128,128,NA
"admin1","prev","child_iron","Gambia","cs",101,128,0.6
"admin1","prev","child_iron","Gambia","cs_plus",229,128,0.6
"admin1","prev","child_iron","Ghana","base",326,0,0.735294117647059
"admin1","prev","child_iron","Ghana","plus",454,0,0.735294117647059
"admin1","prev","child_iron","Ghana","addon_only",128,0,NA
"admin1","prev","child_iron","Ghana","cs",101,0,0.685294117647059
"admin1","prev","child_iron","Ghana","cs_plus",229,0,0.685294117647059
"admin1","prev","child_iron","Malawi","base",326,128,-0.0726495726495726
"admin1","prev","child_iron","Malawi","plus",454,128,-0.0726495726495726
"admin1","prev","child_iron","Malawi","addon_only",128,128,NA
"admin1","prev","child_iron","Malawi","cs",101,128,0.0317460317460317
"admin1","prev","child_iron","Malawi","cs_plus",229,128,0.0317460317460317
"admin1","prev","child_iron","SierraLeone","base",326,128,0.6
"admin1","prev","child_iron","SierraLeone","plus",454,128,0.6
"admin1","prev","child_iron","SierraLeone","addon_only",128,128,NA
"admin1","prev","child_iron","SierraLeone","cs",101,128,0.4
"admin1","prev","child_iron","SierraLeone","cs_plus",229,128,0.4
"admin1","prev","women_iron","Gambia","base",326,128,0.314285714285714
"admin1","prev","women_iron","Gambia","plus",454,128,0.314285714285714
"admin1","prev","women_iron","Gambia","addon_only",128,128,NA
"admin1","prev","women_iron","Gambia","cs",101,128,0.714285714285714
"admin1","prev","women_iron","Gambia","cs_plus",229,128,0.714285714285714
"admin1","prev","women_iron","Ghana","base",326,0,0.590139968449523
"admin1","prev","women_iron","Ghana","plus",454,0,0.590139968449523
"admin1","prev","women_iron","Ghana","addon_only",128,0,NA
"admin1","prev","women_iron","Ghana","cs",101,0,0.600441663659365
"admin1","prev","women_iron","Ghana","cs_plus",229,0,0.600441663659365
"admin1","prev","women_iron","Malawi","base",326,128,-0.0598290598290598
"admin1","prev","women_iron","Malawi","plus",454,128,-0.0598290598290598
"admin1","prev","women_iron","Malawi","addon_only",128,128,NA
"admin1","prev","women_iron","Malawi","cs",101,128,0.262515262515263
"admin1","prev","women_iron","Malawi","cs_plus",229,128,0.262515262515263
"admin1","prev","women_iron","SierraLeone","base",326,128,0.2
"admin1","prev","women_iron","SierraLeone","plus",454,128,0.2
"admin1","prev","women_iron","SierraLeone","addon_only",128,128,NA
"admin1","prev","women_iron","SierraLeone","cs",101,128,0.4
"admin1","prev","women_iron","SierraLeone","cs_plus",229,128,0.4
"admin1","prev","women_folate","Ghana","base",329,0,0.158823529411765
"admin1","prev","women_folate","Ghana","plus",457,0,0.158823529411765
"admin1","prev","women_folate","Ghana","addon_only",128,0,NA
"admin1","prev","women_folate","Ghana","cs",101,0,-0.0588235294117647
"admin1","prev","women_folate","Ghana","cs_plus",229,0,-0.0588235294117647
"admin1","prev","women_folate","Malawi","base",329,128,0.309102073555986
"admin1","prev","women_folate","Malawi","plus",457,128,0.309102073555986
"admin1","prev","women_folate","Malawi","addon_only",128,128,NA
"admin1","prev","women_folate","Malawi","cs",101,128,0.544288433870323
"admin1","prev","women_folate","Malawi","cs_plus",229,128,0.544288433870323
"admin1","prev","women_folate","SierraLeone","base",329,128,0
