indicator_id,level1,level2
CH_DIAT_C_ABI,Child Health,Treatment of diarrhea
CH_DIAT_C_ADV,Child Health,Treatment of diarrhea
CH_DIAT_C_AMO,Child Health,Treatment of diarrhea
CH_DIAT_C_CFO,Child Health,Treatment of diarrhea
CH_DIAT_C_DKM,Child Health,Treatment of diarrhea
CH_DIAT_C_HOM,Child Health,Treatment of diarrhea
CH_DIAT_C_INC,Child Health,Treatment of diarrhea
CH_DIAT_C_INJ,Child Health,Treatment of diarrhea
CH_DIAT_C_IVS,Child Health,Treatment of diarrhea
CH_DIAT_C_NON,Child Health,Treatment of diarrhea
CH_DIAT_C_NOT,Child Health,Treatment of diarrhea
CH_DIAT_C_NUM,Child Health,Treatment of diarrhea
CH_DIAT_C_ORI,Child Health,Treatment of diarrhea
CH_DIAT_C_ORS,Child Health,Treatment of diarrhea
CH_DIAT_C_ORT,Child Health,Treatment of diarrhea
CH_DIAT_C_ORZ,Child Health,Treatment of diarrhea
CH_DIAT_C_OSI,Child Health,Treatment of diarrhea
CH_DIAT_C_OZC,Child Health,Treatment of diarrhea
CH_DIAT_C_RHF,Child Health,Treatment of diarrhea
CH_DIAT_C_UNW,Child Health,Treatment of diarrhea
CH_DIAT_C_ZNC,Child Health,Treatment of diarrhea
CH_DIFP_C_FAL,Child Health,Feeding practices during diarrhea
CH_DIFP_C_FCF,Child Health,Feeding practices during diarrhea
CH_DIFP_C_FDC,Child Health,Feeding practices during diarrhea
CH_DIFP_C_FDK,Child Health,Feeding practices during diarrhea
CH_DIFP_C_FLS,Child Health,Feeding practices during diarrhea
CH_DIFP_C_FML,Child Health,Feeding practices during diarrhea
CH_DIFP_C_FMR,Child Health,Feeding practices during diarrhea
CH_DIFP_C_FNO,Child Health,Feeding practices during diarrhea
CH_DIFP_C_FNV,Child Health,Feeding practices during diarrhea
CH_DIFP_C_FSM,Child Health,Feeding practices during diarrhea
CH_DIFP_C_FTO,Child Health,Feeding practices during diarrhea
CH_DIFP_C_LDC,Child Health,Feeding practices during diarrhea
CH_DIFP_C_LDK,Child Health,Feeding practices during diarrhea
CH_DIFP_C_LLS,Child Health,Feeding practices during diarrhea
CH_DIFP_C_LML,Child Health,Feeding practices during diarrhea
CH_DIFP_C_LMR,Child Health,Feeding practices during diarrhea
CH_DIFP_C_LNO,Child Health,Feeding practices during diarrhea
CH_DIFP_C_LSM,Child Health,Feeding practices during diarrhea
CH_DIFP_C_LTO,Child Health,Feeding practices during diarrhea
CH_DIFP_C_NUM,Child Health,Feeding practices during diarrhea
CH_DIFP_C_UNW,Child Health,Feeding practices during diarrhea
CH_DISA_C_GFP,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_GFW,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_GHC,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_GHS,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_GMB,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_GOT,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_IDS,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_MKT,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_NGH,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_NGO,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_NUM,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_ONG,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_OSR,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_OTH,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_PDR,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_PFW,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_PHS,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_PMB,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_POT,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_PPH,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_PRV,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_PUB,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_SHP,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_TRP,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISA_C_UNW,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought
CH_DISO_C_GFP,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_GFW,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_GHC,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_GHS,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_GMB,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_GOT,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_IDS,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_MKT,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_NGH,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_NGO,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_NUM,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_ONG,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_OSR,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_OTH,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_PDR,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_PFW,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_PHS,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_PMB,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_POT,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_PPH,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_PRV,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_PUB,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_SHP,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_TRP,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISO_C_UNW,Child Health,Source of advice or treatment among children with diarrhea who received ORS
CH_DISS_C_GFW,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_GHC,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_GHP,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_GHS,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_GMB,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_GOT,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_IDS,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_MKT,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_NGH,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_NGO,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_NUM,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_ONG,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_OSR,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_OTH,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_PDR,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_PFW,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_PHS,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_PMB,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_POT,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_PPH,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_PRV,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_PUB,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_SHP,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_TRP,Child Health,Source of advice or treatment among children with diarrhea
CH_DISS_C_UNW,Child Health,Source of advice or treatment among children with diarrhea
CH_DSTL_C_BUR,Child Health,Disposal of children's stools
