prefix,level1,level2
HC_WIXQ,Household Characteristics,Wealth quintiles
HC_YTHC,Household Characteristics,Youth Characteristics
MA_AAFM,Marriage,Median age at first marriage
MA_ADIF,Marriage,Age difference between partners (women 15-24)
MA_CWIV,Marriage,Number of women's co-wives
MA_MBAG,Marriage,First married by exact age
MA_MBAY,Marriage,First married by exact age (age 20-24)
MA_MREG,Marriage,Marriage registration
MA_MSTA,Marriage,Current marital status
MA_MSTY,Marriage,Current marital status - Youth
MA_WIVE,Marriage,Number of men's wives
ML_AMLD,Malaria,Type of antimalarial drugs used
ML_CMLT,Malaria,Coverage of testing for anemia and malaria in children
ML_FEVA,Malaria,Source of advice or treatment for children with fever for whom advice or treatment was sought
ML_FEVR,Malaria,Prevalence of children with fever
ML_FEVS,Malaria,Source of advice or treatment for children with fever
ML_FEVT,Malaria,Diagnosis and treatment of children with fever
ML_HEMO,Malaria,Hemoglobin <8.0 g/dl in children
ML_IPTP,Malaria,Use of IPTp by women during pregnancy
ML_IRSM,Malaria,Indoor residual spraying against mosquitoes
ML_ITNA,Malaria,Access to an insecticide-treated net
ML_ITNU,Malaria,Use of existing ITNs
ML_NETC,Malaria,Use of mosquito nets by children
ML_NETP,Malaria,Household possession of mosquito nets
ML_NETU,Malaria,Use of mosquito nets by persons in the household
ML_NETW,Malaria,Use of mosquito nets by pregnant women
ML_NSRC,Malaria,Source of mosquito nets
ML_PMAL,Malaria,Prevalence of malaria in children
MM_AMPB,Adult and Maternal Mortality,Adult mortality probabilities
MM_AMRT,Adult and Maternal Mortality,Adult mortality rates
MM_MMRO,Adult and Maternal Mortality,Maternal mortality ratio
MM_MMRT,Adult and Maternal Mortality,Maternal mortality rate
PR_DESC,Fertility Preferences,Desire for children
PR_DESL,Fertility Preferences,Desire to limit childbearing
PR_IDLC,Fertility Preferences,Ideal number of children
PR_MIDL,Fertility Preferences,Mean ideal number of children
PR_PLSA,Fertility Preferences,Fertility planning status (all pregnancy outcomes)
PR_PLST,Fertility Preferences,Fertility planning status
PR_WTFR,Fertility Preferences,Wanted fertility rates
RH_ANCC,Reproductive Health,Components of antenatal care
RH_ANCN,Reproductive Health,Number of antenatal care visits
RH_ANCP,Reproductive Health,Antenatal care
RH_ANCS,Reproductive Health,Antenatal care services (of those receiving ANC)
RH_ANCT,Reproductive Health,Timing of antenatal care visits
RH_CPCN,Reproductive Health,Content of postnatal care for newborns
RH_DELA,Reproductive Health,Assistance during delivery
