"mkt_name","adm1_name","adm2_name","lat","lon","n_months","fpi_cur","fpi_prev","fpi_volatility","fpi_seasonal_range","stp_cur","stp_prev","coverage","interpolated","fpi_rel_national","fpi_inflation_12m","staple_rel_national","staple_inflation_12m","country"
"Balaka Boma","Southern Region","Balaka",-14.99,34.96,12,-0.297441938323177,-0.524541181270095,0.070742771275272,0.356674943938732,5.03007925652069,4.54542103828973,41.79,0,-0.0227295405129512,0.227099242946918,0.174812069456153,0.484658218230962,"Malawi"
"Bangula","Southern Region","Nsanje",-16.57,35.12,12,-0.167224593763937,-0.41139700809365,0.105296143070625,0.635988766719997,5.05375925142202,4.60910916880622,41.79,0,0.107487804046288,0.244172414329712,0.198492064357481,0.444650082615798,"Malawi"
"Bembeke turn off","Central Region","Dedza",-14.4,34.39,12,-0.374048280687707,-0.587620133864374,0.0778853361284428,0.319942934670002,4.91149417850305,4.30430595573188,41.79,0,-0.0993358828774817,0.213571853176667,0.0562269914385123,0.607188222771167,"Malawi"
"Bolero","Northern Region","Rumphi",-10.98,33.74,12,-0.480605444060778,-0.673893349971724,0.0860207700094621,0.430782916092454,4.45860075541787,4.11178748943232,41.79,0,-0.205893046250552,0.193287905910946,-0.396666431646667,0.346813265985551,"Malawi"
"Bowe","Central Region","Dowa",-13.3,33.72,12,-0.265234827104278,-0.528041792871653,0.0645383419545788,0.366625274791901,4.81309670558826,4.31377012126906,41.79,0,0.00947757070594751,0.262806965767375,-0.0421704814762718,0.499326584319198,"Malawi"
"Bvumbwe","Southern Region","Blantyre City",-15.93,35.08,12,-0.272698264841527,-0.551991591286641,0.0686808360891466,0.451985123743057,5.08083941712406,4.6775194469703,41.79,0,0.00201413296869857,0.279293326445114,0.225572230059528,0.403319970153766,"Malawi"
"Chamama","Central Region","Kasungu",-12.93,33.8,12,-0.302928780765996,-0.504862908472054,0.0559672626966469,0.415515443961666,4.81507468387099,4.39677456722087,41.79,0,-0.0282163829557702,0.201934127706058,-0.0401925031935466,0.418300116650121,"Malawi"
"Chatoloma","Central Region","Kasungu",-13.32,33.48,12,-0.122673049943888,-0.462903546354666,0.0944293934900548,0.16799173123913,4.7877635142523,4.21881171096593,41.79,0,0.152039347866337,0.340230496410777,-0.0675036728122294,0.568951803286378,"Malawi"
"Chikhwawa","Southern Region","Nsanje",-16.77,35.28,12,-0.292958493943666,-0.462861296464651,0.0801410683086277,0.492476485097794,4.79838453237508,4.40294538283545,41.79,0,-0.0182460961334397,0.169902802520986,-0.0568826546894563,0.395439149539626,"Malawi"
"Chikuli","Southern Region","Blantyre",-15.67,34.88,12,-0.218702155434718,-0.427242375096816,0.0668631265227976,0.381711022100057,4.9516694372446,4.41760276922411,41.79,0,0.0560102423755078,0.208540219662098,0.0964022501800681,0.534066668020495,"Malawi"
"Chikweo","Southern Region","Machinga",-14.77,35.67,12,-0.277720486855724,-0.472393524240262,0.0535678417001453,0.390427230743624,4.57307885659934,4.17733598296759,41.79,0,-0.00300808904549804,0.194673037384538,-0.282188330465198,0.395742873631743,"Malawi"
"Chilinga","Southern Region","Phalombe",-15.78,35.77,12,-0.225992856254142,-0.455119650017266,0.0590770266697243,0.44393138893596,4.75674646996471,4.17147281824292,41.79,0,0.0487195415560843,0.229126793763124,-0.0985207170998255,0.585273651721784,"Malawi"
"Chilumba","Northern Region","Mzimba",-11.1,33.68,12,-0.52728126658212,-0.652335364775991,0.0626441331038483,0.339215722566964,4.77491413834366,4.61558492022743,41.79,0,-0.252568868771894,0.125054098193871,-0.0803530487208777,0.159329218116227,"Malawi"
"Chimbiya","Central Region","Ntcheu",-15.08,34.58,12,-0.411507313283153,-0.619858167204519,0.0754424949391348,0.309004841920602,4.88189373920602,4.36765583593472,41.79,0,-0.136794915472927,0.208350853921366,0.0266265521414812,0.514237903271296,"Malawi"
"Chinakanaka","Southern Region","Mulanje",-15.99,35.4,12,-0.334433979906724,-0.463184902719428,0.0556008090561727,0.275705881405065,5.01414168600215,4.49021287750232,41.79,0,-0.0597215820964987,0.128750922812703,0.158874498937617,0.523928808499835,"Malawi"
"Chinamwali","Southern Region","Zomba",-15.38,35.36,12,-0.289752743618649,-0.478494360857303,0.091839495430809,0.446287102628419,4.79232435468958,4.41236059861481,41.79,0,-0.015040345808423,0.188741617238654,-0.0629428323749499,0.379963756074772,"Malawi"
"Chintheche","Northern Region","Nkhata Bay",-11.83,34.17,12,-0.220646461771487,-0.394684324232504,0.0601031346173008,0.415221283053529,4.92102250153216,4.67684831112636,41.79,0,0.0540659360387383,0.174037862461017,0.0657553144676255,0.244174190405803,"Malawi"
"Chiponde","Southern Region","Mangochi",-14.37,35.6,12,-0.276120842463128,-0.468835174232015,0.0446642713316847,0.420280193893305,4.62596309585769,4.11259527287184,41.79,0,-0.0014084446529023,0.192714331768886,-0.22930409120684,0.513367822985851,"Malawi"
"Chiradzulu Boma","Southern Region","Chiradzulu",-15.71,35.18,12,-0.229308641588361,-0.439242119306853,0.0895731158965478,0.301668314426521,5.19486411812281,4.56664198585479,41.79,0,0.0454037562218643,0.209933477718491,0.339596931058278,0.628222132268024,"Malawi"
"Chitakale","Southern Region","Mulanje",-16.01,35.49,12,-0.235672272822667,-0.380975112596569,0.0604517511484314,0.435318071257845,5.17247669175512,4.76060543937879,41.79,0,0.0390401249875586,0.145302839773902,0.31720950469059,0.411871252376334,"Malawi"
"Chitipa Boma","Northern Region","Chitipa",-9.72,33.27,12,-0.438482787588454,-0.580879280094958,0.0526246116388618,0.405465108108164,4.88621285372943,4.68487005001176,41.79,0,-0.163770389778228,0.142396492506505,0.0309456666649002,0.201342803717675,"Malawi"
"Dowa Boma","Central Region","Dowa",-13.68,33.98,12,-0.241319623598099,-0.510559569581171,0.0675966736718456,0.346624608085231,4.82168537884582,4.26748203993101,41.79,0,0.0333927742121265,0.269239945983072,-0.0335818082187114,0.554203338914811,"Malawi"
"Dwangwa","Central Region","Nkhotakota",-12.57,34.15,12,-0.110566870275177,-0.311619655837519,0.0722675421115581,0.458108841593586,5.07977307039753,4.55056245336783,41.79,0,0.164145527535049,0.201052785562342,0.224505883332991,0.529210617029698,"Malawi"
