"column","full","median","lo","hi","sign_agree","domain","source","plain","label","rank"
"ihme_underweightprevalence",1.09448775453899,0.899507634147346,-0.152770398441704,1.91077077498871,0.923333333333333,"Child anthropometry","IHME (modelled surfaces)","Modelled child underweight","Modelled child underweight",146
"hces_any_dgl",1.32168859227911,0.898860461242973,-0.290111032532647,2.22720096564387,0.876666666666667,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)",NA,"hces any dgl",147
"lst_night_m09_t0",-0.912937107596567,-0.891889786229884,-1.30263294074123,-0.553417840640828,1,"Climate and weather","GEE",NA,"lst night m09",148
"soilgrids_ph",1.13061709079893,0.880780220877369,0.365665442998514,1.38626836176477,0.993333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"soilgrids ph",149
"aef_A29",-0.946257854257249,-0.878174310490493,-1.42024212970036,-0.214076474742161,0.98,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A29",150
"spam_parea_total",0.906168648876499,0.872749893631231,0.210492529344751,1.50682021541194,0.973333333333333,"Agricultural production, land use","MapSPAM",NA,"parea total",151
"aef_A51",0.952266260958758,0.871360959546157,0.409229778405681,1.27199917290162,0.996666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A51",152
"lst_night_annual_mean_t0",-0.880200611053482,-0.863709513155685,-1.31313070898666,-0.498852944439154,1,"Climate and weather","GEE",NA,"lst night annual mean",153
"mics_heat_vfull_sy",0.87117189641435,0.863221638377667,-0.118910504517285,1.72805144608457,0.94,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vfull sy",154
"tclim_vap_t0",-0.892336656031892,-0.854576386009533,-1.31301477909112,-0.551515263182443,1,"Climate and weather","GEE",NA,"vap",155
"soil_magnesium_mean_0_20",-0.964193525997825,-0.848255707100913,-1.50190395958447,-0.312751648658362,0.996666666666667,"Soil characteristics","SoilGrids / iSDA",NA,"magnesium mean 0 20",156
"mics_c_fg_dairy",-0.84652302367495,-0.848142954404566,-2.06865554437924,0.423516155267484,0.896666666666667,"Infant and young child feeding","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Children 6-23 months fed dairy (MICS)","Children 6-23 months fed dairy (MICS)",157
"ihme_wimp",-0.936302227387996,-0.847356785477741,-1.77795015670737,0.13524663105419,0.926666666666667,"Water and sanitation","IHME (modelled surfaces)",NA,"wimp",158
"clim_pr_ann_sd",-0.912128793050435,-0.843479194129071,-1.35505854294625,-0.371547387314248,0.996666666666667,"Climate and weather","GEE",NA,"clim pr ann sd",159
"aef_A35",-0.930394590830698,-0.84241822973167,-1.26261690146529,-0.433090290438127,0.996666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A35",160
"soil_phosphorus_stdev_20_50",-0.805328538661404,-0.84194657300696,-1.90322369111793,0.0268800218195808,0.943333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"phosphorus stdev 20 50",161
"soil_potassium_stdev_0_20",0.843442157083422,0.831597974717539,0.20114586601738,1.53743126233752,0.983333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"potassium stdev 0 20",162
"hces_any_pulses_nuts",0.744976344583252,0.828812095735759,-0.778945912315902,2.60813898423676,0.796666666666667,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)",NA,"hces any pulses nuts",163
"tclim_vs_t0",0.835282563249477,0.827799111641951,0.451259105602708,1.22108855505753,1,"Climate and weather","GEE",NA,"vs",164
"clim_tmax_sy_anom",0.824441640769692,0.82773919444423,0.397818798183069,1.34507645745258,1,"Climate and weather","GEE",NA,"clim tmax sy anom",165
"lcover_bare_frac_t0",0.589816594390471,0.82245509926493,-0.452181484952687,2.48239380177139,0.853333333333333,"Built environment","GEE",NA,"bare frac",166
"soil_aluminium_stdev_0_20",1.04338427210874,0.821789840593426,0.11797468762282,1.42910434297672,0.963333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"aluminium stdev 0 20",167
"soil_aluminium_mean_0_20",-1.08035591613392,-0.820853604940161,-1.40152682507097,-0.101984055352733,0.98,"Soil characteristics","SoilGrids / iSDA",NA,"aluminium mean 0 20",168
"soil_cec_stdev_20_50",-1.05393279816643,-0.795838404573403,-1.49755191935471,-0.118525323195456,0.973333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"cec stdev 20 50",169
"wdist_coast_km_mean",0.879368384486682,0.785314082912214,-0.239226259262774,2.09883559166835,0.88,"Water and coast proximity","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","Distance to the coast","Distance to the coast",170
"mics_heat_vmsl_sy",-0.855059182517592,-0.784531018856268,-2.02380127875835,0.262862391204772,0.873333333333333,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vmsl sy",171
"map_blooddisorders201201globalsicklehaemoglobinhbsallelefrequency",0.807667677922573,0.783211252489782,0.00114165933361697,1.57668056044613,0.95,"Infection and inflammation burden","Malaria Atlas","Sickle-cell gene frequency","Sickle-cell gene frequency",172
"clim_pr_season_cv",0.752724623771371,0.78015534296138,0.337021414035744,1.26066320616283,1,"Climate and weather","GEE","Rainfall seasonality","Rainfall seasonality",173
"clim_soilm_ann",-0.884931998981368,-0.779659486626312,-1.22769060443578,-0.228678603995815,0.993333333333333,"Climate and weather","GEE",NA,"clim soilm ann",174
"wdist_coast_km_min",0.888755065851381,0.777294794447899,-0.267634258514083,2.0310646487678,0.883333333333333,"Water and coast proximity","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","Distance to the coast (nearest)","Distance to the coast (nearest)",175
"wpop_share_under5",-0.893242201590906,-0.771738554612677,-2.12642987152289,0.453680901721614,0.82,"Household assets and characteristics","WorldPop age-sex / JRC GHS-SMOD (Earth Engine)","Share of people under five","Share of people under five",176
"hces_any_dairy",1.03678877319334,0.76826185890649,-0.188193313447532,1.7644978219979,0.92,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)","Households eating dairy in the last week (budget survey)","Households eating dairy in the last week (budget survey)",177
"map_sy_itn_access",-0.647944879717365,-0.764149002254604,-2.12544210870785,0.214514795382925,0.9,"Infection and inflammation burden","Malaria Atlas Project (latest release, layer at each survey year)",NA,"sy itn access",178
"lst_night_m04_t0",-0.786238926328783,-0.76124867481832,-1.22087307179817,-0.360970239250974,1,"Climate and weather","GEE",NA,"lst night m04",179
"ihme_wsurface",-0.981963579768522,-0.757311266152648,-2.0387855771005,0.346811804917231,0.846666666666667,"Water and sanitation","IHME (modelled surfaces)",NA,"wsurface",180
"mics_c_underweight",0.681583682748192,0.752419813744354,-0.216760341063725,1.57261035217152,0.89,"Child anthropometry","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics c underweight",181
"spam_prod_cereals",0.714807962878878,0.748549713962194,-0.475985768260562,1.63413320776027,0.863333333333333,"Agricultural production, land use","MapSPAM",NA,"prod cereals",182
"ihme_meanyearsofattainment",-0.694180388300389,-0.745873041845281,-1.38728133810267,-0.161950039250317,0.98,"Education, employment, SES","IHME (modelled surfaces)",NA,"meanyearsofattainment",183
"lst_night_m12_t0",-0.749648592751216,-0.737733318305815,-1.19714911964858,-0.335470516817828,1,"Climate and weather","GEE",NA,"lst night m12",184
"lst_night_m10_t0",-0.747056956024599,-0.726380271495998,-1.14127538353802,-0.315335760034352,1,"Climate and weather","GEE",NA,"lst night m10",185
"aef_A24",0.743150610941226,0.714533477026395,-0.000287814084021005,1.3867989176071,0.95,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A24",186
"mics_c_fg_eggs",-0.56704343512957,-0.707087960230125,-1.65783122437101,0.280918356333898,0.883333333333333,"Infant and young child feeding","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Children 6-23 months fed eggs (MICS)","Children 6-23 months fed eggs (MICS)",187
"map_sy_itn_use",-0.717124800360821,-0.706263944132668,-1.97159557752496,0.209450870561922,0.87,"Infection and inflammation burden","Malaria Atlas Project (latest release, layer at each survey year)",NA,"sy itn use",188
"mics_sanitation_improved",0.881461324592057,0.705867747398778,-0.641585209279061,2.06113069444582,0.83,"Water and sanitation","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics sanitation improved",189
"clim_lstn_ann",-0.735459186226005,-0.703428473826586,-1.25173469305773,-0.21500982457971,0.986666666666667,"Climate and weather","GEE",NA,"clim lstn ann",190
"soil_iron_mean_20_50",-0.748059947250818,-0.678092446788985,-1.43003148358134,0.10076552800896,0.92,"Soil characteristics","SoilGrids / iSDA",NA,"iron mean 20 50",191
"lst_night_m11_t0",-0.68284082857038,-0.6758064218027,-1.10272924077047,-0.275160511590666,1,"Climate and weather","GEE",NA,"lst night m11",192
"mics_heat_vfull24_35_sy",0.72115980563804,0.671650737541925,-0.27111869820967,1.78081980714106,0.91,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vfull24 35 sy",193
"aef_A00",0.880665140497021,0.660416374664865,0.0303651103319367,1.15629555897911,0.96,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A00",194
"lst_night_annual_max_t0",-0.652646108665112,-0.656281944149376,-1.10331272193618,-0.238081211841646,1,"Climate and weather","GEE",NA,"lst night annual max",195
"aef_A42",-0.864973372336793,-0.652480540432119,-1.29067781697995,-0.110189950192596,0.96,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A42",196
"lcover_shrub_frac_t0",0.636850576667486,0.649700722875015,-0.631243506644744,2.24512564980344,0.73,"Built environment","GEE",NA,"shrub frac",197
"aef_A49",-0.631838317898162,-0.638680781332445,-1.26891200881003,-0.0669217492660518,0.966666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A49",198
"aef_A15",-0.824287205609773,-0.637602501822898,-1.17269198539321,-0.176065555839561,0.99,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A15",199
"spam_share_pulses",0.743684359000794,0.635734219798206,-0.265882206121679,1.38686895835507,0.883333333333333,"Agricultural production, land use","MapSPAM",NA,"share pulses",200
"lst_night_m02_t0",-0.629188562664317,-0.634032307186877,-1.05464737131495,-0.219232380359758,1,"Climate and weather","GEE",NA,"lst night m02",201
"aef_A12",-0.65289228834604,-0.633839371457078,-1.30656282827696,-0.0846710617857579,0.966666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A12",202
"mics_w_secondary_plus",-0.643707798028064,-0.627061364520973,-1.29113261612588,0.0012113549672021,0.946666666666667,"Education, employment, SES","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Women with secondary schooling or more (MICS)","Women with secondary schooling or more (MICS)",203
"aef_A10",0.608881080097612,0.626964747085129,0.0633577953930178,1.35842671884045,0.97,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A10",204
"glw_chickens_km2",0.58941739100261,0.624580840791767,-0.279235819788522,1.57157642288856,0.86,"Livestock density","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)",NA,"chickens km2",205
"soil_iron_mean_0_20",-0.536971275947696,-0.621815612624458,-1.4758589206866,0.0984210109368382,0.923333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"iron mean 0 20",206
"hces_any_eggs",0.772231987852475,0.621690616206066,-0.242867696857148,1.39877797097616,0.873333333333333,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)",NA,"hces any eggs",207
"mics_open_defecation",-0.476908100563244,-0.6014815687763,-1.61975667202258,0.377997735336921,0.833333333333333,"Water and sanitation","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Households practising open defecation (MICS)","Households practising open defecation (MICS)",208
"soil_magnesium_mean_20_50",-0.663572301936321,-0.600839146530985,-1.16029179826137,-0.0497152747121801,0.96,"Soil characteristics","SoilGrids / iSDA",NA,"magnesium mean 20 50",209
"soil_zinc_mean_0_20",-0.888213421973546,-0.600715860050334,-1.17541945077001,-0.0276021344150882,0.96,"Soil characteristics","SoilGrids / iSDA",NA,"zinc mean 0 20",210
"hces_food_share",0.280590739479256,0.600346779952855,-0.541492898537119,1.76023842537081,0.796666666666667,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)","Food share of household spending (budget survey)","Food share of household spending (budget survey)",211
"mics_heat_vdpt24_35_sy",0.630522626075803,0.596761729445925,-0.283223114740917,1.29864634721135,0.886666666666667,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vdpt24 35 sy",212
"mics_heat_vhib24_35_sy",0.630522626075803,0.596761729445924,-0.283223114740916,1.29864634721135,0.886666666666667,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vhib24 35 sy",213
"spam_prod_pulses",0.608863608512783,0.588705922206336,0.0281489162720884,1.13817871378253,0.956666666666667,"Agricultural production, land use","MapSPAM",NA,"prod pulses",214
"soil_zinc_stdev_20_50",0.732108031861631,0.586705126305833,-0.21599250930712,1.57455932741475,0.886666666666667,"Soil characteristics","SoilGrids / iSDA",NA,"zinc stdev 20 50",215
"mics_c_diarrhoea_2wk",0.665545986061349,0.582304286207243,-0.338663157748797,1.27033649496279,0.876666666666667,"Infection and inflammation burden","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Children with diarrhoea in the last two weeks (MICS)","Children with diarrhoea in the last two weeks (MICS)",216
"aef_A40",0.596652058483488,0.58113235814474,0.127813387812833,1.11389682596877,0.973333333333333,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A40",217
"lst_night_m01_t0",-0.581739050284587,-0.579899311737833,-1.02392631361876,-0.166620188272986,1,"Climate and weather","GEE",NA,"lst night m01",218
"soil_totalcarbon_mean_20_50",0.662862020244334,0.578718972124298,-0.173418529170607,1.45642354570559,0.893333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"totalcarbon mean 20 50",219
"glw_goats_km2",0.403018334505177,0.578484767546655,-0.227448490220932,1.93789075775707,0.84,"Livestock density","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)",NA,"goats km2",220
"soil_calcium_stdev_20_50",-0.967097592574444,-0.577803556846195,-1.47317018426029,0.273798598068086,0.87,"Soil characteristics","SoilGrids / iSDA",NA,"calcium stdev 20 50",221
"clim_tmax_range",0.59994311948481,0.572688240536468,-0.0250453505523215,1.21032819049625,0.943333333333333,"Climate and weather","GEE",NA,"clim tmax range",222
"aef_A37",-0.616040235434825,-0.561278298200851,-0.983790639500924,-0.14789539099854,0.986666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A37",223
"aef_A20",0.499330973029111,0.550297213889481,0.0965950983282714,1.05885874300803,0.98,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A20",224
"soilgrids_organic_carbon",-0.735898691728424,-0.54927734103976,-1.21944163320263,-0.046365467099771,0.96,"Soil characteristics","SoilGrids / iSDA",NA,"soilgrids organic carbon",225
"built_surface_nres",-0.698191449791433,-0.548572961822363,-1.82458291523983,0.337445769402635,0.823333333333333,"Ruralness, population density, built environment","GEE",NA,"built surface nres",226
"soil_cec_stdev_0_20",-0.798551616496993,-0.544232056859787,-1.25610825863933,0.194556869485114,0.873333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"cec stdev 0 20",227
"mics_heat_vrota_sy",0.359359366517739,0.541242961512211,-0.538510579168995,1.80353423650535,0.79,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vrota sy",228
"aef_A52",0.5495114486839,0.537080584915422,0.181761346701143,0.92134574607911,0.993333333333333,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A52",229
"ihme_lf_prevalence",0.485516938906028,0.535249942037305,-0.917118215130177,1.86201706278215,0.75,"Infection and inflammation burden","IHME (modelled surfaces)",NA,"lf prevalence",230
"soil_totalcarbon_mean_0_20",0.534715557816909,0.527001470156624,-0.223230709655604,1.28639194326197,0.886666666666667,"Soil characteristics","SoilGrids / iSDA",NA,"totalcarbon mean 0 20",231
"aef_A31",0.678973965155027,0.526391226750663,-0.107636456320081,1.16924807884136,0.92,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A31",232
"soil_zinc_mean_20_50",-0.791165347443973,-0.518675334746041,-1.155938876895,0.0193519861025645,0.936666666666667,"Soil characteristics","SoilGrids / iSDA",NA,"zinc mean 20 50",233
"koppen_is_11",0.537022285069071,0.513833549913353,0.350719239978973,0.704360476500537,1,"Climate and weather","Koppen-Geiger 1991-2020 / IFPRI-HarvestChoice AEZ16",NA,"koppen is 11",234
"mics_heat_vbcg24_35_sy",-0.424866646468397,-0.513120954006959,-1.41942806689963,0.460376026437258,0.756666666666667,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vbcg24 35 sy",235
"hces_log_cons_pae_rel",0.520949293287639,0.50348060580151,-0.29342464489556,1.34742002557298,0.853333333333333,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)",NA,"hces log cons pae rel",236
"lst_night_m03_t0",-0.526038529254432,-0.50323392334975,-1.02697935756801,-0.0874576845491898,0.97,"Climate and weather","GEE",NA,"lst night m03",237
"ihme_wastingprevalence",0.623491580156361,0.501030661086728,-0.586497076299757,1.52387046592039,0.753333333333333,"Child anthropometry","IHME (modelled surfaces)","Modelled child wasting","Modelled child wasting",238
"wdist_any_km_min",0.537811346532899,0.500070994578409,0.180271866786248,0.854265928324157,1,"Water and coast proximity","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)",NA,"any km min",239
"aef_A33",-0.400662441020943,-0.49701043109192,-0.962989234436555,-0.0549927348127512,0.96,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A33",240
"ntl_ccnl",-0.693835427232424,-0.491166899976854,-1.74059370205813,0.324034369997324,0.813333333333333,"Ruralness, population density, built environment","GEE",NA,"ntl ccnl",241
"rtfp_staple_inflation_12m",0.572612542216406,0.487970001531424,-0.738078281569964,2.11499267009003,0.74,"Market prices (RTFP)","World Bank Real-Time Food Prices (RTFP) market panel, vintage 2026-02-10",NA,"rtfp staple inflation 12m",242
"aef_A63",0.38869995170298,0.483531568737601,0.036029498424328,0.986482349025228,0.956666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A63",243
"lcover_urban_frac_t0",-0.577254697058833,-0.483242114930376,-1.47795378010584,0.653821015891266,0.756666666666667,"Built environment","GEE",NA,"urban frac",244
"aef_A62",-0.48998881490787,-0.482518870995973,-1.13190098419556,0.242831159493096,0.843333333333333,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A62",245
"aef_A21",0.454826097403629,0.478710166214068,-0.0377849710303244,0.986930474855794,0.93,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A21",246
"aef_A53",-0.677542977139574,-0.473068447489902,-0.97443519691138,0.0433202355948565,0.936666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A53",247
"aef_A08",0.422484049251005,0.464769848271261,-0.0158120232894254,0.952051955775626,0.946666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A08",248
"ihme_edu_0y_share",0.525142131631231,0.463179574777419,-0.235351353095252,1.16878795377661,0.836666666666667,"Education, employment, SES","IHME (modelled surfaces)",NA,"edu 0y share",249
"spam_prod_total",0.376204212017623,0.451808083136907,-0.452841008500208,1.2554626204887,0.783333333333333,"Agricultural production, land use","MapSPAM",NA,"prod total",250
"aez16_is_10",-0.44951843249203,-0.449708428645805,-0.636555629195222,-0.280907065245575,1,"Climate and weather","Koppen-Geiger 1991-2020 / IFPRI-HarvestChoice AEZ16",NA,"aez16 is 10",251
"fprice_n_markets_100km",0.467928277465878,0.446655215795817,-0.431597021885448,1.47973203239497,0.776666666666667,"Food prices and supply","WFP / HDX market prices",NA,"n markets 100km",252
"ndvi_modis_peak_t0",0.492485123528393,0.437014635426271,-0.533138150908236,1.2856566920044,0.783333333333333,"Ecosystem productivity/greenness","GEE",NA,"ndvi modis peak",253
"aef_A16",0.433716916009757,0.432291270797835,-0.0990510569992474,1.03079052173571,0.89,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A16",254
"koppen_is_3",-0.466592378558681,-0.43043163172392,-0.649314903707738,-0.243849097480145,1,"Climate and weather","Koppen-Geiger 1991-2020 / IFPRI-HarvestChoice AEZ16",NA,"koppen is 3",255
"soil_sulfur_stdev_20_50",-0.563367572167785,-0.427237028439357,-1.1995913544602,0.369509176785713,0.826666666666667,"Soil characteristics","SoilGrids / iSDA",NA,"sulfur stdev 20 50",256
"ihme_recommendedhomefluids",0.530791392569283,0.425086053765625,-0.423394977817158,1.38229273855334,0.81,"Infection and inflammation burden","IHME (modelled surfaces)",NA,"recommendedhomefluids",257
"ihme_simpother",0.0673654574204147,0.417760272417951,-0.699743190630197,1.62788921086255,0.733333333333333,"Water and sanitation","IHME (modelled surfaces)",NA,"simpother",258
"npp_gpp_t0",-0.012612550554298,-0.413766059577402,-1.39037504755914,0.729291007634314,0.743333333333333,"Ecosystem productivity/greenness","GEE","Vegetation growth (gross)","Vegetation growth (gross)",259
"mics_c_wasted",-0.526166102455121,-0.406934103522438,-1.73990258878733,1.13022408574304,0.71,"Child anthropometry","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics c wasted",260
"spam_share_roots",-0.52527105293663,-0.399297554313306,-1.2608797139067,0.399758577318737,0.78,"Agricultural production, land use","MapSPAM","Root-crop share of cropland","Root-crop share of cropland",261
"aef_A32",0.373609620759844,0.391435239525232,-0.234677053856182,0.985234049484245,0.87,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A32",262
"aef_A60",0.267159715378934,0.386974791166233,-0.199996841068744,0.891624565122303,0.896666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A60",263
"koppen_purity",0.409474687516326,0.384426203793469,0.0815845518559436,0.725196882021319,0.97,"Climate and weather","Koppen-Geiger 1991-2020 / IFPRI-HarvestChoice AEZ16",NA,"koppen purity",264
"clim_tmax_ann",-0.360805389799933,-0.376075972464259,-0.904439819584086,0.059955987925308,0.893333333333333,"Climate and weather","GEE","Mean daily maximum temperature, 30-year normal","Mean daily maximum temperature, 30-year normal",265
"tclim_tmmx_t0",-0.35711781642104,-0.36289659768512,-0.812688663999276,0.0691753203145531,0.906666666666667,"Climate and weather","GEE",NA,"tmmx",266
"aef_A46",-0.168522006192902,-0.359722731976599,-0.936054037365376,0.376459828307723,0.816666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A46",267
"aef_A47",-0.542916490447592,-0.358022472700893,-0.880225914538478,0.324696630359145,0.803333333333333,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A47",268
"aef_A55",0.486033161388361,0.345305979122273,-0.437037868762657,1.04918565712228,0.77,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A55",269
"aef_A59",-0.344553902207932,-0.342993126764335,-1.01345638535907,0.239783295179255,0.796666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A59",270
"tclim_srad_t0",0.321888268479635,0.342924944907316,-0.21213617808214,0.846145576984892,0.856666666666667,"Climate and weather","GEE",NA,"srad",271
"mics_w_no_education",0.438716426102752,0.33683421996843,-0.394905336709991,0.910533695093434,0.79,"Education, employment, SES","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Women with no schooling (MICS)","Women with no schooling (MICS)",272
"aef_A01",-0.229684894708823,-0.335034307216733,-1.10915885328422,0.283273843036635,0.82,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A01",273
"ihme_simp",-0.50882661681242,-0.333508444249055,-1.34215001792085,0.7275356545506,0.7,"Water and sanitation","IHME (modelled surfaces)",NA,"simp",274
"wpop_share_wra",0.309178391023807,0.332992366173471,-0.919111387328653,1.94021022246445,0.713333333333333,"Household assets and characteristics","WorldPop age-sex / JRC GHS-SMOD (Earth Engine)",NA,"share wra",275
"mics_heat_vzdpt_sy",-0.345025787293028,-0.331416923464263,-1.07915787264769,0.457784274935812,0.8,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vzdpt sy",276
"mics_salt_iodised_15ppm",0.539146227583937,0.327887148439351,-0.70919726119117,1.41463745435704,0.69,"Food fortification and supplementation","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics salt iodised 15ppm",277
"tclim_pdsi_t0",-0.502088171018238,-0.32611328814312,-0.871320836606761,0.185227394153177,0.85,"Climate and weather","GEE","Drought index","Drought index",278
"aez16_is_9",0.308532034625836,0.318315111622444,0.0925951528150395,0.524901720428842,0.986666666666667,"Climate and weather","Koppen-Geiger 1991-2020 / IFPRI-HarvestChoice AEZ16",NA,"aez16 is 9",279
"clim_pr_win_anom_z",0.242606803504695,0.316249359191278,-0.23857673383304,0.94861976284331,0.816666666666667,"Climate and weather","GEE",NA,"clim pr win anom z",280
"soil_calcium_stdev_0_20",-0.580349449580552,-0.314071178817031,-1.08661624348927,0.423767558250864,0.753333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"calcium stdev 0 20",281
"koppen_n_classes",-0.315246131282657,-0.309342495459061,-0.571529826608639,-0.0373381488576724,0.96,"Climate and weather","Koppen-Geiger 1991-2020 / IFPRI-HarvestChoice AEZ16",NA,"koppen n classes",282
"aef_A50",0.426062461496724,0.298630399427246,-0.323716811122659,0.877104594494918,0.796666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A50",283
"soilgrids_nitrogen",-0.344342635626704,-0.297543544947356,-0.883417871766705,0.31766488445522,0.783333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"soilgrids nitrogen",284
"wapor_mean_t0",0.171027551650077,0.2933518397215,-0.663690207701245,1.23899054904381,0.673333333333333,"Ecosystem productivity/greenness","GEE",NA,"mean",285
"map_sy_pf_reproductive_number",-0.506163198115647,-0.291027177085418,-1.31238521128559,0.741376801831877,0.666666666666667,"Infection and inflammation burden","Malaria Atlas Project (latest release, layer at each survey year)",NA,"sy pf reproductive number",286
"aef_A04",0.493751975900012,0.290321416683741,-0.20325582757037,0.784648304180703,0.843333333333333,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A04",287
"aez16_purity",-0.300897602457155,-0.284748962413475,-0.591442963324754,-0.0148300542344368,0.96,"Climate and weather","Koppen-Geiger 1991-2020 / IFPRI-HarvestChoice AEZ16",NA,"aez16 purity",288
"wpop_share_over60",0.42754836766312,0.282765024366621,-1.60900379628895,1.30528955333169,0.64,"Household assets and characteristics","WorldPop age-sex / JRC GHS-SMOD (Earth Engine)",NA,"share over60",289
"clim_pr_cv",0.296575470037095,0.275662271812039,-0.26017925905355,0.915648559190576,0.786666666666667,"Climate and weather","GEE",NA,"clim pr cv",290
"soil_calcium_mean_0_20",-0.24140145983437,-0.274671172713781,-0.881465643772465,0.320166557540577,0.763333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"calcium mean 0 20",291
"ihme_sod",-0.050127153277902,0.269393852373365,-0.769814014227964,1.31745782448529,0.64,"Water and sanitation","IHME (modelled surfaces)",NA,"sod",292
"mics_heat_vtet_sy",-0.380342119097034,-0.265566669027474,-1.08320980706133,0.611651775243193,0.686666666666667,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vtet sy",293
"aez16_n_classes",0.268716378297342,0.262952294887414,0.0113042697378354,0.563868687378371,0.953333333333333,"Climate and weather","Koppen-Geiger 1991-2020 / IFPRI-HarvestChoice AEZ16",NA,"aez16 n classes",294
