"name","label"
"cMDD","Minimum Dietary Diversity"
"cSemiFormMilk","NULL"
"cMMF","Minimum Meal Frequency"
"cFormMilkFreq","NULL"
"cMAD","Minimum Adequate Diet"
"cIRF","Child consumed iron rich or iron-fortified foods in the past 24 hours?"
"cVARF","Child consumed vitamin A rich foods in past 24 hours?"
"haz06","Length/height-for-age Z-score"
"waz06","Weight-for-age Z-score"
"whz06","Weight-for-length/height Z-score"
"bmiz06","BMI-for-age Z-score"
"cStuntCat","Stunting Category; Severe, Moderate, Normal"
"cStuntYN","Any Stunting Y/N"
"cWasteCat","Wasting Category; Severe, Moderate, Normal"
"cWasteOWCat","RECODE of whz06 (Weight-for-length/height Z-score)"
"cWasteYN","Any Wasting Y/N"
"cUnderCat","Underweight Category; Severe, Moderate, Normal"
"cUnderYN","Any Underweight Y/N"
"cOverweightYN","Overweight Y/N using WHZ"
"cHb","Hemoglobin concentration (g/L)"
"cAnemiaCat","Anemia Categories"
"cAnemiaYN","Any anemia Hb < 110g/L"
"cAnemia115YN","Any anemia Hb < 115g/L"
"cAnemiaSev","Child has severe anemia"
"cAnemiaMod","Child has moderate anemia"
"cAnemiaMild","Child has mild anemia"
"cCRP","C-reactive protein concentration mg/L"
"cLogCRP","Natural Log of C-reactive protein concentration mg/L"
"cAGP","Alpha-1-acid glycoprotein concentration g/L"
"cLogAGP","Natural Log of Alpha-1-acid glycoprotein concentration g/L"
"cFerr","Unadjusted ferritin concentration (ug/L)"
"cLogFerr","Natural Log of Retinol Binding Protein concentration umol/L"
"cRBP","Unadjusted Retinol Binding Protein, umol/L"
"cLogRBP","NULL"
"lncrpdecile","NULL"
"lnagpdecile","NULL"
"_logcrpcoeffSF","NULL"
"_logagpcoeffSF","NULL"
"r_crpagp_sf","NULL"
"r_crpagp_sf2","Brinda adjusted ferritin concentration (ug/L)"
"cIDAdjBrinda","Iron Deficiency from Adjusted ferritin values using BRINDA approach"
"cIDA_Brinda","Iron Deficiency Anemia with ID from Adjusted ferritin values using Brinda approa"
"cID","Iron Deficiency using Unadjusted ferritin values"
"cFerrAdjThurn","Thurnham adjusted ferritin concentration (ug/L)"
"cIDAdjThurn","Iron Deficiency using Thurnham-adjusted ferritin values"
"cIDA_Thurn","Iron Deficiency Anemia with ID from Adjusted ferritin values using Thurnham appr"
"cSTFR","Soluble transferrin receptor mg/L"
"cIDsTFR","Iron Deficiency using Unadjusted sTFR values"
"_logcrpcoeffRBP","NULL"
"_logagpcoeffRBP","NULL"
"_logcrpcoeffRBPMRDR","NULL"
"_logagpcoeffRBPMRDR","NULL"
"r_crpagp_rbp","NULL"
"r_crpagp_rbp2","NULL"
"cRBPAdjBrinda","Brinda adjusted RBP concentration (umol/L)"
"r_crpagp_rbpMRDR","NULL"
"r_crpagp_rbpMRDR2","NULL"
"cRBPAdjBrindaMRDR","Brinda adjusted RBP concentration MRDR kids only (umol/L)"
"cVADAdjBrinda","Vitamin A Dficiency from Adjusted RBP values using BRINDA approach"
"cVADAdjBrinda05","VAD from Adjusted RBP values using BRINDA approach and cutoff 0.5umol/L"
