"domain","n_vars","n_perm_valid","baseline_auc","perm_auc","auc_drop","auc_drop_lo","auc_drop_hi","baseline_brier","perm_brier","brier_increase"
"Time to obtain drinking water (round trip)",2,10,0.77507229232387,0.841117649437839,-0.0660453571139691,-0.0667236663835638,-0.0654024356952196,0.124754603423739,0.112012787518031,-0.0127418159057077
"Timing of antenatal care visits",4,10,0.77507229232387,0.841276641996279,-0.0662043496724095,-0.0667927990778937,-0.0655127699587479,0.124754603423739,0.111947510945522,-0.0128070924782175
"Timing of last sexual intercourse",1,10,0.77507229232387,0.841307479980587,-0.0662351876567175,-0.0662937671883846,-0.0661153113119792,0.124754603423739,0.111932566269912,-0.0128220371538275
"Treatment of diarrhea",5,10,0.77507229232387,0.841093636253337,-0.0660213439294669,-0.0663896303486209,-0.0656270853554963,0.124754603423739,0.111956704429879,-0.0127978989938603
"Treatment of fever",3,10,0.77507229232387,0.841215471568389,-0.0661431792445198,-0.066810619388498,-0.0652620217584728,0.124754603423739,0.11216914594109,-0.0125854574826488
"Type of antimalarial drugs used",2,10,0.77507229232387,0.841228110086549,-0.066155817762679,-0.0667503336568794,-0.0657610536479819,0.124754603423739,0.111945512037359,-0.0128090913863802
"Unknown",6,10,0.77507229232387,0.83919204481113,-0.0641197524872603,-0.0657966310765995,-0.0624897628002911,0.124754603423739,0.112859560901152,-0.0118950425225866
"Use of IPTp by women during pregnancy",3,10,0.77507229232387,0.841318096335841,-0.0662458040119712,-0.0667482483013832,-0.0655537187575831,0.124754603423739,0.111970271608704,-0.0127843318150348
"Vaccinations",2,10,0.77507229232387,0.841279928011001,-0.066207635687131,-0.0667774432783305,-0.0656907834870177,0.124754603423739,0.111984921229583,-0.0127696821941556
"Vegetation",3,10,0.77507229232387,0.839579541777886,-0.064507249454016,-0.0656826316428051,-0.0635555690366415,0.124754603423739,0.112441620608887,-0.0123129828148524
"Water productivity",1,10,0.77507229232387,0.84120359136132,-0.0661312990374504,-0.0666387987341259,-0.0655303374989888,0.124754603423739,0.112067942122443,-0.0126866613012959
"Water treatment prior to drinking",5,10,0.77507229232387,0.841279169699911,-0.0662068773760414,-0.0666339329046347,-0.0657308475895818,0.124754603423739,0.111973726053522,-0.0127808773702169
