"outcome","column","rank","beta","beta_std","domain","country","Admin2","x","contribution"
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Nanumba South",0.848510286609636,2.98389164312886
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Sagnerigu",1.07859293817238,3.7930058189513
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Savelugu",1.3151439195582,4.62486667870749
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Tamale",0.996039879076829,3.50269774957691
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Tatale Sanguli",0.91977125496962,3.23448967514595
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Tolon",1.09600423059349,3.85423478785277
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Nkwanta South",0.2583279124057,0.908442138155147
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Bole",0.834771893406776,2.93557887978945
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Central Gonja",0.93458929107348,3.2865991366288
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","North East Gonja",0.862410729199674,3.03277427323337
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Sawla-Tuna-Kalba",0.905152475028504,3.18308092266832
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Bawku West",1.43953147093846,5.06229092792412
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Binduri",1.95996398454005,6.89245639869677
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Builsa South",1.84261929059343,6.47979923100125
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Kasena Nankana East",1.38718743658816,4.8782166401632
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Talensi",1.5913160722245,5.59606030052977
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Jirapa",1.46725135154798,5.15977132551575
