"outcome","Admin1","Admin2","n","n_eff","p_low","median_biomarker","mean_log"
"women_iodine","Chiradzulu","TA Kadewere",9,9,0,485.457490560675,6.08861976154655
"women_iodine","Chiradzulu","TA Mpama",8,8,0,307.291088495232,5.66962762068087
"women_iodine","Chiradzulu","TA Nchema",12,12,0,358.268503339037,5.92828321370414
"women_iodine","Chitipa","TA Mwabulambya",14,14,0.0714285714285714,204.076227174073,5.35816296110443
"women_iodine","Chitipa","TA Mwenemisuku",13,12.9631780352935,0.148379858159096,215.877063031596,5.16898308794139
"women_iodine","Chitipa","TA Mwenewenya",7,7,0.142857142857143,158.237843835741,5.30270519809686
"women_iodine","Dedza","TA Kaphuka",6,6,0,252.784427463085,5.58935743436421
"women_iodine","Dedza","TA Pemba",9,9,0,381.064352172118,5.91589296253366
"women_iodine","Dedza","TA Tambala",11,11,0,259.782258830056,5.53174302872471
"women_iodine","Dowa","SC Kayembe",6,6,0.166666666666667,251.868193019557,5.37895095661458
"women_iodine","Dowa","SC Mkukula",11,11,0.181818181818182,162.15277571084,5.10788619659891
"women_iodine","Dowa","SC Mponela",10,10,0.4,140.852407037244,4.94988865332859
"women_iodine","Dowa","TA Dzoole",7,7,0.285714285714286,150.667058081954,4.9048451021964
"women_iodine","Karonga","Karonga Town",12,12,0.333333333333333,114.546238434032,4.73589503476323
"women_iodine","Karonga","TA Kilupula",11,10.9661652852698,0.180896246286027,166.396051008405,5.17827790745768
"women_iodine","Karonga","TA Kyungu",22,20.8878176918936,0.455849059256968,103.674077457158,4.83152299983022
"women_iodine","Karonga","TA Wasambo",6,6,0,330.301000944131,5.68422817034263
"women_iodine","Kasungu","SC Kawamba",9,9,0,360.518753952375,5.79926247353285
"women_iodine","Kasungu","TA Kaluluma",10,10,0.1,172.346611781791,5.35233492394056
"women_iodine","Kasungu","TA Mwase",7,7,0.571428571428571,73.4156517620211,4.39381697434707
"women_iodine","Kasungu","TA Santhe",10,10,0.1,225.790472060934,5.36772310622783
"women_iodine","Lilongwe","TA Chiseka",7,7,0,271.973069472123,5.70562638930731
"women_iodine","Lilongwe","TA Kabudula",9,9,0.111111111111111,215.001393318704,5.31112143552243
"women_iodine","Lilongwe","TA Khongoni",6,6,0,110.906292114143,4.94245377936686
"women_iodine","Machinga","TA Kawinga",8,8,0.25,158.275390844281,5.0605225531541
"women_iodine","Mangochi","SC Chowe",7,7,0,121.860510004418,5.16661125359869
"women_iodine","Mangochi","TA Mponda",5,5,0.2,462.457559197402,5.67135992695269
"women_iodine","Mangochi","TA Nankumba",11,11,0.181818181818182,214.130630299426,5.27837762181656
"women_iodine","Mchinji","SC Dambe",10,10,0.2,316.327645138079,5.37097529112803
"women_iodine","Mchinji","SC Mduwa",6,6,0,165.882634851636,5.40023368210949
"women_iodine","Mchinji","TA Mlonyeni",8,8,0.625,87.196020333332,4.6086564565892
"women_iodine","Mchinji","TA Zulu",8,8,0.125,369.75478827053,5.85824752238685
"women_iodine","Mulanje","TA Mabuka",22,20.7906757162107,0,385.248436166343,5.88879883239022
"women_iodine","Mwanza","Majete Game Reserve - Mwanza",10,10,0.2,166.502745949371,5.08587788125444
"women_iodine","Mwanza","TA Nthache",10,10,0.1,234.250517224673,5.23975506340196
"women_iodine","Mzimba","Mzimba Boma",8,8,0.125,216.509093888779,5.42082139100253
"women_iodine","Mzimba","Mzuzu City",13,12.6232092884574,0.12923803297573,218.852432179641,5.19337380168907
"women_iodine","Mzimba","TA Chindi",17,16.0981240484995,0.0719503813246046,218.806286662383,5.28444858047497
"women_iodine","Mzimba","TA M'Mbelwa",8,8,0,322.567937810605,6.04595213094782
"women_iodine","Mzimba","TA Mabulabo",6,6,0.166666666666667,134.36991845506,4.84112934451618
