"country","outcome","estimand","arm","rep","n_areas","capture_top20","lift","prev_top20","prev_national","concordance"
"Ghana","women_iron","infill","spatial_plus_domain",8,75,0.259975327133523,1.29987663566762,0.191156086602572,0.130714948167088,0.710567823343849
"Ghana","women_iron","infill","null_train_mean",9,75,0.259593569058275,1.29796784529138,0.143927094275679,0.130714948167088,0.417598444336412
"Ghana","women_iron","infill","region_mean_jk",9,75,0.249882980691082,1.24941490345541,0.159318748120051,0.130714948167088,0.663841807909605
"Ghana","women_iron","infill","spatial",9,75,0.300849546814714,1.50424773407357,0.194126222159368,0.130714948167088,0.698738170347003
"Ghana","women_iron","infill","domain_index",9,75,0.33932934045757,1.69664670228785,0.15754444438979,0.130714948167088,0.617902208201893
"Ghana","women_iron","infill","spatial_plus_domain",9,75,0.300849546814714,1.50424773407357,0.194126222159368,0.130714948167088,0.698738170347003
"Ghana","women_iron","infill","null_train_mean",10,75,0.142654844517817,0.713274222589083,0.100502516827226,0.130714948167088,0.437560975609756
"Ghana","women_iron","infill","region_mean_jk",10,75,0.223942850507073,1.11971425253537,0.156481570627336,0.130714948167088,0.645549318364074
"Ghana","women_iron","infill","spatial",10,75,0.197349548521628,0.986747742608139,0.142074615146556,0.130714948167088,0.642350157728707
"Ghana","women_iron","infill","domain_index",10,75,0.284367626930317,1.42183813465159,0.15430422452439,0.130714948167088,0.624605678233438
"Ghana","women_iron","infill","spatial_plus_domain",10,75,0.215014610930703,1.07507305465352,0.133347329876536,0.130714948167088,0.639195583596215
"Ghana","women_iron","infill","oracle_ceiling",1,75,0.35396471701349,1.76982358506745,0.318526089443701,0.130714948167088,1
"Ghana","women_folate","infill","null_train_mean",1,75,0.1908167163136,0.954083581567998,0.426661346587545,0.509976748106036,0.423862581244197
"Ghana","women_folate","infill","region_mean_jk",1,75,0.174099176630878,0.87049588315439,0.606204178803092,0.509976748106036,0.602048558421851
"Ghana","women_folate","infill","spatial",1,75,0.212933054191131,1.06466527095565,0.71425152560303,0.509976748106036,0.646021021021021
"Ghana","women_folate","infill","domain_index",1,75,0.166028849765441,0.830144248827204,0.597276818817739,0.509976748106036,0.580705705705706
"Ghana","women_folate","infill","spatial_plus_domain",1,75,0.212933054191131,1.06466527095565,0.71425152560303,0.509976748106036,0.646021021021021
"Ghana","women_folate","infill","null_train_mean",2,75,0.183337907203757,0.916689536018783,0.435292206364191,0.509976748106036,0.408985641500695
"Ghana","women_folate","infill","region_mean_jk",2,75,0.155633664243126,0.778168321215628,0.533336193936932,0.509976748106036,0.531655225019069
"Ghana","women_folate","infill","spatial",2,75,0.207365236069412,1.03682618034706,0.663505377812638,0.509976748106036,0.602852852852853
"Ghana","women_folate","infill","domain_index",2,75,0.179016580062381,0.895082900311906,0.633179312829598,0.509976748106036,0.58033033033033
"Ghana","women_folate","infill","spatial_plus_domain",2,75,0.207365236069412,1.03682618034706,0.663505377812638,0.509976748106036,0.602852852852853
"Ghana","women_folate","infill","null_train_mean",3,75,0.196357579267086,0.981787896335431,0.408022648776885,0.509976748106036,0.38682745825603
"Ghana","women_folate","infill","region_mean_jk",3,75,0.181658774772732,0.908293873863658,0.548960725204864,0.509976748106036,0.587229190421893
"Ghana","women_folate","infill","spatial",3,75,0.240447808607069,1.20223904303534,0.725336393879505,0.509976748106036,0.637012012012012
"Ghana","women_folate","infill","domain_index",3,75,0.175884257166897,0.879421285834485,0.648151297640264,0.509976748106036,0.591591591591592
"Ghana","women_folate","infill","spatial_plus_domain",3,75,0.240447808607069,1.20223904303534,0.725336393879505,0.509976748106036,0.637012012012012
"Ghana","women_folate","infill","null_train_mean",4,75,0.114923720003636,0.574618600018181,0.43681788623884,0.509976748106036,0.450254511800093
"Ghana","women_folate","infill","region_mean_jk",4,75,0.175314220261536,0.876571101307679,0.594030240800642,0.509976748106036,0.601449275362319
"Ghana","women_folate","infill","spatial",4,75,0.26504357300781,1.32521786503905,0.770355169622692,0.509976748106036,0.650900900900901
"Ghana","women_folate","infill","domain_index",4,75,0.190278398318578,0.951391991592891,0.653150360604038,0.509976748106036,0.568693693693694
"Ghana","women_folate","infill","spatial_plus_domain",4,75,0.26504357300781,1.32521786503905,0.770355169622692,0.509976748106036,0.650900900900901
