"target","outcome","scheme","arm","country","n_areas","spearman","topk"
"level","women_iron","raw_pooled","domain_enet","Ghana",75,NA,0
"level","women_iron","raw_pooled","domain_enet","Malawi",87,0.181490121746738,0.363636363636364
"level","women_iron","raw_pooled","domain_enet","SierraLeone",14,-0.107692307692308,0.5
"level","women_iron","z_pooled","domain_index","Gambia",30,-0.191101223581757,0.125
"level","women_iron","z_pooled","domain_index","Ghana",75,0.0623328591749644,0.473684210526316
"level","women_iron","z_pooled","domain_index","Malawi",87,0.11697164102938,0.318181818181818
"level","women_iron","z_pooled","domain_index","SierraLeone",14,0.0285714285714286,0.5
"level","women_iron","z_pooled","domain_enet","Gambia",30,0.438932146829811,0.25
"level","women_iron","z_pooled","domain_enet","Ghana",75,0.149900426742532,0.526315789473684
"level","women_iron","z_pooled","domain_enet","Malawi",87,0.221367645986732,0.318181818181818
"level","women_iron","z_pooled","domain_enet","SierraLeone",14,0.353846153846154,0.5
"level","women_iron","rank_within","domain_index","Gambia",30,-0.134593993325918,0.125
"level","women_iron","rank_within","domain_index","Ghana",75,0.151834992887624,0.421052631578947
"level","women_iron","rank_within","domain_index","Malawi",87,0.06101917328862,0.363636363636364
"level","women_iron","rank_within","domain_index","SierraLeone",14,-0.010989010989011,0.5
"level","women_iron","rank_within","domain_enet","Gambia",30,0.235150166852058,0.25
"level","women_iron","rank_within","domain_enet","Ghana",75,0.248563300142247,0.578947368421053
"level","women_iron","rank_within","domain_enet","Malawi",87,0.142615003280601,0.454545454545455
"level","women_iron","rank_within","domain_enet","SierraLeone",14,0.221978021978022,0.5
"level","women_folate","raw_pooled","domain_index","Ghana",75,-0.303812233285917,0.210526315789474
"level","women_folate","raw_pooled","domain_index","Malawi",87,-0.131789020922942,0.227272727272727
"level","women_folate","raw_pooled","domain_index","SierraLeone",14,-0.103296703296703,0
"level","women_folate","raw_pooled","domain_enet","Ghana",75,-0.127453769559033,0.157894736842105
"level","women_folate","raw_pooled","domain_enet","Malawi",87,NA,0.136363636363636
"level","women_folate","raw_pooled","domain_enet","SierraLeone",14,-0.138461538461538,0
"level","women_folate","z_pooled","domain_index","Ghana",75,-0.204893314366999,0.157894736842105
"level","women_folate","z_pooled","domain_index","Malawi",87,-0.236950499380331,0.227272727272727
"level","women_folate","z_pooled","domain_index","SierraLeone",14,0.120879120879121,0.25
"level","women_folate","z_pooled","domain_enet","Ghana",75,NA,0.157894736842105
"level","women_folate","z_pooled","domain_enet","Malawi",87,0.0232558139534884,0.454545454545455
"level","women_folate","z_pooled","domain_enet","SierraLeone",14,-0.142857142857143,0.5
"level","women_folate","rank_within","domain_index","Ghana",75,-0.327083926031294,0.157894736842105
"level","women_folate","rank_within","domain_index","Malawi",87,-0.273365167310636,0.181818181818182
"level","women_folate","rank_within","domain_index","SierraLeone",14,0.151648351648352,0.5
"level","women_folate","rank_within","domain_enet","Ghana",75,-0.320654338549075,0.157894736842105
"level","women_folate","rank_within","domain_enet","Malawi",87,-0.182638331996792,0.272727272727273
"level","women_folate","rank_within","domain_enet","SierraLeone",14,0.0241758241758242,0.5
"level","women_b12","raw_pooled","domain_index","Ghana",75,0.315078236130868,0.315789473684211
"level","women_b12","raw_pooled","domain_index","Malawi",87,0.231555733761026,0.363636363636364
"level","women_b12","raw_pooled","domain_index","SierraLeone",14,0.410989010989011,0.5
"level","women_b12","raw_pooled","domain_enet","Ghana",75,0.433143669985775,0.473684210526316
"level","women_b12","raw_pooled","domain_enet","Malawi",87,0.527958008310855,0.545454545454545
"level","women_b12","raw_pooled","domain_enet","SierraLeone",14,0.331868131868132,0.5
"level","women_b12","z_pooled","domain_index","Ghana",75,0.514366998577525,0.473684210526316
"level","women_b12","z_pooled","domain_index","Malawi",87,0.497047459357002,0.5
"level","women_b12","z_pooled","domain_index","SierraLeone",14,0.397802197802198,0.5
"level","women_b12","z_pooled","domain_enet","Ghana",75,0.255903271692745,0.315789473684211
"level","women_b12","z_pooled","domain_enet","Malawi",87,0.185208135889772,0.227272727272727
"level","women_b12","z_pooled","domain_enet","SierraLeone",14,0.213186813186813,0.25
"level","women_b12","rank_within","domain_index","Ghana",75,0.543470839260313,0.526315789473684
"level","women_b12","rank_within","domain_index","Malawi",87,0.374188962601152,0.5
"level","women_b12","rank_within","domain_index","SierraLeone",14,0.463736263736264,0.75
"level","women_b12","rank_within","domain_enet","Ghana",75,0.643385490753912,0.578947368421053
"level","women_b12","rank_within","domain_enet","Malawi",87,0.384705110446891,0.454545454545455
"level","women_b12","rank_within","domain_enet","SierraLeone",14,0.353846153846154,0.5
