"country","outcome","rep","fold","pick_mse","pick_rank","w_mse_index","w_rank_index","w_mse_mean","w_rank_mean"
"Ghana","women_vitA",3,5,"mean","rf",0,0.297831365509639,1,0.360646143002263
"Ghana","women_vitA",3,1,"enet","domain_index",0.185702713688581,0.571453761216368,0,0.252317207122075
"Ghana","women_vitA",3,4,"mean","domain_index",0.0510445999746569,0.4466903876347,0.657261308029639,0.386107011288605
"Ghana","women_vitA",3,3,"mean","domain_index",0.18205278151301,0.513438944040536,0.81794721848699,0.284356917296742
"Ghana","women_vitA",3,2,"mean","domain_index",0.16443998580767,0.577119065353954,0.83556001419233,0.163233157530347
"Ghana","women_vitA",4,1,"mean","domain_index",0,0.586271785020476,1,0.408617232381624
"Ghana","women_vitA",4,2,"mean","domain_index",0.0757450222328481,0.35996094994157,0.924254977767152,0.296671501526205
"Ghana","women_vitA",4,4,"rf","rf",0.025861036980646,0.441957740991303,0.355967503515711,0.0633017111540379
"Ghana","women_vitA",4,3,"enet","domain_index",0,0.546819106790395,0.221918462503713,0.453180893209605
"Ghana","women_vitA",4,5,"enet","domain_index",0.213700061832389,0.688413145465091,0,0.197450384901576
"Ghana","women_vitA",5,2,"mean","rf",0.105000501862876,0.363461659165131,0.746743374440514,0.329982353653313
"Ghana","women_vitA",5,3,"mean","domain_index",0.0803337985418852,0.509210560744177,0.609816986287223,0.183038186981281
"Ghana","women_vitA",5,5,"mean","enet",0,0.229500720888031,0.973895375332011,0.474150099573995
"Ghana","women_vitA",5,1,"mean","rf",0,0.159862223090912,1,0.381645858188524
"Ghana","women_vitA",5,4,"mean","domain_index",0.149468355452931,0.436060431816625,0.850531644547069,0.278239250648764
"Ghana","child_iron",1,1,"rf","enet",0.253960417340598,0.104555255920788,0,0.0753128164813317
"Ghana","child_iron",1,3,"rf","enet",0.257283426229514,0.17336579626011,0.112483781690021,0.0439547915039764
"Ghana","child_iron",1,4,"rf","domain_index",0.240059535915984,0.582405594757991,0.166351063072318,0.126491949377307
"Ghana","child_iron",1,5,"enet","enet",0.187475518517767,0.210450512324646,0,0.175457420506489
"Ghana","child_iron",1,2,"rf","enet",0.332720077928505,0.356653366761696,0.201803708979067,0.036382157426993
"Ghana","child_iron",2,2,"rf","rf",0.25109914737693,0.267388766971324,0.0182224968824893,0.00960749204690841
"Ghana","child_iron",2,3,"rf","enet",0.182586640557207,0.0302111591134046,0,0.0510670746229604
"Ghana","child_iron",2,1,"rf","enet",0.385741745130444,0.116321878649427,0.545897559019904,0.177354471574042
"Ghana","child_iron",2,4,"rf","rf",0.397176333499717,0.440312165267121,0.238160186977179,0
"Ghana","child_iron",2,5,"rf","enet",0.0587380607564578,0.155423326042538,0,0.0280002910920956
"Ghana","child_iron",3,5,"enet","enet",0.269485052373017,0.28668196588095,0.0933432625052541,0.0671589718013827
"Ghana","child_iron",3,1,"rf","enet",0.268825777999732,0.393215707116797,0.033437807000259,0
"Ghana","child_iron",3,4,"enet","rf",0.372127860575306,0.295883694276758,0.0337681697590997,0.129613086677927
"Ghana","child_iron",3,3,"rf","enet",0.490981229625637,0.466736438138903,0.417990192278098,0.075276028131173
"Ghana","child_iron",3,2,"rf","rf",0.0375279132920833,0.423447740103302,0,0.0874431529647607
"Ghana","child_iron",4,1,"rf","enet",0.312345560746755,0.269424865349455,0.225027383779387,0.0321875600129765
"Ghana","child_iron",4,2,"rf","enet",0.288012297070758,0.28220511813481,0.263807080586722,0.138901998939968
"Ghana","child_iron",4,4,"rf","domain_index",0.481476701410015,0.624691874765933,0.24270220307761,0
"Ghana","child_iron",4,3,"enet","domain_index",0.543344089067599,0.624305857358219,0.456655910932401,0.0765042151056288
"Ghana","child_iron",4,5,"rf","enet",0.26215550769123,0.293676383417538,0.103600741583891,0.131769313838594
