"country","outcome","level","model","n_units","n_pred","cv","r_max","pearson","spearman","rmse_pp","mae_pp"
"sierraleone","women_iron","Admin2","LEAKY_top20_xy",14,617,"LOO",0.707,-0.177,-0.046,7.57,5.47
"sierraleone","women_folate","Admin2","null_mean",14,617,"LOO",0.773,-0.958,-0.956,10.98,9.45
"sierraleone","women_folate","Admin2","curated_xy",14,617,"LOO",0.773,-0.094,-0.077,11.5,9.15
"sierraleone","women_folate","Admin2","curated_ridge",14,617,"LOO",0.773,0.16,-0.442,16.21,11.93
"sierraleone","women_folate","Admin2","decorr20_xy",14,617,"LOO",0.773,-0.188,-0.121,11.44,8.91
"sierraleone","women_folate","Admin2","adaptive_top10_xy",14,617,"LOO",0.773,-0.322,-0.152,13.32,11.2
"sierraleone","women_folate","Admin2","adaptive_top20_xy",14,617,"LOO",0.773,-0.288,-0.095,13.03,10.66
"sierraleone","women_folate","Admin2","adaptive_lasso_xy",14,617,"LOO",0.773,-0.079,0.081,11.74,8.85
"sierraleone","women_folate","Admin2","adaptive_top20_ridge",14,617,"LOO",0.773,-0.354,-0.116,13.21,10.35
"sierraleone","women_folate","Admin2","LEAKY_top20_xy",14,617,"LOO",0.773,0.375,0.284,9.53,7.11
"sierraleone","women_b12","Admin2","null_mean",14,617,"LOO",0,-0.957,-0.783,0.77,0.74
"sierraleone","women_b12","Admin2","curated_xy",14,617,"LOO",0,0.243,0.44,0.74,0.72
"sierraleone","women_b12","Admin2","curated_ridge",14,617,"LOO",0,-0.959,-0.783,0.8,0.78
"sierraleone","women_b12","Admin2","decorr20_xy",14,617,"LOO",0,0.225,0.173,0.74,0.72
"sierraleone","women_b12","Admin2","adaptive_top10_xy",14,617,"LOO",0,0.433,0.41,0.69,0.66
"sierraleone","women_b12","Admin2","adaptive_top20_xy",14,617,"LOO",0,0.263,0.308,0.73,0.69
"sierraleone","women_b12","Admin2","adaptive_lasso_xy",14,617,"LOO",0,0.374,0.581,0.71,0.66
"sierraleone","women_b12","Admin2","adaptive_top20_ridge",14,617,"LOO",0,0.349,0.242,0.75,0.72
"sierraleone","women_b12","Admin2","LEAKY_top20_xy",14,617,"LOO",0,0.506,0.418,0.68,0.63
"malawi","child_vitA","Admin1","null_mean",27,621,"LOO",0.388,-0.88,-0.933,7.13,5.85
"malawi","child_vitA","Admin1","curated_xy",27,621,"LOO",0.388,0.039,-0.019,7.51,6.01
"malawi","child_vitA","Admin1","curated_ridge",27,621,"LOO",0.388,-0.24,-0.551,7.39,5.68
"malawi","child_vitA","Admin1","decorr20_xy",27,621,"LOO",0.388,0.159,0.044,7.26,5.57
"malawi","child_vitA","Admin1","adaptive_top10_xy",27,621,"LOO",0.388,-0.141,-0.18,7.99,6.67
"malawi","child_vitA","Admin1","adaptive_top20_xy",27,621,"LOO",0.388,-0.061,-0.177,7.74,6.58
"malawi","child_vitA","Admin1","adaptive_lasso_xy",27,621,"LOO",0.388,0.011,-0.033,7.54,6.13
"malawi","child_vitA","Admin1","adaptive_top20_ridge",27,621,"LOO",0.388,-0.098,-0.148,7.95,6.54
"malawi","child_vitA","Admin1","LEAKY_top20_xy",27,621,"LOO",0.388,0.385,0.378,6.69,5.68
"malawi","women_vitA","Admin1","null_mean",27,621,"LOO",0,-0.945,-0.863,2.78,2.38
"malawi","women_vitA","Admin1","curated_xy",27,621,"LOO",0,-0.183,-0.087,2.84,2.3
"malawi","women_vitA","Admin1","curated_ridge",27,621,"LOO",0,-0.455,-0.559,2.85,2.25
"malawi","women_vitA","Admin1","decorr20_xy",27,621,"LOO",0,0.028,0.16,2.79,2.21
"malawi","women_vitA","Admin1","adaptive_top10_xy",27,621,"LOO",0,0.071,0.113,2.78,2.18
"malawi","women_vitA","Admin1","adaptive_top20_xy",27,621,"LOO",0,0.286,0.259,2.61,2.01
"malawi","women_vitA","Admin1","adaptive_lasso_xy",27,621,"LOO",0,-0.147,-0.062,2.88,2.3
"malawi","women_vitA","Admin1","adaptive_top20_ridge",27,621,"LOO",0,0.083,0.004,2.79,2.14
"malawi","women_vitA","Admin1","LEAKY_top20_xy",27,621,"LOO",0,0.467,0.433,2.44,1.88
"malawi","child_iron","Admin1","null_mean",27,621,"LOO",0.483,-0.804,-0.916,8.21,6.27
"malawi","child_iron","Admin1","curated_xy",27,621,"LOO",0.483,-0.627,-0.596,9.75,6.73
"malawi","child_iron","Admin1","curated_ridge",27,621,"LOO",0.483,-0.822,-0.942,8.69,5.92
"malawi","child_iron","Admin1","decorr20_xy",27,621,"LOO",0.483,-0.405,-0.408,9.08,6.4
"malawi","child_iron","Admin1","adaptive_top10_xy",27,621,"LOO",0.483,0.185,0.19,8.37,5.98
"malawi","child_iron","Admin1","adaptive_top20_xy",27,621,"LOO",0.483,0.214,0.126,8.28,5.74
"malawi","child_iron","Admin1","adaptive_lasso_xy",27,621,"LOO",0.483,0.192,0.211,8.13,5.57
"malawi","child_iron","Admin1","adaptive_top20_ridge",27,621,"LOO",0.483,0.233,-0.032,8.34,5.83
"malawi","child_iron","Admin1","LEAKY_top20_xy",27,621,"LOO",0.483,0.41,0.432,7.81,5.19
"malawi","women_iron","Admin1","null_mean",27,621,"LOO",0,-0.852,-0.95,5.02,3.61
"malawi","women_iron","Admin1","curated_xy",27,621,"LOO",0,0.004,0.114,5.14,3.81
"malawi","women_iron","Admin1","curated_ridge",27,621,"LOO",0,-0.829,-0.843,5.14,3.87
"malawi","women_iron","Admin1","decorr20_xy",27,621,"LOO",0,-0.173,-0.008,5.38,3.88
"malawi","women_iron","Admin1","adaptive_top10_xy",27,621,"LOO",0,-0.155,-0.069,5.67,4.13
"malawi","women_iron","Admin1","adaptive_top20_xy",27,621,"LOO",0,-0.12,0,5.64,4.23
"malawi","women_iron","Admin1","adaptive_lasso_xy",27,621,"LOO",0,-0.066,0.079,5.19,3.82
"malawi","women_iron","Admin1","adaptive_top20_ridge",27,621,"LOO",0,-0.111,0.021,5.42,3.91
"malawi","women_iron","Admin1","LEAKY_top20_xy",27,621,"LOO",0,0.355,0.324,4.59,3.51
"malawi","women_folate","Admin1","null_mean",27,621,"LOO",0.838,-0.905,-0.907,16.31,13.13
"malawi","women_folate","Admin1","curated_xy",27,621,"LOO",0.838,0.262,0.293,16.16,12.1
"malawi","women_folate","Admin1","curated_ridge",27,621,"LOO",0.838,-0.184,-0.122,17.41,13.38
"malawi","women_folate","Admin1","decorr20_xy",27,621,"LOO",0.838,0.12,0.122,16.79,12.6
"malawi","women_folate","Admin1","adaptive_top10_xy",27,621,"LOO",0.838,-0.146,-0.156,19.23,15.6
"malawi","women_folate","Admin1","adaptive_top20_xy",27,621,"LOO",0.838,0.041,-0.109,18.14,14.84
"malawi","women_folate","Admin1","adaptive_lasso_xy",27,621,"LOO",0.838,0.277,0.031,16.07,13.44
"malawi","women_folate","Admin1","adaptive_top20_ridge",27,621,"LOO",0.838,0.18,0.015,17.05,13.27
"malawi","women_folate","Admin1","LEAKY_top20_xy",27,621,"LOO",0.838,0.528,0.39,13.89,10.89
"malawi","women_b12","Admin1","null_mean",27,621,"LOO",0.354,-0.938,-0.833,4.21,3.4
"malawi","women_b12","Admin1","curated_xy",27,621,"LOO",0.354,0.244,0.328,4.11,2.71
"malawi","women_b12","Admin1","curated_ridge",27,621,"LOO",0.354,0.128,0.18,4.25,2.95
"malawi","women_b12","Admin1","decorr20_xy",27,621,"LOO",0.354,0.387,0.46,3.96,2.49
"malawi","women_b12","Admin1","adaptive_top10_xy",27,621,"LOO",0.354,0.29,0.327,4,2.57
"malawi","women_b12","Admin1","adaptive_top20_xy",27,621,"LOO",0.354,0.291,0.377,4.01,2.62
