country,year,mn_group,Population,Indicator,Mean,Geomean,Median,Prevalenceofdeficiency,Prevalenceofmarginaldeficienc,Prevalenceofinsufficiency,Prevalenceofinadequacy,Prevalenceoflowvalues,Prevalenceofmarginalvalues,Prevalenceofelevated,Prevalenceofexcess,PrevalenceofseverevitaminAd,Prevalenceofmicrocyticanaemia,Prevalenceofmacrocyticanaemia,PrevalenceofmildlyelevatedHc,Prevalencep97byage,Prevalencep97byBSA,PrevalenceofMyexoedematous,Prevalenceofneurological
Sierra Leone,2019,Haemoglobin,Preschool-age children,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2019,Haemoglobin,Women of reproductive age,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2013,Iodine,Adolescents,Iodine,NA,NA,252.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2013,Iodine,Lactating women (LW),Iodine,NA,NA,190.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2013,Iodine,"Non-pregnant, non-lactating women (NPNLW)",Iodine,NA,NA,203.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2013,Iodine,Pregnant women,Iodine,NA,NA,175.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2013,Iron,Non-pregnant women (NPW),Ferritin,NA,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2013,Iron,Preschool-age children,Ferritin,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2013,Vitamin B12,Non-pregnant women (NPW),Vitamin B12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2022,Haemoglobin,Adolescents,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2015,Haemoglobin,Lactating women (LW),Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2022,Haemoglobin,Non-pregnant women (NPW),Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2009,Haemoglobin,"Non-pregnant, non-lactating women (NPNLW)",Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2022,Haemoglobin,Pregnant women,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2022,Haemoglobin,Preschool-age children,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2022,Haemoglobin,Women of reproductive age,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2022,Iodine,Adolescents,Iodine,NA,NA,193.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2022,Iodine,Lactating women (LW),Iodine,NA,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2022,Iodine,Non-pregnant women (NPW),Iodine,NA,NA,219.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2022,Iodine,"Non-pregnant, non-lactating women (NPNLW)",Iodine,NA,NA,196.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2022,Iodine,Pregnant women,Iodine,NA,NA,228.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2004,Iodine,School-age children,Iodine,NA,NA,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2015,Iodine,Women of reproductive age,Iodine,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2009,Iron,Adolescents,Serum transferrin receptor,NA,NA,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2009,Iron,Lactating women (LW),Serum transferrin receptor,NA,NA,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2009,Iron,"Non-pregnant, non-lactating women (NPNLW)",Serum transferrin receptor,NA,NA,NA,NA,NA,NA,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2009,Iron,Pregnant women,Serum transferrin receptor,NA,NA,NA,NA,NA,NA,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2009,Iron,Preschool-age children,Serum transferrin receptor,NA,NA,NA,NA,NA,NA,42.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2009,Iron,Women of reproductive age,Serum transferrin receptor,NA,NA,NA,NA,NA,NA,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,1997,Vitamin A,Preschool-age children,Retinol (plasma or serum),NA,NA,NA,24.2,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA
