"country","outcome","Admin1","Admin2","rank","variable","shap","direction"
"Gambia","child_iron","North Bank","Lower Baddibu",2,"wfp_price_beans_dry",0.00607888150958527,"increases risk"
"Gambia","child_iron","North Bank","Lower Baddibu",3,"dhs2019_w_iron_supplement_adm2.y",0.00504668770114972,"increases risk"
"Gambia","child_iron","North Bank","Lower Baddibu",4,"gee_trmm_Dec_10km",0.00499458184580987,"increases risk"
"Gambia","child_iron","North Bank","Lower Baddibu",5,"dhs2019_hh_radio_adm2.y",0.00483980309568266,"increases risk"
"Gambia","child_iron","North Bank","Lower Nuimi",1,"dhs2019_c_min_diet_diversity_adm2.y",-0.00701296941351081,"decreases risk"
"Gambia","child_iron","North Bank","Lower Nuimi",2,"dhs2019_w_iron_supplement_adm2.y",0.00276043534071839,"increases risk"
"Gambia","child_iron","North Bank","Lower Nuimi",3,"missing_wfp_milk_powder",0.00241495626814456,"increases risk"
"Gambia","child_iron","North Bank","Lower Nuimi",4,"gee_a2_LST_Night_2015_Annual_Mean_FilledProportion",-0.00200271389464785,"decreases risk"
"Gambia","child_iron","North Bank","Lower Nuimi",5,"dhs2019_w_modern_fp_adm2.y",-0.00186136183885562,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Lower Saloum",1,"wfp_price_beans_dry",0.0164097708081126,"increases risk"
"Gambia","child_iron","Maccarthy Island","Lower Saloum",2,"dhs2019_hh_open_defecation_adm2.y",0.00601658511142873,"increases risk"
"Gambia","child_iron","Maccarthy Island","Lower Saloum",3,"missing_wfp_milk_powder",0.00340445748863655,"increases risk"
"Gambia","child_iron","Maccarthy Island","Lower Saloum",4,"wfp_price_groundnuts_unshelled",-0.00311780982617423,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Lower Saloum",5,"dhs2019_w_iron_supplement_adm2.y",-0.00304389393453486,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Niamina Dankunku",1,"dhs2019_c_min_diet_diversity_adm2.y",0.00650007154189885,"increases risk"
"Gambia","child_iron","Maccarthy Island","Niamina Dankunku",2,"dhs2019_w_iron_supplement_adm2.y",0.00536964163127854,"increases risk"
"Gambia","child_iron","Maccarthy Island","Niamina Dankunku",3,"gee_temp_Jan_25km",-0.00475680694735303,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Niamina Dankunku",4,"gee_a2_LST_Night_2015_Annual_Mean_FilledProportion",-0.00399802202425158,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Niamina Dankunku",5,"missing_wfp_milk_powder",0.00278530799878131,"increases risk"
"Gambia","child_iron","Maccarthy Island","Niamina East",1,"gee_temp_Jan_25km",-0.00448437068706582,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Niamina East",2,"dhs2019_w_iron_supplement_adm2.y",0.00415400198671055,"increases risk"
