country,outcome,arm,n_admin2,pearson_r,mae_pp,bias_pp,abs_bias_pp,r_max_emp,r_share_emp
SierraLeone,child_iron,3 ADMIN-1 anchor (shrunk),14,0.5685,2.94,-0.3,0.3,0.2505,2.269
SierraLeone,child_iron,4 national anchor,14,0.3858,6.87,5.71,5.71,0.2505,1.54
SierraLeone,child_iron,"5 ADMIN-1 anchor (hard, JACKKNIFE)",14,0.2765,3.63,-0.73,0.73,0.2505,1.104
SierraLeone,child_iron,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",14,0.6852,2.47,-0.32,0.32,0.2505,2.735
SierraLeone,women_iron,1 no anchor (LORO),14,0.3423,5.22,0.04,0.04,0.8214,0.417
SierraLeone,women_iron,2a flat REGIONAL mean (no covariates),14,0.2987,4.65,0.47,0.47,0.8214,0.364
SierraLeone,women_iron,2a flat NATIONAL mean (no covariates),14,NA,8.6,-7.83,7.83,0.8214,NA
SierraLeone,women_iron,3 ADMIN-1 anchor (hard),14,0.5412,4.28,0.79,0.79,0.8214,0.659
SierraLeone,women_iron,3 ADMIN-1 anchor (shrunk),14,0.4934,8.41,-7.65,7.65,0.8214,0.601
SierraLeone,women_iron,4 national anchor,14,0.3449,5.9,-2.2,2.2,0.8214,0.42
SierraLeone,women_iron,"5 ADMIN-1 anchor (hard, JACKKNIFE)",14,-0.2037,8.74,-7.82,7.82,0.8214,-0.248
SierraLeone,women_iron,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",14,0.2442,8.63,-7.83,7.83,0.8214,0.297
SierraLeone,women_folate,1 no anchor (LORO),14,-0.5132,13.29,3.16,3.16,0.8475,-0.606
SierraLeone,women_folate,2a flat REGIONAL mean (no covariates),14,0.6324,6.09,-0.57,0.57,0.8475,0.746
SierraLeone,women_folate,2a flat NATIONAL mean (no covariates),14,NA,8.85,-1.62,1.62,0.8475,NA
SierraLeone,women_folate,3 ADMIN-1 anchor (hard),14,0.5767,6.89,-1.28,1.28,0.8475,0.68
SierraLeone,women_folate,3 ADMIN-1 anchor (shrunk),14,0.5504,6.98,-1.28,1.28,0.8475,0.649
SierraLeone,women_folate,4 national anchor,14,-0.4929,18.31,-15.93,15.93,0.8475,-0.582
SierraLeone,women_folate,"5 ADMIN-1 anchor (hard, JACKKNIFE)",14,0.234,9.56,-1.15,1.15,0.8475,0.276
SierraLeone,women_folate,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",14,0.5665,6.75,-0.6,0.6,0.8475,0.668
SierraLeone,women_b12,1 no anchor (LORO),14,0.3505,1.13,0.79,0.79,0,NA
SierraLeone,women_b12,2a flat REGIONAL mean (no covariates),14,0.2337,0.61,0.1,0.1,0,NA
SierraLeone,women_b12,2a flat NATIONAL mean (no covariates),14,NA,0.64,0.1,0.1,0,NA
SierraLeone,women_b12,3 ADMIN-1 anchor (hard),14,0.3601,0.56,0.06,0.06,0,NA
SierraLeone,women_b12,3 ADMIN-1 anchor (shrunk),14,0.3083,0.59,0.07,0.07,0,NA
SierraLeone,women_b12,4 national anchor,14,0.3505,0.4,-0.33,0.33,0,NA
SierraLeone,women_b12,"5 ADMIN-1 anchor (hard, JACKKNIFE)",10,NA,0.58,0.58,0.58,0,NA
SierraLeone,women_b12,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",14,0.4205,0.86,0.57,0.57,0,NA
Malawi,child_vitA,1 no anchor (LORO),87,0.1223,8.24,-5.13,5.13,0.6341,0.193
Malawi,child_vitA,2a flat REGIONAL mean (no covariates),87,0.5467,6.62,-0.01,0.01,0.6341,0.862
Malawi,child_vitA,2a flat NATIONAL mean (no covariates),87,NA,8.69,1.49,1.49,0.6341,NA
Malawi,child_vitA,3 ADMIN-1 anchor (hard),87,0.4541,7.35,0.29,0.29,0.6341,0.716
Malawi,child_vitA,3 ADMIN-1 anchor (shrunk),87,0.3357,7.91,0.57,0.57,0.6341,0.529
Malawi,child_vitA,4 national anchor,87,0.1241,8.88,1.85,1.85,0.6341,0.196
Malawi,child_vitA,"5 ADMIN-1 anchor (hard, JACKKNIFE)",71,0.072,9.99,1.91,1.91,0.6341,0.114
Malawi,child_vitA,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",87,0.3985,7.68,0.61,0.61,0.6341,0.628
Malawi,women_vitA,1 no anchor (LORO),87,-0.1282,2.19,-0.83,0.83,0,NA
Malawi,women_vitA,2a flat REGIONAL mean (no covariates),87,0.489,1.98,-0.07,0.07,0,NA
Malawi,women_vitA,2a flat NATIONAL mean (no covariates),87,NA,3.23,0.57,0.57,0,NA
Malawi,women_vitA,3 ADMIN-1 anchor (hard),87,0.3409,2.66,0.32,0.32,0,NA
Malawi,women_vitA,3 ADMIN-1 anchor (shrunk),87,-0.1227,3.24,0.55,0.55,0,NA
Malawi,women_vitA,4 national anchor,87,-0.1282,3.13,0.43,0.43,0,NA
Malawi,women_vitA,"5 ADMIN-1 anchor (hard, JACKKNIFE)",21,-0.3261,8.41,6.51,6.51,0,NA
Malawi,women_vitA,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",87,0.1429,2.99,0.36,0.36,0,NA
Malawi,child_iron,1 no anchor (LORO),87,0.255,12.17,-3.37,3.37,0.4487,0.568
Malawi,child_iron,2a flat REGIONAL mean (no covariates),87,0.609,8.4,0.72,0.72,0.4487,1.357
Malawi,child_iron,2a flat NATIONAL mean (no covariates),87,NA,12.95,-10.02,10.02,0.4487,NA
