bin,n,mean_pred,mean_obs,n_events,bin_idx,country,outcome
"(0.604,0.607]",208,0.6069114470842333,0.5192307692307693,108,10,Malawi,child_zinc
"[0.604,0.608]",314,0.6048142371992012,0.678343949044586,213,1,Malawi,women_zinc
"(0.608,0.612]",0,NA,NA,NA,2,Malawi,women_zinc
"(0.612,0.616]",181,0.6123680241327301,0.6408839779005525,116,3,Malawi,women_zinc
"(0.616,0.62]",0,NA,NA,NA,4,Malawi,women_zinc
"(0.62,0.624]",0,NA,NA,NA,5,Malawi,women_zinc
"(0.624,0.628]",0,NA,NA,NA,6,Malawi,women_zinc
"(0.628,0.632]",158,0.6282798833819242,0.5759493670886076,91,7,Malawi,women_zinc
"(0.632,0.635]",0,NA,NA,NA,8,Malawi,women_zinc
"(0.635,0.639]",0,NA,NA,NA,9,Malawi,women_zinc
"(0.639,0.643]",191,0.6431852986217458,0.5340314136125655,102,10,Malawi,women_zinc
