"column","rule_id","country","survey_year","year_used","has_data","year_offset"
"aef_A39","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A40","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A40","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A40","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A40","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A41","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A41","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A41","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A41","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A42","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A42","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A42","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A42","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A43","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A43","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A43","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A43","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A44","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A44","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A44","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A44","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A45","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A45","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A45","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A45","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A46","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A46","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A46","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A46","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A47","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A47","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A47","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A47","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A48","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A48","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A48","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A48","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A49","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A49","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A49","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A49","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A50","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A50","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A50","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A50","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A51","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A51","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A51","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A51","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A52","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A52","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A52","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A52","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A53","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A53","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A53","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A53","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A54","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A54","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A54","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A54","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A55","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A55","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A55","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A55","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A56","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A56","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A56","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A56","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A57","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A57","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A57","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A57","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A58","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A58","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A58","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A58","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A59","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A59","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A59","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A59","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A60","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A60","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A60","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A60","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A61","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A61","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A61","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A61","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A62","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A62","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A62","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A62","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A63","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A63","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A63","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A63","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aod_t0","gee_t0","Gambia",2018,2018,TRUE,0
"aod_t0","gee_t0","Ghana",2017,2017,TRUE,0
"aod_t0","gee_t0","Malawi",2016,2016,TRUE,0
"aod_t0","gee_t0","SierraLeone",2013,2013,TRUE,0
"built_surface","ghsl_epoch","Gambia",2018,2020,TRUE,2
"built_surface","ghsl_epoch","Ghana",2017,2015,TRUE,-2
"built_surface","ghsl_epoch","Malawi",2016,2015,TRUE,-1
"built_surface","ghsl_epoch","SierraLeone",2013,2015,TRUE,2
"built_surface_nres","ghsl_epoch","Gambia",2018,2020,TRUE,2
"built_surface_nres","ghsl_epoch","Ghana",2017,2015,TRUE,-2
"built_surface_nres","ghsl_epoch","Malawi",2016,2015,TRUE,-1
"built_surface_nres","ghsl_epoch","SierraLeone",2013,2015,TRUE,2
"dhs_c_anemia_any","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_anemia_any","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_anemia_any","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_anemia_any","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_anemia_moderate","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_anemia_moderate","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_anemia_moderate","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_anemia_moderate","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_ari_2wk","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_ari_2wk","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_ari_2wk","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_ari_2wk","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_bcg","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_bcg","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_bcg","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_bcg","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_bottle_fed","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_bottle_fed","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_bottle_fed","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_bottle_fed","dhs_round","SierraLeone",2013,2013,TRUE,0
