country,outcome,predictor_set,n_predictors,rank,column,r,abs_r,n_pairs,min_n,eligible,threshold,flagged,n_flagged_in_cell,max_abs_r_in_cell,n_under_measured_cols
Gambia,child_iron,proxy,1378,20,gee_a2_SoilZinc_mean_20_50,-0.144,0.144,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,21,gee_terraclimate_2018_tmmx,0.144,0.144,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,22,gee_temp_Mar_10km,0.1438,0.1438,978,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,23,gee_terraclimate_2017_tmmx,0.1437,0.1437,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,24,gee_trmm_2015,-0.1436,0.1436,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,25,ihme_adm1_global_anemia_2000_2019_all_anemia_prev_15_49_years_females_all_anemia_percent,0.1436,0.1436,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,women_iron,questionnaire,1737,1,gw_WQ14,-0.239,0.239,329,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,2,gw_hWealthscoreNATL,-0.2221,0.2221,1395,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,3,wfp_meat_chicken,-0.2219,0.2219,990,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,4,gee_a2_TerraClimate_vs_yoy,-0.2204,0.2204,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,5,gee_trmm_10km_peak_month,0.2191,0.2191,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,6,gee_trmm_50km_peak_month,0.2191,0.2191,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,7,map2_explorer_2015_nature_africa_incidence,0.219,0.219,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,8,dhs2019_w_edu_years_mean_adm2.x,-0.2178,0.2178,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,9,dhs2019_w_edu_years_mean_adm2.y,-0.2178,0.2178,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,10,gee_a2_SoilZinc_mean_20_50,-0.2176,0.2176,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,11,gee_ndvi_May_10km,0.2175,0.2175,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,12,gee_a2_TerraClimate_vpd_yoy,0.2172,0.2172,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,13,gee_a2_TerraClimate_srad_yoy,-0.217,0.217,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,14,wfp_price_cassava,-0.2167,0.2167,1252,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,15,gee_trmm_May_50km,-0.2167,0.2167,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,16,gee_temp_Mar_50km,0.2166,0.2166,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,17,gee_soilzinc_mean_20_50,-0.2163,0.2163,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,18,gee_a2_SoilZinc_mean_0_20,-0.2161,0.2161,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,19,gee_ndvi_May_25km,0.2158,0.2158,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,20,gee_trmm_Feb_50km,-0.2155,0.2155,1402,100,TRUE,0.55,FALSE,0,0.239,14
Gambia,women_iron,questionnaire,1737,21,wfp_bananas,-0.2151,0.2151,990,100,TRUE,0.55,FALSE,0,0.239,14
