"variable","importance","importance_norm","country","outcome"
"gee_soilcec_2017_mean_0_20",0.149088128000041,0.0568902258308336,"Ghana","child_iron"
"chirps_dry_months",0.148834533971812,0.0567934574178896,"Ghana","child_iron"
"lsms_hh_se.totfood",0.147573947756594,0.0563124329699676,"Ghana","child_iron"
"dhs2014_w_high_parity_adm2.y",0.147269197606758,0.0561961439999554,"Ghana","child_iron"
"ntl_sd",0.147243857422045,0.0561864744920593,"Ghana","child_iron"
"dhs2014_c_wasted_adm2.y",0.145885029844784,0.0556679623290015,"Ghana","child_iron"
"dhs2014_CH_VACC_C_BAS_adm2.x",0.145231799482485,0.0554186975261678,"Ghana","child_iron"
"dhs2014_hh_soap_available_adm2.x",0.139462629348055,0.0532172520039321,"Ghana","child_iron"
"dhs2014_c_early_initiation_adm2.x",0.138272646412251,0.0527631689132065,"Ghana","child_iron"
"dhs2014_c_fully_vaccinated_adm2.x",0.134845186318548,0.0514552916102138,"Ghana","child_iron"
"ihme_5_to_14_years_5_to_14_both_deaths_rate",0.134144060641281,0.0511877505346729,"Ghana","child_iron"
"dhs2014_hh_crowding_adm2.y",0.132955998496423,0.050734400394533,"Ghana","child_iron"
"lsms_hh_se.trserve",0.132857431049337,0.0506967882492903,"Ghana","child_iron"
"lsms_hh_se.fd_p_veg",0.13268798879212,0.0506321311340145,"Ghana","child_iron"
"lsms_hh_fdalc_b",0.131333546601947,0.0501152923816108,"Ghana","child_iron"
"soil_clay",0.130028262655089,0.0496172118200913,"Ghana","child_iron"
"gee_soilmagnesium_2017_annual_sd",0.129087887961466,0.0492583762145776,"Ghana","child_iron"
"gee_lst_night_2014_annual_mean_annual_range",0.129000008872082,0.0492248426173157,"Ghana","child_iron"
"dhs2014_w_mean_parity_adm2.x",0.128011932278599,0.0488478045439596,"Ghana","child_iron"
"gee_soilcec_2017_mean_20_50",0.126832175613415,0.0483976236743755,"Ghana","child_iron"
"dhs2014_c_anemia_any_adm2.x",0.126210926710545,0.0481605626095172,"Ghana","child_iron"
"dhs2014_hh_water_onpremise_adm2.x",0.125039493299616,0.0477135577930535,"Ghana","child_iron"
"dhs2014_w_mean_age_first_birth_adm2.x",0.124878894694603,0.0476522753084595,"Ghana","child_iron"
"dhs2014_c_anemia_moderate_adm2.x",0.123569676203551,0.0471526933724798,"Ghana","child_iron"
"dhs2014_CN_NUTS_C_HA2_adm2.x",0.123278653296721,0.0470416425523135,"Ghana","child_iron"
"lsms_hh_rcserve_cult",0.121779246825423,0.0464694871841521,"Ghana","child_iron"
"wfp_gari",0.121020952206937,0.0461801311323278,"Ghana","child_iron"
"worldpop_pop_total",0.119045798819888,0.0454264364971673,"Ghana","child_iron"
"wfp_meat_chicken",0.118965615726998,0.0453958395990538,"Ghana","child_iron"
"ihme_15_49_years_24_females_severe_anemia_percent",0.115971005005045,0.044253132379286,"Ghana","child_iron"
"dhs2014_CN_ANMC_C_ANY_adm2.x",0.114603157264305,0.043731178230979,"Ghana","child_iron"
"dhs2014_WS_TLET_P_BAS_adm2.x",0.114334584742312,0.0436286942060398,"Ghana","child_iron"
"dhs2014_c_low_birthweight_adm2.y",0.113374483271017,0.0432623311008401,"Ghana","child_iron"
"dhs2014_hh_urban_adm2.y",0.112487715176277,0.042923951124875,"Ghana","child_iron"
"mics_ec_100_s_se",0.111516966852007,0.0425535253093961,"Ghana","child_iron"
"dhs2014_w_iron_supplement_adm2.x",0.110421481750864,0.0421355014490503,"Ghana","child_iron"
"gee_lst_night_2015_annual_mean_annual_max",0.109972297598232,0.041964098211075,"Ghana","child_iron"
"ihme_50_54_years_15_females_people_living_with_hiv_counts",0.107677995958679,0.0410886204641268,"Ghana","child_iron"
"wfp_yam_puna",0.104961947259724,0.0400522091420188,"Ghana","child_iron"
"mics_wq4_se",0.0982019172399455,0.037472663475926,"Ghana","child_iron"
"ihme_under_5_1_both_u5_diarrhea_prevalence_counts",0.0973959935348323,0.037165132740908,"Ghana","child_iron"
"wfp_fish_mackerel_fresh",0.0957727148797105,0.0365457092461262,"Ghana","child_iron"
"ihme_15_49_years_24_females_mild_anemia_percent",0.0954809015575076,0.0364343568130166,"Ghana","child_iron"
"dhs2014_c_no_vaccination_adm2.x",0.0929680940175676,0.0354754998581786,"Ghana","child_iron"
"dhs2014_CN_NUTS_C_WH2",0.0904798054394255,0.0345259990425084,"Ghana","child_iron"
"dhs2014_c_severely_stunted_adm2.x",0.0902280764888337,0.0344299423206256,"Ghana","child_iron"
"mics_ws8_se",0.0863188682545838,0.0329382357558603,"Ghana","child_iron"
"lsms_hh_rcpetserv",0.0834194429063059,0.031831850123041,"Ghana","child_iron"
"mics_ws5",0.0816356427494393,0.0311511735653396,"Ghana","child_iron"
"dhs2014_c_overweight_adm2.y",0.0792289126336019,0.0302327944721108,"Ghana","child_iron"
"lsms_hh_se.tot_hh_inc_r",0.0776745878259623,0.0296396829312572,"Ghana","child_iron"
"mics_hw8a_a",0.0717110133069724,0.0273640550479676,"Ghana","child_iron"
"mics_hc1a",0.0710935473184786,0.0271284374974658,"Ghana","child_iron"
