recall,precision,country,outcome
0.7272727272727273,0.02952029520295203,Malawi,women_vitA
0.7272727272727273,0.028368794326241134,Malawi,women_vitA
0.8181818181818182,0.03103448275862069,Malawi,women_vitA
0.8181818181818182,0.030821917808219176,Malawi,women_vitA
0.8181818181818182,0.030201342281879196,Malawi,women_vitA
0.8181818181818182,0.0297029702970297,Malawi,women_vitA
0.8181818181818182,0.02912621359223301,Malawi,women_vitA
0.8181818181818182,0.02830188679245283,Malawi,women_vitA
0.8181818181818182,0.027522935779816515,Malawi,women_vitA
0.8181818181818182,0.026627218934911243,Malawi,women_vitA
0.8181818181818182,0.025936599423631124,Malawi,women_vitA
0.8181818181818182,0.025423728813559324,Malawi,women_vitA
0.8181818181818182,0.024657534246575342,Malawi,women_vitA
0.8181818181818182,0.024128686327077747,Malawi,women_vitA
0.9090909090909091,0.026246719160104987,Malawi,women_vitA
0.9090909090909091,0.02564102564102564,Malawi,women_vitA
0.9090909090909091,0.02531645569620253,Malawi,women_vitA
0.9090909090909091,0.02481389578163772,Malawi,women_vitA
0.9090909090909091,0.024154589371980676,Malawi,women_vitA
0.9090909090909091,0.023696682464454975,Malawi,women_vitA
0.9090909090909091,0.023094688221709007,Malawi,women_vitA
1,0.02517162471395881,Malawi,women_vitA
1,0.024608501118568233,Malawi,women_vitA
1,0.024229074889867842,Malawi,women_vitA
1,0.02391304347826087,Malawi,women_vitA
1,0.023554603854389723,Malawi,women_vitA
1,0.023060796645702306,Malawi,women_vitA
1,0.022494887525562373,Malawi,women_vitA
1,0.02208835341365462,Malawi,women_vitA
1,0.021912350597609563,Malawi,women_vitA
1,0.021611001964636542,Malawi,women_vitA
1,0.021526418786692758,Malawi,women_vitA
1,0.0210727969348659,Malawi,women_vitA
1,0.02071563088512241,Malawi,women_vitA
1,0.020484171322160148,Malawi,women_vitA
1,0.020370370370370372,Malawi,women_vitA
1,0.020146520146520148,Malawi,women_vitA
1,0.019927536231884056,Malawi,women_vitA
1,0.0196078431372549,Malawi,women_vitA
1,0.01929824561403509,Malawi,women_vitA
1,0.01903114186851211,Malawi,women_vitA
1,0.018803418803418803,Malawi,women_vitA
1,0.01864406779661017,Malawi,women_vitA
1,0.018487394957983194,Malawi,women_vitA
1,0.018302828618968387,Malawi,women_vitA
1,0.0180623973727422,Malawi,women_vitA
1,0.017828200972447326,Malawi,women_vitA
1,0.017628205128205128,Malawi,women_vitA
1,0.0171875,Malawi,women_vitA
1,0.016975308641975308,Malawi,women_vitA
1,0.01676829268292683,Malawi,women_vitA
1,0.016566265060240965,Malawi,women_vitA
1,0.016417910447761194,Malawi,women_vitA
1,0.01624815361890694,Malawi,women_vitA
1,0.015965166908563134,Malawi,women_vitA
1,0.015873015873015872,Malawi,women_vitA
1,0.01566951566951567,Malawi,women_vitA
1,0.015536723163841809,Malawi,women_vitA
1,0.015427769985974754,Malawi,women_vitA
1,0.015214384508990318,Malawi,women_vitA
1,0.015006821282401092,Malawi,women_vitA
1,0.014905149051490514,Malawi,women_vitA
1,0.014824797843665768,Malawi,women_vitA
1,0.014686248331108143,Malawi,women_vitA
1,0.01455026455026455,Malawi,women_vitA
1,0.014397905759162303,Malawi,women_vitA
1,0.014285714285714285,Malawi,women_vitA
1,0.014193548387096775,Malawi,women_vitA
1,0.014066496163682864,Malawi,women_vitA
1,0.013959390862944163,Malawi,women_vitA
1,0.013836477987421384,Malawi,women_vitA
1,0.013630731102850062,Malawi,women_vitA
0,NA,Malawi,child_iron
0.018691588785046728,0.3333333333333333,Malawi,child_iron
0.028037383177570093,0.3333333333333333,Malawi,child_iron
0.037383177570093455,0.25,Malawi,child_iron
0.04672897196261682,0.21739130434782608,Malawi,child_iron
0.06542056074766354,0.20588235294117646,Malawi,child_iron
0.08411214953271028,0.20454545454545456,Malawi,child_iron
0.12149532710280374,0.24074074074074073,Malawi,child_iron
0.1308411214953271,0.23728813559322035,Malawi,child_iron
0.16822429906542055,0.23684210526315788,Malawi,child_iron
0.17757009345794392,0.21348314606741572,Malawi,child_iron
0.18691588785046728,0.20202020202020202,Malawi,child_iron
0.18691588785046728,0.18181818181818182,Malawi,child_iron
0.18691588785046728,0.16666666666666666,Malawi,child_iron
0.18691588785046728,0.16393442622950818,Malawi,child_iron
0.19626168224299065,0.1640625,Malawi,child_iron
0.205607476635514,0.16417910447761194,Malawi,child_iron
0.22429906542056074,0.17142857142857143,Malawi,child_iron
0.2336448598130841,0.1736111111111111,Malawi,child_iron
0.24299065420560748,0.17687074829931973,Malawi,child_iron
0.24299065420560748,0.16883116883116883,Malawi,child_iron
0.24299065420560748,0.16049382716049382,Malawi,child_iron
0.2803738317757009,0.17543859649122806,Malawi,child_iron
0.2803738317757009,0.16304347826086957,Malawi,child_iron
0.2803738317757009,0.15544041450777202,Malawi,child_iron
0.2897196261682243,0.15422885572139303,Malawi,child_iron
0.2897196261682243,0.14418604651162792,Malawi,child_iron
0.308411214953271,0.14347826086956522,Malawi,child_iron
0.3364485981308411,0.14814814814814814,Malawi,child_iron
0.35514018691588783,0.15019762845849802,Malawi,child_iron
0.35514018691588783,0.1450381679389313,Malawi,child_iron
0.37383177570093457,0.149812734082397,Malawi,child_iron
0.38317757009345793,0.14642857142857144,Malawi,child_iron
0.3925233644859813,0.14334470989761092,Malawi,child_iron
0.411214953271028,0.14102564102564102,Malawi,child_iron
0.411214953271028,0.1337386018237082,Malawi,child_iron
0.4205607476635514,0.1323529411764706,Malawi,child_iron
0.42990654205607476,0.13256484149855907,Malawi,child_iron
0.45794392523364486,0.13535911602209943,Malawi,child_iron
0.4766355140186916,0.1356382978723404,Malawi,child_iron
0.4766355140186916,0.12944162436548223,Malawi,child_iron
0.48598130841121495,0.1262135922330097,Malawi,child_iron
0.4953271028037383,0.12470588235294118,Malawi,child_iron
0.4953271028037383,0.12155963302752294,Malawi,child_iron
0.4953271028037383,0.12018140589569161,Malawi,child_iron
0.5046728971962616,0.11764705882352941,Malawi,child_iron
0.514018691588785,0.11777301927194861,Malawi,child_iron
0.5233644859813084,0.11618257261410789,Malawi,child_iron
0.5233644859813084,0.11382113821138211,Malawi,child_iron
0.5327102803738317,0.1144578313253012,Malawi,child_iron
0.5420560747663551,0.1141732283464567,Malawi,child_iron
0.5420560747663551,0.11153846153846154,Malawi,child_iron
0.5700934579439252,0.11466165413533834,Malawi,child_iron
0.5794392523364486,0.11460258780036968,Malawi,child_iron
0.5794392523364486,0.11439114391143912,Malawi,child_iron
0.5794392523364486,0.11171171171171171,Malawi,child_iron
0.5887850467289719,0.11072056239015818,Malawi,child_iron
0.6074766355140186,0.11265164644714037,Malawi,child_iron
0.6074766355140186,0.1092436974789916,Malawi,child_iron
0.616822429906542,0.10801963993453355,Malawi,child_iron
0.6261682242990654,0.10771704180064309,Malawi,child_iron
0.6261682242990654,0.10551181102362205,Malawi,child_iron
0.6355140186915887,0.10493827160493827,Malawi,child_iron
0.6355140186915887,0.10381679389312977,Malawi,child_iron
0.6448598130841121,0.1037593984962406,Malawi,child_iron
0.6448598130841121,0.10237388724035608,Malawi,child_iron
0.6448598130841121,0.1,Malawi,child_iron
0.6542056074766355,0.10028653295128939,Malawi,child_iron
0.6542056074766355,0.09929078014184398,Malawi,child_iron
0.6635514018691588,0.09916201117318436,Malawi,child_iron
0.6822429906542056,0.09959072305593451,Malawi,child_iron
0.6822429906542056,0.09746328437917223,Malawi,child_iron
0.6915887850467289,0.09724047306176084,Malawi,child_iron
0.7009345794392523,0.09702457956015524,Malawi,child_iron
0.7102803738317757,0.09743589743589744,Malawi,child_iron
0.7476635514018691,0.1,Malawi,child_iron
0.7476635514018691,0.09913258983890955,Malawi,child_iron
0.7476635514018691,0.09876543209876543,Malawi,child_iron
0.7476635514018691,0.0970873786407767,Malawi,child_iron
0.7757009345794392,0.09987966305655836,Malawi,child_iron
0.7757009345794392,0.09869203329369798,Malawi,child_iron
0.7850467289719626,0.0989399293286219,Malawi,child_iron
0.8037383177570093,0.10035005834305717,Malawi,child_iron
0.822429906542056,0.1010332950631458,Malawi,child_iron
0.8411214953271028,0.1016949152542373,Malawi,child_iron
0.8411214953271028,0.10078387458006718,Malawi,child_iron
0.8504672897196262,0.10122358175750834,Malawi,child_iron
0.8504672897196262,0.1,Malawi,child_iron
0.8504672897196262,0.09837837837837837,Malawi,child_iron
0.8598130841121495,0.09829059829059829,Malawi,child_iron
0.8785046728971962,0.09894736842105263,Malawi,child_iron
0.8878504672897196,0.09895833333333333,Malawi,child_iron
0.897196261682243,0.09927611168562564,Malawi,child_iron
0.9065420560747663,0.09857723577235772,Malawi,child_iron
0.9065420560747663,0.09768378650553877,Malawi,child_iron
0.9158878504672897,0.09664694280078895,Malawi,child_iron
0.9252336448598131,0.09649122807017543,Malawi,child_iron
0.9252336448598131,0.09583736689254599,Malawi,child_iron
0.9345794392523364,0.09615384615384616,Malawi,child_iron
0.9345794392523364,0.09505703422053231,Malawi,child_iron
0.9345794392523364,0.09398496240601503,Malawi,child_iron
0.9439252336448598,0.09430438842203548,Malawi,child_iron
0.9906542056074766,0.09724770642201835,Malawi,child_iron
1,0.09709618874773139,Malawi,child_iron
0,NA,Malawi,women_iron
0.02702702702702703,0.4,Malawi,women_iron
0.02702702702702703,0.15384615384615385,Malawi,women_iron
0.04054054054054054,0.1875,Malawi,women_iron
0.0945945945945946,0.30434782608695654,Malawi,women_iron
0.0945945945945946,0.1891891891891892,Malawi,women_iron
0.10810810810810811,0.18181818181818182,Malawi,women_iron
0.14864864864864866,0.21153846153846154,Malawi,women_iron
0.16216216216216217,0.20689655172413793,Malawi,women_iron
0.17567567567567569,0.19696969696969696,Malawi,women_iron
0.1891891891891892,0.19444444444444445,Malawi,women_iron
0.1891891891891892,0.17721518987341772,Malawi,women_iron
0.1891891891891892,0.16279069767441862,Malawi,women_iron
0.21621621621621623,0.16326530612244897,Malawi,women_iron
0.21621621621621623,0.15841584158415842,Malawi,women_iron
0.21621621621621623,0.14953271028037382,Malawi,women_iron
0.21621621621621623,0.14414414414414414,Malawi,women_iron
0.24324324324324326,0.15384615384615385,Malawi,women_iron
0.24324324324324326,0.15126050420168066,Malawi,women_iron
0.24324324324324326,0.140625,Malawi,women_iron
