k_sentinel,replicate,n_held,rmse_pp,mae_pp,shift_logit,outcome,country,analysis_profile
20,24,67,14.039786687822614,8.7536112768916,-2.916267817760929,child_vitA,Malawi,full
20,25,67,13.042447912435644,8.044939957834336,-2.7700384003267264,child_vitA,Malawi,full
0,1,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,2,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,3,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,4,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,5,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,6,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,7,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,8,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,9,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,10,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,11,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,12,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,13,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,14,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,15,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,16,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,17,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,18,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,19,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,20,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,21,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,22,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,23,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,24,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
0,25,30,5.485525079403954,3.4366636467930562,0,women_vitA,Gambia,full
3,1,27,6.248469148139694,3.8274265516021173,-2.895872712933372,women_vitA,Gambia,full
3,2,27,6.169207147540002,3.6963987290262477,-2.425696859715747,women_vitA,Gambia,full
3,3,27,4.539374166977399,2.926094520532176,0.2547134751820477,women_vitA,Gambia,full
3,4,27,6.361601593782945,5.920099280738567,2.1636793045377045,women_vitA,Gambia,full
3,5,27,6.90819411372864,6.365057174528632,2.32590381991598,women_vitA,Gambia,full
3,6,27,5.7444748196677065,3.4782170246697435,-0.5470626844629578,women_vitA,Gambia,full
3,7,27,5.260204047915262,3.251156131845029,-0.22195816108076638,women_vitA,Gambia,full
3,8,27,5.97605515519684,3.5343824416952536,-2.1782361584955106,women_vitA,Gambia,full
3,9,27,6.249963792217147,3.832658930388897,-2.9136506633633577,women_vitA,Gambia,full
3,10,27,6.277784246853188,3.880033998242859,-4.510252322276083,women_vitA,Gambia,full
3,11,27,6.249999920544544,3.832657239099456,-2.9148720381619335,women_vitA,Gambia,full
3,12,27,4.942364743647632,3.6804264951794017,1.1257768310429204,women_vitA,Gambia,full
3,13,27,5.2438907865646565,3.70428522015465,0.8627669609775216,women_vitA,Gambia,full
3,14,27,6.21635415853866,3.7613116046422257,-2.6038574362346774,women_vitA,Gambia,full
3,15,27,5.7264025474341596,3.4450050048555068,-0.24202615823503582,women_vitA,Gambia,full
3,16,27,4.856638852167626,3.120672032660293,-0.16382215856887208,women_vitA,Gambia,full
3,17,27,6.227380818695616,3.7816698089330245,-2.664065214587007,women_vitA,Gambia,full
3,18,27,5.67489354244224,3.4308518727654116,-0.3428129139228959,women_vitA,Gambia,full
3,19,27,6.2472878924393935,3.827189326818231,-2.8584776085243453,women_vitA,Gambia,full
3,20,27,6.277777441032139,3.880033192778387,-4.509140417735201,women_vitA,Gambia,full
3,21,27,5.974619991624705,3.6412428407501585,-0.7665834512288071,women_vitA,Gambia,full
3,22,27,6.581090079847122,6.153905738041706,2.246587242666169,women_vitA,Gambia,full
3,23,27,5.1040437336518325,3.884543294643581,1.1485037456166949,women_vitA,Gambia,full
3,24,27,6.277632396961168,3.8800169638818818,-4.4857319670169,women_vitA,Gambia,full
3,25,27,4.863717391504021,2.9813024708356046,0.27094399469973807,women_vitA,Gambia,full
5,1,25,4.609417679257992,3.043625038406556,0.7038833635620007,women_vitA,Gambia,full
5,2,25,6.11404660409694,3.6716593034559133,-1.9819869160117365,women_vitA,Gambia,full
5,3,25,6.224185270133261,3.700439430486889,-1.9307472465707392,women_vitA,Gambia,full
5,4,25,5.685420273150641,5.406001064165198,2.01868419298649,women_vitA,Gambia,full
5,5,25,5.8048405241066625,3.558340694863981,-2.0244800747295586,women_vitA,Gambia,full
5,6,25,5.141289103546126,3.25028606645409,0.5604996064885686,women_vitA,Gambia,full
5,7,25,6.022030087195094,3.538306922206548,-0.7007658812911367,women_vitA,Gambia,full
5,8,25,6.475296574879734,4.078208759810887,-2.538638210256119,women_vitA,Gambia,full
5,9,25,5.532749254991552,3.244425204930073,-1.633880871946459,women_vitA,Gambia,full
5,10,25,5.020394327289305,4.459285667882854,1.813657549607994,women_vitA,Gambia,full
