outcome,held_out,scorer,weighting,metric,original_selection,nested_selection,delta,lower_better,nested_better
child_iron,Ghana,glm,equal_row,calib_slope,1.139354718409662,0.7020192612870353,-0.43733545712262667,FALSE,FALSE
child_iron,Ghana,glm,equal_row,n_scored,3,3,0,FALSE,FALSE
child_iron,Ghana,glm,equal_country,auc,0.6602119042453172,0.630021877486078,-0.030190026759239208,FALSE,FALSE
child_iron,Ghana,glm,equal_country,brier,0.17375978671867448,0.17990067035574633,0.006140883637071853,TRUE,FALSE
child_iron,Ghana,glm,equal_country,null_brier_train,0.18289967669147372,0.18289967669147372,0,FALSE,FALSE
child_iron,Ghana,glm,equal_country,calib_slope,1.2360712585532267,0.7888825650719977,-0.447188693481229,FALSE,FALSE
child_iron,Ghana,glm,equal_country,n_scored,3,3,0,FALSE,FALSE
child_iron,SierraLeone,glm,equal_row,auc,0.6541250779787898,0.6671086360823831,0.012983558103593307,FALSE,TRUE
child_iron,SierraLeone,glm,equal_row,brier,0.05542742786791452,0.07089408937934431,0.015466661511429794,TRUE,FALSE
child_iron,SierraLeone,glm,equal_row,null_brier_train,0.08932968160579562,0.08972192389508703,3.9224228929141125e-4,FALSE,TRUE
child_iron,SierraLeone,glm,equal_row,calib_slope,1.810990313373033,-8.668463110717306,-10.47945342409034,FALSE,FALSE
child_iron,SierraLeone,glm,equal_row,n_scored,3,6,3,FALSE,TRUE
child_iron,SierraLeone,glm,equal_country,auc,0.6549048658764816,0.7069742773800053,0.05206941150352373,FALSE,TRUE
child_iron,SierraLeone,glm,equal_country,brier,0.055512020256885015,0.06965961854399888,0.014147598287113865,TRUE,FALSE
child_iron,SierraLeone,glm,equal_country,null_brier_train,0.08932968160579562,0.08972192389508703,3.9224228929141125e-4,FALSE,TRUE
child_iron,SierraLeone,glm,equal_country,calib_slope,1.792082557900228,-10.67663884382013,-12.468721401720359,FALSE,FALSE
child_iron,SierraLeone,glm,equal_country,n_scored,3,6,3,FALSE,TRUE
child_iron,Malawi,glm,equal_row,auc,0.5423002887391722,0.5219398022574153,-0.020360486481756923,FALSE,FALSE
child_iron,Malawi,glm,equal_row,brier,0.13488502499455604,0.11012319954767044,-0.0247618254468856,TRUE,TRUE
child_iron,Malawi,glm,equal_row,null_brier_train,0.11894415864246562,0.11994268625469985,9.985276122342346e-4,FALSE,TRUE
child_iron,Malawi,glm,equal_row,calib_slope,-0.24201887368795671,0.03473598642685746,0.2767548601148142,FALSE,TRUE
child_iron,Malawi,glm,equal_row,n_scored,3,3,0,FALSE,FALSE
child_iron,Malawi,glm,equal_country,auc,0.544076472132295,0.5232435033686237,-0.020832968763671356,FALSE,FALSE
child_iron,Malawi,glm,equal_country,brier,0.13563278941666884,0.10909738412597124,-0.026535405290697603,TRUE,TRUE
child_iron,Malawi,glm,equal_country,null_brier_train,0.11894415864246562,0.11994268625469985,9.985276122342346e-4,FALSE,TRUE
child_iron,Malawi,glm,equal_country,calib_slope,-0.27481930624413214,0.04046237908678649,0.3152816853309186,FALSE,TRUE
child_iron,Malawi,glm,equal_country,n_scored,3,3,0,FALSE,FALSE
women_iron,Gambia,glm,equal_row,auc,0.619249238211546,0.6174209459219122,-0.0018282922896337706,FALSE,FALSE
women_iron,Gambia,glm,equal_row,brier,0.2634032382449625,0.2626578166066264,-7.454216383360746e-4,TRUE,TRUE
women_iron,Gambia,glm,equal_row,null_brier_train,0.2641124457103901,0.26456848088384577,4.5603517345566e-4,FALSE,TRUE
women_iron,Gambia,glm,equal_row,calib_slope,-6.337732789691863,75.0402374647536,81.37797025444547,FALSE,TRUE
women_iron,Gambia,glm,equal_row,n_scored,3,1,-2,FALSE,FALSE
women_iron,Gambia,glm,equal_country,auc,0.6190974733522249,0.6174209459219122,-0.0016765274303126576,FALSE,FALSE
women_iron,Gambia,glm,equal_country,brier,0.263289477569823,0.26207579446386897,-0.0012136831059540443,TRUE,TRUE
women_iron,Gambia,glm,equal_country,null_brier_train,0.2641124457103901,0.26456848088384577,4.5603517345566e-4,FALSE,TRUE
women_iron,Gambia,glm,equal_country,calib_slope,-5.513670883125837,76.68577297113984,82.19944385426568,FALSE,TRUE
women_iron,Gambia,glm,equal_country,n_scored,3,1,-2,FALSE,FALSE
women_iron,Ghana,glm,equal_row,auc,0.45928262647505547,0.5951110591839649,0.13582843270890943,FALSE,TRUE
women_iron,Ghana,glm,equal_row,brier,0.08904694850144798,0.0782977985174089,-0.010749149984039086,TRUE,TRUE
women_iron,Ghana,glm,equal_row,null_brier_train,0.08577586013227943,0.08577586013227943,0,FALSE,FALSE
women_iron,Ghana,glm,equal_row,calib_slope,0.2974301135939938,0.6404373068687921,0.3430071932747983,FALSE,TRUE
women_iron,Ghana,glm,equal_row,n_scored,3,3,0,FALSE,FALSE
women_iron,Ghana,glm,equal_country,auc,0.5384066155184276,0.6115200373875452,0.07311342186911762,FALSE,TRUE
women_iron,Ghana,glm,equal_country,brier,0.08498576341599162,0.07730841365301747,-0.007677349762974156,TRUE,TRUE
women_iron,Ghana,glm,equal_country,null_brier_train,0.08577586013227943,0.08577586013227943,0,FALSE,FALSE
women_iron,Ghana,glm,equal_country,calib_slope,0.30261047764781096,0.8896554279285812,0.5870449502807702,FALSE,TRUE
women_iron,Ghana,glm,equal_country,n_scored,3,3,0,FALSE,FALSE
women_iron,SierraLeone,glm,equal_row,auc,0.6051833145597907,0.5701706663442745,-0.035012648215516196,FALSE,FALSE
women_iron,SierraLeone,glm,equal_row,brier,0.08761375776379764,0.08528834814706389,-0.002325409616733748,TRUE,TRUE
women_iron,SierraLeone,glm,equal_row,null_brier_train,0.08977952179571788,0.09407324686896976,0.004293725073251875,FALSE,TRUE
women_iron,SierraLeone,glm,equal_row,calib_slope,0.7210633303970905,-0.8321092038602644,-1.5531725342573548,FALSE,FALSE
women_iron,SierraLeone,glm,equal_row,n_scored,3,6,3,FALSE,TRUE
women_iron,SierraLeone,glm,equal_country,auc,0.6057283528941535,0.5665034556408551,-0.03922489725329836,FALSE,FALSE
women_iron,SierraLeone,glm,equal_country,brier,0.08725551960084435,0.08598861552770584,-0.0012669040731385084,TRUE,TRUE
women_iron,SierraLeone,glm,equal_country,null_brier_train,0.08977952179571788,0.09407324686896976,0.004293725073251875,FALSE,TRUE
women_iron,SierraLeone,glm,equal_country,calib_slope,0.8320677703207779,-0.6698626930116536,-1.5019304633324315,FALSE,FALSE
women_iron,SierraLeone,glm,equal_country,n_scored,3,6,3,FALSE,TRUE
women_iron,Malawi,glm,equal_row,auc,0.6011705426356589,0.5074186046511627,-0.09375193798449621,FALSE,FALSE
women_iron,Malawi,glm,equal_row,brier,0.10567696301326218,0.09500614084645996,-0.010670822166802221,TRUE,TRUE
women_iron,Malawi,glm,equal_row,null_brier_train,0.0984290023644297,0.10152908166075815,0.0031000792963284535,FALSE,TRUE
women_iron,Malawi,glm,equal_row,calib_slope,-0.9893715021308871,-0.4015137737611451,0.5878577283697419,FALSE,TRUE
women_iron,Malawi,glm,equal_row,n_scored,3,3,0,FALSE,FALSE
women_iron,Malawi,glm,equal_country,auc,0.6004728682170543,0.506906976744186,-0.0935658914728682,FALSE,FALSE
women_iron,Malawi,glm,equal_country,brier,0.10345687408966817,0.09441959821989093,-0.009037275869777234,TRUE,TRUE
women_iron,Malawi,glm,equal_country,null_brier_train,0.0984290023644297,0.10152908166075815,0.0031000792963284535,FALSE,TRUE
women_iron,Malawi,glm,equal_country,calib_slope,-1.0651531725712606,-0.43786948511342466,0.627283687457836,FALSE,TRUE
women_iron,Malawi,glm,equal_country,n_scored,3,3,0,FALSE,FALSE
