strategy,stratum,retention,n_districts,rmse_pp,mae_pp,replicate,n_clusters_total,n_districts_total,seed,country,outcome,analysis_profile
spatial_cv,zero_clusters,0.5,11,11.358095364459222,9.619073964585818,22,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,21,6.095548937637642,3.2670834197717444,23,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,9,15.946833698461788,12.0058760619279,23,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,21,16.015686002281484,12.65039040963132,23,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,9,17.03458981398246,11.803142444230197,23,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,21,11.520225213293358,9.951229627783286,23,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,9,12.299444627170695,8.352030730133047,23,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,21,4.266721677557433,2.646448687599186,24,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,9,18.36216125928331,15.285944583692185,24,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,21,12.203434909161814,10.522205582735491,24,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,9,22.473163664729825,18.273541696386634,24,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,21,9.908617908041332,7.803866246342135,24,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,9,13.86461588979572,11.369661237995368,24,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,22,3.7571146436985186,2.3228720414419803,25,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,8,16.26127625468313,14.246871797684237,25,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,22,11.562597220903728,8.598018797933147,25,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,8,13.284398215957276,12.232441369840451,25,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,22,11.52703535982261,9.23043438237737,25,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,8,10.988592349979308,9.400024982600929,25,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,25,4.062465791729859,2.46877150104148,1,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,5,18.460974199894984,12.969428238274366,1,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,25,12.389148026727732,9.870144520880116,1,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,5,16.519790884029025,12.407869001439156,1,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,25,13.93638518778152,11.223235871499366,1,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,5,14.388271197068816,11.072468684133604,1,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,21,5.496835217620353,3.295510193219763,2,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,9,13.993869534888429,10.747080205958701,2,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,21,13.065202664748377,9.881901623139719,2,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,9,12.054617387838286,10.323580879358012,2,70,30,12345,Gambia,child_vitA,full
